Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,6.8e-05,15.870685,[40  7] ; [12 17],[32.15789474 14.84210526] ; [19.84210526  9.15789474],1
n6,1,0.000195,13.87901,[35 12] ; [ 9 20],[27.21052632 19.78947368] ; [16.78947368 12.21052632],1
b5,1,0.001548,10.020683,[35 12] ; [11 18],[28.44736842 18.55263158] ; [17.55263158 11.44736842],0
p2,1,0.003846,8.355209,[29 18] ; [ 8 21],[22.88157895 24.11842105] ; [14.11842105 14.88157895],0
p7,1,0.005098,7.844242,[25 22] ; [ 6 23],[19.17105263 27.82894737] ; [11.82894737 17.17105263],0
r2,1,0.006006,7.548613,[39  7] ; [15 12],[34.02739726 11.97260274] ; [19.97260274  7.02739726],0
n2,1,0.006051,7.534997,[13  4] ; [3 9],[9.37931034 7.62068966] ; [6.62068966 5.37931034],0
s2,1,0.008787,6.865549,[20 27] ; [ 4 25],[14.84210526 32.15789474] ; [ 9.15789474 19.84210526],0
v2,1,0.010071,6.62225,[18 29] ; [ 3 25],[13.16 33.84] ; [ 7.84 20.16],0
b3,1,0.012721,6.20753,[ 6 16] ; [12  6],[ 9.9 12.1] ; [8.1 9.9],0
b2,1,0.012721,6.20753,[ 6 16] ; [12  6],[ 9.9 12.1] ; [8.1 9.9],0
s5,1,0.014082,6.027829,[14 30] ; [ 2 26],[ 9.77777778 34.22222222] ; [ 6.22222222 21.77777778],0
s6,1,0.016048,5.797589,[18 27] ; [ 4 25],[13.37837838 31.62162162] ; [ 8.62162162 20.37837838],0
n5,1,0.018175,5.579215,[21 26] ; [21  8],[25.97368421 21.02631579] ; [16.02631579 12.97368421],0
a1,1,0.023341,5.14298,[ 2 45] ; [ 6 23],[ 4.94736842 42.05263158] ; [ 3.05263158 25.94736842],0
p9,1,0.024874,5.032652,[28 17] ; [ 9 17],[23.45070423 21.54929577] ; [13.54929577 12.45070423],0
p8,1,0.028411,4.802976,[13 33] ; [ 2 26],[ 9.32432432 36.67567568] ; [ 5.67567568 22.32432432],0
p10,1,0.035787,4.407207,[21 25] ; [ 6 22],[16.78378378 29.21621622] ; [10.21621622 17.78378378],0
n4,1,0.039085,4.257178,[21 26] ; [20  9],[25.35526316 21.64473684] ; [15.64473684 13.35526316],0
p4,1,0.043436,4.078338,[20 26] ; [ 6 23],[15.94666667 30.05333333] ; [10.05333333 18.94666667],0
p6,1,0.060269,3.529967,[11 34] ; [ 2 26],[ 8.01369863 36.98630137] ; [ 4.98630137 23.01369863],0
s3,1,0.075639,3.156191,[21 25] ; [ 7 21],[17.40540541 28.59459459] ; [10.59459459 17.40540541],0
p3,1,0.095467,2.779676,[18 28] ; [ 6 23],[14.72 31.28] ; [ 9.28 19.72],0
s7,1,0.105338,2.622799,[12 32] ; [ 3 24],[ 9.29577465 34.70422535] ; [ 5.70422535 21.29577465],0
s4,1,0.158778,1.985822,[13 34] ; [ 4 25],[10.51315789 36.48684211] ; [ 6.48684211 22.51315789],0
d3,1,0.16827,1.89829,[26 19] ; [12 17],[23.10810811 21.89189189] ; [14.89189189 14.10810811],0
n3,1,0.176076,1.830439,[10  7] ; [4 8],[8.20689655 8.79310345] ; [5.79310345 6.20689655],0
d4,1,0.182166,1.779864,[30 17] ; [14 15],[27.21052632 19.78947368] ; [16.78947368 12.21052632],0
s8,1,0.204645,1.608911,[ 8 39] ; [ 2 27],[ 6.18421053 40.81578947] ; [ 3.81578947 25.18421053],0
u3,1,0.237923,1.392857,[10 15] ; [ 3 11],[ 8.33333333 16.66666667] ; [4.66666667 9.33333333],0
a7,1,0.273967,1.196774,[25 21] ; [12 17],[22.69333333 23.30666667] ; [14.30666667 14.69333333],0
p1,1,0.277837,1.177642,[ 3 44] ; [ 4 25],[ 4.32894737 42.67105263] ; [ 2.67105263 26.32894737],0
a8,1,0.381789,0.764932,[ 4 41] ; [ 1 27],[ 3.08219178 41.91780822] ; [ 1.91780822 26.08219178],0
d5,1,0.435487,0.608144,[28 18] ; [15 14],[26.37333333 19.62666667] ; [16.62666667 12.37333333],0
d1,1,0.43909,0.598659,[17 30] ; [ 8 21],[15.46052632 31.53947368] ; [ 9.53947368 19.46052632],0
a6,1,0.478695,0.501834,[22 25] ; [16 13],[23.5 23.5] ; [14.5 14.5],0
b4,1,0.520839,0.412231,[23 24] ; [12 17],[21.64473684 25.35526316] ; [13.35526316 15.64473684],0
b1,1,0.562619,0.33519,[26 21] ; [18 11],[27.21052632 19.78947368] ; [16.78947368 12.21052632],0
u2,1,0.575731,0.313187,[ 9 15] ; [ 4 10],[ 8.21052632 15.78947368] ; [4.78947368 9.21052632],0
a4,1,0.594561,0.283278,[14 33] ; [10 18],[15.04 31.96] ; [ 8.96 19.04],0
s1,1,0.61643,0.250917,[ 2 45] ; [ 2 27],[ 2.47368421 44.52631579] ; [ 1.52631579 27.47368421],0
v1,1,0.645969,0.21102,[15 31] ; [ 8 21],[14.10666667 31.89333333] ; [ 8.89333333 20.10666667],0
a3,1,0.742289,0.108125,[22 24] ; [15 14],[22.69333333 23.30666667] ; [14.30666667 14.69333333],0
v3,1,0.745408,0.10543,[11 35] ; [ 6 23],[10.42666667 35.57333333] ; [ 6.57333333 22.42666667],0
a2,1,0.750992,0.1007,[ 6 41] ; [ 3 26],[ 5.56578947 41.43421053] ; [ 3.43421053 25.56578947],0
a5,1,0.900956,0.015489,[22 25] ; [14 15],[22.26315789 24.73684211] ; [13.73684211 15.26315789],0
n1,1,0.912875,0.011971,[ 6 11] ; [4 8],[ 5.86206897 11.13793103] ; [4.13793103 7.86206897],0
u1,1,0.930092,0.007696,[ 3 44] ; [ 2 27],[ 3.09210526 43.90789474] ; [ 1.90789474 27.09210526],0
d2,1,0.979463,0.000663,[20 27] ; [12 16],[20.05333333 26.94666667] ; [11.94666667 16.05333333],0
