Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.012242,6.275496,[ 3 11] ; [13  7],[6.58823529 7.41176471] ; [ 9.41176471 10.58823529],0
d1,1,0.03198,4.599567,[ 2 12] ; [10 10],[4.94117647 9.05882353] ; [ 7.05882353 12.94117647],0
p7,1,0.069983,3.283429,[6 8] ; [ 3 17],[ 3.70588235 10.29411765] ; [ 5.29411765 14.70588235],0
d3,1,0.091563,2.846677,[ 3 11] ; [10 10],[5.35294118 8.64705882] ; [ 7.64705882 12.35294118],0
n4,1,0.09223,2.83502,[5 9] ; [13  7],[7.41176471 6.58823529] ; [10.58823529  9.41176471],0
b3,1,0.099195,2.718437,[2 7] ; [8 6],[3.91304348 5.08695652] ; [6.08695652 7.91304348],0
b2,1,0.099195,2.718437,[2 7] ; [8 6],[3.91304348 5.08695652] ; [6.08695652 7.91304348],0
a8,1,0.120024,2.417009,[ 3 10] ; [ 1 19],[ 1.57575758 11.42424242] ; [ 2.42424242 17.57575758],0
v3,1,0.158147,1.991855,[ 1 13] ; [ 5 14],[ 2.54545455 11.45454545] ; [ 3.45454545 15.54545455],0
d5,1,0.163359,1.942857,[5 9] ; [12  8],[7. 7.] ; [10. 10.],0
v1,1,0.177851,1.815492,[ 2 12] ; [ 7 13],[ 3.70588235 10.29411765] ; [ 5.29411765 14.70588235],0
a1,1,0.178872,1.806973,[ 1 13] ; [ 5 15],[ 2.47058824 11.52941176] ; [ 3.52941176 16.47058824],0
b5,1,0.200628,1.637794,[8 6] ; [ 7 13],[6.17647059 7.82352941] ; [ 8.82352941 11.17647059],0
b1,1,0.211486,1.561224,[10  4] ; [10 10],[8.23529412 5.76470588] ; [11.76470588  8.23529412],0
r1,1,0.211486,1.561224,[ 4 10] ; [10 10],[5.76470588 8.23529412] ; [ 8.23529412 11.76470588],0
v2,1,0.216358,1.528365,[ 2 11] ; [ 7 13],[3.54545455 9.45454545] ; [ 5.45454545 14.54545455],0
a6,1,0.267511,1.229464,[5 9] ; [11  9],[6.58823529 7.41176471] ; [ 9.41176471 10.58823529],0
s2,1,0.29751,1.08532,[ 1 13] ; [ 4 16],[ 2.05882353 11.94117647] ; [ 2.94117647 17.05882353],0
p2,1,0.349963,0.87359,[5 9] ; [ 4 15],[ 3.81818182 10.18181818] ; [ 5.18181818 13.81818182],0
b4,1,0.409,0.681704,[9 5] ; [10 10],[7.82352941 6.17647059] ; [11.17647059  8.82352941],0
r3,1,0.409,0.681704,[5 9] ; [10 10],[6.17647059 7.82352941] ; [ 8.82352941 11.17647059],0
p3,1,0.447006,0.578231,[ 2 12] ; [ 5 15],[ 2.88235294 11.11764706] ; [ 4.11764706 15.88235294],0
s6,1,0.447006,0.578231,[ 2 12] ; [ 5 15],[ 2.88235294 11.11764706] ; [ 4.11764706 15.88235294],0
s1,1,0.484034,0.489762,[ 1 13] ; [ 3 17],[ 1.64705882 12.35294118] ; [ 2.35294118 17.64705882],0
s4,1,0.484034,0.489762,[ 1 13] ; [ 3 17],[ 1.64705882 12.35294118] ; [ 2.35294118 17.64705882],0
s7,1,0.546386,0.363832,[ 1 11] ; [ 3 16],[ 1.5483871 10.4516129] ; [ 2.4516129 16.5483871],0
p11,1,0.561994,0.336264,[ 4 10] ; [ 4 16],[ 3.29411765 10.70588235] ; [ 4.70588235 15.29411765],0
p9,1,0.59015,0.29011,[4 9] ; [ 8 12],[4.72727273 8.27272727] ; [ 7.27272727 12.72727273],0
a2,1,0.628439,0.234184,[ 3 11] ; [ 3 17],[ 2.47058824 11.52941176] ; [ 3.52941176 16.47058824],0
d4,1,0.64266,0.21528,[8 6] ; [13  7],[8.64705882 5.35294118] ; [12.35294118  7.64705882],0
n5,1,0.681314,0.168651,[6 8] ; [10 10],[6.58823529 7.41176471] ; [ 9.41176471 10.58823529],0
a5,1,0.681314,0.168651,[8 6] ; [10 10],[7.41176471 6.58823529] ; [10.58823529  9.41176471],0
a7,1,0.681314,0.168651,[8 6] ; [10 10],[7.41176471 6.58823529] ; [10.58823529  9.41176471],0
p8,1,0.686615,0.162774,[ 2 11] ; [ 4 15],[ 2.4375 10.5625] ; [ 3.5625 15.4375],0
a3,1,0.726713,0.122152,[7 6] ; [12  8],[7.48484848 5.51515152] ; [11.51515152  8.48484848],0
s3,1,0.801106,0.063462,[4 9] ; [ 7 13],[4.33333333 8.66666667] ; [ 6.66666667 13.33333333],0
p4,1,0.809076,0.058379,[ 3 11] ; [ 5 15],[ 3.29411765 10.70588235] ; [ 4.70588235 15.29411765],0
p10,1,0.832682,0.044632,[ 3 10] ; [ 4 16],[ 2.75757576 10.24242424] ; [ 4.24242424 15.75757576],0
n1,1,0.857596,0.032197,[3 3] ; [6 5],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
n2,1,0.857596,0.032197,[3 3] ; [6 5],[3.17647059 2.82352941] ; [5.82352941 5.17647059],0
n3,1,0.857596,0.032197,[3 3] ; [5 6],[2.82352941 3.17647059] ; [5.17647059 5.82352941],0
a4,1,0.867686,0.027755,[6 8] ; [ 8 12],[5.76470588 8.23529412] ; [ 8.23529412 11.76470588],0
u2,1,0.875996,0.024351,[2 5] ; [2 6],[1.86666667 5.13333333] ; [2.13333333 5.86666667],0
p6,1,0.905218,0.014178,[ 2 12] ; [ 3 16],[ 2.12121212 11.87878788] ; [ 2.87878788 16.12121212],0
