Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,27.950626,[12 21] ; [87 17],[23.84671533  9.15328467] ; [75.15328467 28.84671533],1
n6,1,0.003464,8.545196,[21 12] ; [90 14],[26.73722628  6.26277372] ; [84.26277372 19.73722628],0
p3,1,0.010195,6.600458,[ 9 24] ; [54 48],[15.4 17.6] ; [47.6 54.4],0
p9,1,0.018338,5.563587,[22 11] ; [87 15],[26.64444444  6.35555556] ; [82.35555556 19.64444444],0
p10,1,0.021477,5.2877,[21 11] ; [86 16],[25.55223881  6.44776119] ; [81.44776119 20.55223881],0
s6,1,0.062925,3.458554,[14 18] ; [63 38],[18.52631579 13.47368421] ; [58.47368421 42.52631579],0
s7,1,0.067845,3.334397,[ 8 25] ; [40 55],[12.375 20.625] ; [35.625 59.375],0
p4,1,0.088498,2.901489,[12 21] ; [55 48],[16.25735294 16.74264706] ; [50.74264706 52.25735294],0
d5,1,0.094175,2.801516,[11 22] ; [52 52],[15.17518248 17.82481752] ; [47.82481752 56.17518248],0
p5,1,0.099821,2.708397,[ 1 31] ; [14 89],[ 3.55555556 28.44444444] ; [11.44444444 91.55555556],0
a4,1,0.11003,2.553792,[ 5 28] ; [30 73],[ 8.49264706 24.50735294] ; [26.50735294 76.49264706],0
a5,1,0.151226,2.05984,[14 19] ; [59 45],[17.58394161 15.41605839] ; [55.41605839 48.58394161],0
v3,1,0.185709,1.751336,[ 7 25] ; [35 67],[10.02985075 21.97014925] ; [31.97014925 70.02985075],0
r4,1,0.188536,1.729022,[25  8] ; [89 15],[27.45985401  5.54014599] ; [86.54014599 17.45985401],0
d2,1,0.225242,1.470658,[ 6 27] ; [30 74],[ 8.67153285 24.32846715] ; [27.32846715 76.67153285],0
v1,1,0.275843,1.187457,[12 20] ; [49 52],[14.67669173 17.32330827] ; [46.32330827 54.67669173],0
p7,1,0.3516,0.867674,[17 15] ; [63 38],[19.2481203 12.7518797] ; [60.7518797 40.2481203],0
a1,1,0.387971,0.745292,[ 1 32] ; [  1 103],[ 0.48175182 32.51824818] ; [  1.51824818 102.48175182],0
n2,1,0.404698,0.694324,[10  3] ; [21  3],[10.89189189  2.10810811] ; [20.10810811  3.89189189],0
s3,1,0.408673,0.682659,[13 19] ; [49 51],[15.03030303 16.96969697] ; [46.96969697 53.03030303],0
a7,1,0.411904,0.673299,[17 16] ; [62 42],[19.02919708 13.97080292] ; [59.97080292 44.02919708],0
a8,1,0.415447,0.663158,[ 4 26] ; [ 8 88],[ 2.85714286 27.14285714] ; [ 9.14285714 86.85714286],0
p8,1,0.452114,0.565346,[15 18] ; [53 47],[16.87218045 16.12781955] ; [51.12781955 48.87218045],0
b3,1,0.492183,0.47175,[ 4 16] ; [18 47],[ 5.17647059 14.82352941] ; [16.82352941 48.17647059],0
b2,1,0.492183,0.47175,[ 4 16] ; [18 47],[ 5.17647059 14.82352941] ; [16.82352941 48.17647059],0
s1,1,0.507676,0.438855,[ 1 32] ; [ 6 94],[ 1.73684211 31.26315789] ; [ 5.26315789 94.73684211],0
a3,1,0.517288,0.419296,[15 18] ; [54 50],[16.62043796 16.37956204] ; [52.37956204 51.62043796],0
s5,1,0.535165,0.384575,[ 6 25] ; [25 76],[ 7.28030303 23.71969697] ; [23.71969697 77.28030303],0
v2,1,0.538501,0.378325,[13 19] ; [45 51],[14.5 17.5] ; [43.5 52.5],0
v4,1,0.568495,0.325207,[30  1] ; [97  6],[29.38059701  1.61940299] ; [97.61940299  5.38059701],0
n1,1,0.587045,0.294983,[5 8] ; [11 12],[5.77777778 7.22222222] ; [10.22222222 12.77777778],0
s8,1,0.599006,0.276497,[10 23] ; [36 66],[11.24444444 21.75555556] ; [34.75555556 67.24444444],0
r1,1,0.646717,0.210064,[22 11] ; [73 30],[23.05147059  9.94852941] ; [71.94852941 31.05147059],0
s2,1,0.648862,0.207338,[10 22] ; [36 65],[11.06766917 20.93233083] ; [34.93233083 66.06766917],0
n3,1,0.652998,0.202142,[12  1] ; [21  3],[11.59459459  1.40540541] ; [21.40540541  2.59459459],0
p6,1,0.656192,0.198183,[ 9 24] ; [32 70],[10.02222222 22.97777778] ; [30.97777778 71.02222222],0
p1,1,0.662405,0.190616,[ 5 27] ; [13 90],[ 4.26666667 27.73333333] ; [13.73333333 89.26666667],0
d1,1,0.663769,0.188978,[ 1 32] ; [ 5 99],[ 1.44525547 31.55474453] ; [ 4.55474453 99.44525547],0
u2,1,0.685918,0.16354,[ 8 10] ; [25 25],[8.73529412 9.26470588] ; [24.26470588 25.73529412],0
b5,1,0.694641,0.154107,[20 13] ; [59 45],[19.02919708 13.97080292] ; [59.97080292 44.02919708],0
b1,1,0.737861,0.112016,[11 22] ; [38 66],[11.80291971 21.19708029] ; [37.19708029 66.80291971],0
p12,1,0.743788,0.106825,[ 2 31] ; [ 8 95],[ 2.42647059 30.57352941] ; [ 7.57352941 95.42647059],0
a6,1,0.759275,0.093901,[19 14] ; [63 41],[19.75182482 13.24817518] ; [62.24817518 41.75182482],0
b4,1,0.780425,0.07771,[19 14] ; [57 47],[18.30656934 14.69343066] ; [57.69343066 46.30656934],0
a2,1,0.796715,0.066358,[ 3 30] ; [ 8 96],[ 2.64963504 30.35036496] ; [ 8.35036496 95.64963504],0
r2,1,0.818041,0.05293,[29  4] ; [92 11],[29.36029412  3.63970588] ; [91.63970588 11.36029412],0
d3,1,0.843601,0.038923,[ 8 25] ; [27 77],[ 8.43065693 24.56934307] ; [26.56934307 77.43065693],0
u3,1,0.909534,0.012911,[ 8 10] ; [23 27],[8.20588235 9.79411765] ; [22.79411765 27.20588235],0
r3,1,0.950383,0.003872,[30  3] ; [94  9],[30.08823529  2.91176471] ; [93.91176471  9.08823529],0
p2,1,0.95052,0.003851,[25  7] ; [81 22],[25.12592593  6.87407407] ; [80.87407407 22.12592593],0
s4,1,0.954319,0.003281,[ 6 27] ; [19 83],[ 6.11111111 26.88888889] ; [18.88888889 83.11111111],0
