Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9.1e-05,15.317603,[58 31] ; [ 8 24],[48.54545455 40.45454545] ; [17.45454545 14.54545455],1
a4,1,0.000271,13.263508,[50 39] ; [ 6 26],[41.19008264 47.80991736] ; [14.80991736 17.19008264],1
d2,1,0.000821,11.193348,[54 35] ; [ 8 23],[45.98333333 43.01666667] ; [16.01666667 14.98333333],1
d4,1,0.007483,7.153307,[75 14] ; [19 12],[69.71666667 19.28333333] ; [24.28333333  6.71666667],0
a3,1,0.017525,5.642974,[65 24] ; [16 16],[59.5785124 29.4214876] ; [21.4214876 10.5785124],0
b3,1,0.023844,5.105976,[23 30] ; [ 3 17],[18.87671233 34.12328767] ; [ 7.12328767 12.87671233],0
b2,1,0.023844,5.105976,[23 30] ; [ 3 17],[18.87671233 34.12328767] ; [ 7.12328767 12.87671233],0
p4,1,0.028441,4.801136,[58 30] ; [14 18],[52.8 35.2] ; [19.2 12.8],0
d5,1,0.036525,4.372423,[72 17] ; [20 12],[67.66942149 21.33057851] ; [24.33057851  7.66942149],0
n4,1,0.043427,4.078707,[67 22] ; [18 14],[62.52066116 26.47933884] ; [22.47933884  9.52066116],0
u1,1,0.053099,3.740787,[19 70] ; [ 2 30],[15.44628099 73.55371901] ; [ 5.55371901 26.44628099],0
s1,1,0.057812,3.599061,[ 3 86] ; [ 4 28],[ 5.14876033 83.85123967] ; [ 1.85123967 30.14876033],0
a6,1,0.061518,3.495987,[61 28] ; [16 16],[56.63636364 32.36363636] ; [20.36363636 11.63636364],0
r1,1,0.063187,3.451705,[74 14] ; [22 10],[70.4 17.6] ; [25.6  6.4],0
p3,1,0.069822,3.287191,[50 39] ; [12 20],[45.60330579 43.39669421] ; [16.39669421 15.60330579],0
v2,1,0.069839,3.286808,[45 43] ; [10 21],[40.67226891 47.32773109] ; [14.32773109 16.67226891],0
b4,1,0.076951,3.128149,[51 38] ; [24  8],[55.16528926 33.83471074] ; [19.83471074 12.16528926],0
s8,1,0.087652,2.916982,[40 48] ; [ 9 23],[35.93333333 52.06666667] ; [13.06666667 18.93333333],0
r4,1,0.088138,2.908049,[82  7] ; [26  6],[79.43801653  9.56198347] ; [28.56198347  3.43801653],0
d3,1,0.09191,2.840605,[62 27] ; [17 15],[58.10743802 30.89256198] ; [20.89256198 11.10743802],0
p5,1,0.096611,2.760612,[17 72] ; [ 2 29],[14.09166667 74.90833333] ; [ 4.90833333 26.09166667],0
b5,1,0.142195,2.154038,[44 45] ; [11 21],[40.45454545 48.54545455] ; [14.54545455 17.45454545],0
p7,1,0.153878,2.033379,[59 28] ; [16 14],[55.76923077 31.23076923] ; [19.23076923 10.76923077],0
p12,1,0.166635,1.912958,[10 78] ; [ 1 31],[ 8.06666667 79.93333333] ; [ 2.93333333 29.06666667],0
r2,1,0.184828,1.758373,[85  3] ; [29  3],[83.6  4.4] ; [30.4  1.6],0
s6,1,0.229704,1.442696,[77  9] ; [26  6],[75.06779661 10.93220339] ; [27.93220339  4.06779661],0
p8,1,0.255976,1.290391,[44 43] ; [12 19],[41.28813559 45.71186441] ; [14.71186441 16.28813559],0
p10,1,0.288097,1.128494,[73 15] ; [23  8],[70.99159664 17.00840336] ; [25.00840336  5.99159664],0
p9,1,0.292466,1.108235,[74 13] ; [23  7],[72.12820513 14.87179487] ; [24.87179487  5.12820513],0
p11,1,0.299265,1.077468,[64 25] ; [26  6],[66.19834711 22.80165289] ; [23.80165289  8.19834711],0
v3,1,0.306148,1.047222,[29 58] ; [ 7 23],[26.76923077 60.23076923] ; [ 9.23076923 20.76923077],0
p1,1,0.335246,0.928527,[ 9 80] ; [ 5 25],[10.47058824 78.52941176] ; [ 3.52941176 26.47058824],0
n5,1,0.340277,0.909387,[63 25] ; [20 12],[60.86666667 27.13333333] ; [22.13333333  9.86666667],0
a1,1,0.354711,0.856534,[ 7 82] ; [ 1 31],[ 5.88429752 83.11570248] ; [ 2.11570248 29.88429752],0
n1,1,0.391805,0.733333,[12 12] ; [3 6],[10.90909091 13.09090909] ; [4.09090909 4.90909091],0
u3,1,0.436275,0.606061,[12 12] ; [10  6],[13.2 10.8] ; [8.8 7.2],0
n3,1,0.455522,0.556875,[19  5] ; [6 3],[18.18181818  5.81818182] ; [6.81818182 2.18181818],0
s4,1,0.460863,0.543797,[25 63] ; [11 20],[26.62184874 61.37815126] ; [ 9.37815126 21.62184874],0
