Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.006377,7.44058,[36 46] ; [11  2],[40.56842105 41.43157895] ; [6.43157895 6.56842105],0
d1,1,0.046282,3.971288,[46 37] ; [11  2],[49.28125 33.71875] ; [7.71875 5.28125],0
s8,1,0.071744,3.24266,[48 34] ; [11  2],[50.92631579 31.07368421] ; [8.07368421 4.92631579],0
s5,1,0.130384,2.287923,[51 29] ; [8 1],[53.03370787 26.96629213] ; [5.96629213 3.03370787],0
s2,1,0.165907,1.919546,[47 36] ; [10  3],[49.28125 33.71875] ; [7.71875 5.28125],0
a6,1,0.180049,1.797217,[47 35] ; [10  3],[49.2 32.8] ; [7.8 5.2],0
s1,1,0.227438,1.456815,[ 5 78] ; [ 2 11],[ 6.05208333 76.94791667] ; [ 0.94791667 12.05208333],0
r1,1,0.238976,1.386626,[65 18] ; [12  1],[66.57291667 16.42708333] ; [10.42708333  2.57291667],0
p6,1,0.242756,1.364517,[48 32] ; [10  3],[49.89247312 30.10752688] ; [8.10752688 4.89247312],0
s3,1,0.281008,1.162211,[51 32] ; [10  3],[52.73958333 30.26041667] ; [8.26041667 4.73958333],0
p12,1,0.284429,1.145805,[20 62] ; [5 8],[21.57894737 60.42105263] ; [3.42105263 9.57894737],0
p7,1,0.29428,1.099936,[65 16] ; [12  1],[66.35106383 14.64893617] ; [10.64893617  2.35106383],0
b2,1,0.304956,1.052395,[31 29] ; [3 6],[29.56521739 30.43478261] ; [4.43478261 4.56521739],0
b3,1,0.304956,1.052395,[31 29] ; [3 6],[29.56521739 30.43478261] ; [4.43478261 4.56521739],0
p11,1,0.350733,0.870802,[72 11] ; [10  3],[70.89583333 12.10416667] ; [11.10416667  1.89583333],0
v3,1,0.39488,0.723863,[47 33] ; [6 7],[45.59139785 34.40860215] ; [7.40860215 5.59139785],0
a8,1,0.396609,0.718584,[14 63] ; [ 1 11],[12.97752809 64.02247191] ; [2.02247191 9.97752809],0
u1,1,0.426131,0.633344,[12 71] ; [ 3 10],[12.96875 70.03125] ; [ 2.03125 10.96875],0
a3,1,0.436037,0.60669,[62 21] ; [11  2],[63.11458333 19.88541667] ; [9.88541667 3.11458333],0
v1,1,0.445157,0.582953,[53 27] ; [10  3],[54.19354839 25.80645161] ; [8.80645161 4.19354839],0
b5,1,0.480161,0.498497,[36 47] ; [7 6],[37.17708333 45.82291667] ; [5.82291667 7.17708333],0
p3,1,0.529648,0.395068,[63 19] ; [11  2],[63.87368421 18.12631579] ; [10.12631579  2.87368421],0
n5,1,0.57296,0.317755,[72 11] ; [12  1],[72.625 10.375] ; [11.375  1.625],0
p8,1,0.602889,0.27066,[65 18] ; [11  2],[65.70833333 17.29166667] ; [10.29166667  2.70833333],0
u2,1,0.636302,0.223611,[14  7] ; [1 1],[13.69565217  7.30434783] ; [1.30434783 0.69565217],0
u3,1,0.636302,0.223611,[14  7] ; [1 1],[13.69565217  7.30434783] ; [1.30434783 0.69565217],0
u4,1,0.664658,0.187915,[ 4 79] ; [ 1 12],[ 4.32291667 78.67708333] ; [ 0.67708333 12.32291667],0
a5,1,0.676157,0.174484,[62 21] ; [9 4],[61.38541667 21.61458333] ; [9.61458333 3.38541667],0
n4,1,0.729475,0.119594,[74  9] ; [12  1],[74.35416667  8.64583333] ; [11.64583333  1.35416667],0
a1,1,0.735199,0.114392,[10 73] ; [ 2 11],[10.375 72.625] ; [ 1.625 11.375],0
v2,1,0.739642,0.110441,[47 33] ; [7 6],[46.4516129 33.5483871] ; [7.5483871 5.4516129],0
p1,1,0.747738,0.103441,[22 61] ; [4 9],[22.47916667 60.52083333] ; [3.52083333 9.47916667],0
b4,1,0.787085,0.072952,[48 35] ; [7 6],[47.55208333 35.44791667] ; [7.44791667 5.55208333],0
d3,1,0.810831,0.05729,[54 28] ; [9 4],[54.37894737 27.62105263] ; [8.62105263 4.37894737],0
p2,1,0.813381,0.055728,[74  8] ; [12  1],[74.23157895  7.76842105] ; [11.76842105  1.23157895],0
n6,1,0.826171,0.048231,[77  5] ; [12  1],[76.82105263  5.17894737] ; [12.17894737  0.82105263],0
s7,1,0.849727,0.035897,[56 22] ; [9 4],[55.71428571 22.28571429] ; [9.28571429 3.71428571],0
a4,1,0.864371,0.029177,[34 49] ; [5 8],[33.71875 49.28125] ; [5.28125 7.71875],0
d5,1,0.927593,0.008258,[64 18] ; [10  3],[63.87368421 18.12631579] ; [10.12631579  2.87368421],0
b1,1,0.929121,0.007912,[33 50] ; [5 8],[32.85416667 50.14583333] ; [5.14583333 7.85416667],0
d4,1,0.965631,0.001857,[69 13] ; [11  2],[69.05263158 12.94736842] ; [10.94736842  2.05263158],0
a7,1,0.967918,0.001618,[57 26] ; [9 4],[57.0625 25.9375] ; [8.9375 4.0625],0
a2,1,0.979519,0.000659,[13 70] ; [ 2 11],[12.96875 70.03125] ; [ 2.03125 10.96875],0
