Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,26.08472,[27  3] ; [24 46],[15.3 14.7] ; [35.7 34.3],1
p4,1,0.003657,8.446773,[20 10] ; [25 46],[13.36633663 16.63366337] ; [31.63366337 39.36633663],0
p2,1,0.007065,7.256282,[26  4] ; [42 29],[20.1980198  9.8019802] ; [47.8019802 23.1980198],0
s2,1,0.011859,6.331763,[ 6 24] ; [ 3 67],[ 2.7 27.3] ; [ 6.3 63.7],0
v2,1,0.013891,6.051922,[17 13] ; [20 46],[11.5625 18.4375] ; [25.4375 40.5625],0
p5,1,0.03438,4.475696,[ 5 25] ; [ 3 68],[ 2.37623762 27.62376238] ; [ 5.62376238 65.37623762],0
p12,1,0.041046,4.174101,[ 4 26] ; [ 2 69],[ 1.78217822 28.21782178] ; [ 4.21782178 66.78217822],0
u2,1,0.050937,3.810327,[10  4] ; [16 23],[6.86792453 7.13207547] ; [19.13207547 19.86792453],0
r3,1,0.053758,3.720186,[27  3] ; [50 19],[23.33333333  6.66666667] ; [53.66666667 15.33333333],0
p1,1,0.056117,3.648587,[ 6 24] ; [ 5 66],[ 3.26732673 26.73267327] ; [ 7.73267327 63.26732673],0
n3,1,0.084146,2.982955,[9 1] ; [15 10],[6.85714286 3.14285714] ; [17.14285714  7.85714286],0
v4,1,0.095581,2.777778,[28  2] ; [56 14],[25.2  4.8] ; [58.8 11.2],0
s7,1,0.096542,2.761753,[ 9 18] ; [12 56],[ 5.96842105 21.03157895] ; [15.03157895 52.96842105],0
b4,1,0.11139,2.534389,[17 13] ; [28 43],[13.36633663 16.63366337] ; [31.63366337 39.36633663],0
b5,1,0.124681,2.357516,[21  9] ; [38 33],[17.52475248 12.47524752] ; [41.47524752 29.52475248],0
p3,1,0.126566,2.334123,[15 15] ; [24 47],[11.58415842 18.41584158] ; [27.41584158 43.58415842],0
r4,1,0.153282,2.039279,[23  7] ; [44 27],[19.9009901 10.0990099] ; [47.0990099 23.9009901],0
s5,1,0.165218,1.925804,[ 7 22] ; [ 9 61],[ 4.68686869 24.31313131] ; [11.31313131 58.68686869],0
a7,1,0.19918,1.648374,[19 10] ; [36 34],[16.11111111 12.88888889] ; [38.88888889 31.11111111],0
r1,1,0.20116,1.63393,[20 10] ; [37 33],[17.1 12.9] ; [39.9 30.1],0
b1,1,0.248559,1.331388,[16 14] ; [29 42],[13.36633663 16.63366337] ; [31.63366337 39.36633663],0
a4,1,0.25672,1.286361,[10 20] ; [16 55],[ 7.72277228 22.27722772] ; [18.27722772 52.72277228],0
v1,1,0.303473,1.058868,[14 16] ; [25 45],[11.7 18.3] ; [27.3 42.7],0
a8,1,0.340619,0.908102,[ 4 25] ; [ 5 61],[ 2.74736842 26.25263158] ; [ 6.25263158 59.74736842],0
b3,1,0.362722,0.828445,[ 9 10] ; [14 26],[ 7.40677966 11.59322034] ; [15.59322034 24.40677966],0
b2,1,0.362722,0.828445,[ 9 10] ; [14 26],[ 7.40677966 11.59322034] ; [15.59322034 24.40677966],0
