Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000854,11.119909,[8 8] ; [12 74],[ 3.1372549 12.8627451] ; [16.8627451 69.1372549],1
s7,1,0.001501,10.07733,[10  7] ; [17 64],[ 4.68367347 12.31632653] ; [22.31632653 58.68367347],0
p2,1,0.004504,8.068519,[16  1] ; [51 37],[10.84761905  6.15238095] ; [56.15238095 31.84761905],0
s5,1,0.005486,7.711785,[ 6 10] ; [ 9 76],[ 2.37623762 13.62376238] ; [12.62376238 72.37623762],0
s2,1,0.007866,7.063647,[10  7] ; [23 65],[ 5.34285714 11.65714286] ; [27.65714286 60.34285714],0
a5,1,0.019203,5.482952,[ 4 13] ; [48 40],[8.41904762 8.58095238] ; [43.58095238 44.41904762],0
s3,1,0.093423,2.814386,[11  6] ; [37 50],[7.84615385 9.15384615] ; [40.15384615 46.84615385],0
v4,1,0.1086,2.574477,[15  1] ; [66 21],[12.58252427  3.41747573] ; [68.41747573 18.58252427],0
d3,1,0.150484,2.067343,[9 8] ; [30 57],[ 6.375 10.625] ; [32.625 54.375],0
s6,1,0.168557,1.895728,[9 8] ; [31 57],[ 6.47619048 10.52380952] ; [33.52380952 54.47619048],0
b1,1,0.172919,1.857451,[ 7 10] ; [52 36],[9.55238095 7.44761905] ; [49.44761905 38.55238095],0
u1,1,0.19001,1.717541,[ 1 16] ; [ 1 87],[ 0.32380952 16.67619048] ; [ 1.67619048 86.32380952],0
v3,1,0.194788,1.681028,[ 2 15] ; [22 61],[ 4.08 12.92] ; [19.92 63.08],0
b3,1,0.20297,1.620877,[1 9] ; [13 31],[2.59259259 7.40740741] ; [11.40740741 32.59259259],0
b2,1,0.20297,1.620877,[1 9] ; [13 31],[2.59259259 7.40740741] ; [11.40740741 32.59259259],0
a3,1,0.251925,1.312599,[ 7 10] ; [49 38],[9.15384615 7.84615385] ; [46.84615385 40.15384615],0
s8,1,0.289275,1.122995,[ 5 12] ; [16 72],[ 3.4 13.6] ; [17.6 70.4],0
u3,1,0.324574,0.970426,[7 3] ; [20 18],[5.625 4.375] ; [21.375 16.625],0
n2,1,0.339702,0.911555,[7 1] ; [22  9],[5.94871795 2.05128205] ; [23.05128205  7.94871795],0
n1,1,0.345883,0.888502,[2 6] ; [13 17],[3.15789474 4.84210526] ; [11.84210526 18.15789474],0
d4,1,0.346156,0.887498,[11  6] ; [46 42],[9.22857143 7.77142857] ; [47.77142857 40.22857143],0
a6,1,0.373702,0.791317,[12  5] ; [52 36],[10.36190476  6.63809524] ; [53.63809524 34.36190476],0
a8,1,0.382165,0.763726,[ 1 14] ; [13 73],[ 2.07920792 12.92079208] ; [11.92079208 74.07920792],0
r1,1,0.405799,0.691074,[9 8] ; [56 32],[10.52380952  6.47619048] ; [54.47619048 33.52380952],0
a4,1,0.457851,0.551144,[ 3 14] ; [23 65],[ 4.20952381 12.79047619] ; [21.79047619 66.20952381],0
u2,1,0.486126,0.485089,[7 3] ; [22 16],[6.04166667 3.95833333] ; [22.95833333 15.04166667],0
r2,1,0.4979,0.45941,[12  5] ; [68 19],[13.07692308  3.92307692] ; [66.92307692 20.07692308],0
p3,1,0.502716,0.449198,[ 6 11] ; [24 64],[ 4.85714286 12.14285714] ; [25.14285714 62.85714286],0
b4,1,0.505169,0.44406,[ 7 10] ; [44 44],[8.25714286 8.74285714] ; [42.74285714 45.25714286],0
d2,1,0.520423,0.413056,[ 2 15] ; [16 72],[ 2.91428571 14.08571429] ; [15.08571429 72.91428571],0
p1,1,0.56811,0.325856,[ 1 16] ; [ 9 78],[ 1.63461538 15.36538462] ; [ 8.36538462 78.63461538],0
r3,1,0.590464,0.28962,[13  3] ; [66 22],[12.15384615  3.84615385] ; [66.84615385 21.15384615],0
p7,1,0.593987,0.28416,[8 7] ; [39 46],[7.05 7.95] ; [39.95 45.05],0
v2,1,0.614776,0.253279,[ 5 12] ; [29 52],[ 5.89795918 11.10204082] ; [28.10204082 52.89795918],0
p4,1,0.621958,0.243125,[ 5 12] ; [31 56],[ 5.88461538 11.11538462] ; [30.11538462 56.88461538],0
p10,1,0.64609,0.210865,[7 9] ; [43 43],[7.84313725 8.15686275] ; [42.15686275 43.84313725],0
v1,1,0.677486,0.172969,[ 6 11] ; [35 51],[ 6.76699029 10.23300971] ; [34.23300971 51.76699029],0
b5,1,0.681618,0.168311,[10  7] ; [47 41],[9.22857143 7.77142857] ; [47.77142857 40.22857143],0
p11,1,0.681618,0.168311,[10  7] ; [47 41],[9.22857143 7.77142857] ; [47.77142857 40.22857143],0
n3,1,0.685117,0.164423,[5 3] ; [21  9],[5.47368421 2.52631579] ; [20.52631579  9.47368421],0
n5,1,0.691352,0.157625,[9 8] ; [41 45],[8.25242718 8.74757282] ; [41.74757282 44.25242718],0
p9,1,0.744865,0.105897,[10  6] ; [50 36],[9.41176471 6.58823529] ; [50.58823529 35.41176471],0
n4,1,0.758207,0.094763,[8 9] ; [45 43],[8.58095238 8.41904762] ; [44.41904762 43.58095238],0
a7,1,0.76803,0.086997,[9 8] ; [50 38],[9.55238095 7.44761905] ; [49.44761905 38.55238095],0
p8,1,0.77862,0.079028,[ 5 11] ; [30 56],[ 5.49019608 10.50980392] ; [29.50980392 56.49019608],0
r4,1,0.863185,0.029695,[11  6] ; [55 33],[10.68571429  6.31428571] ; [55.31428571 32.68571429],0
d5,1,0.89158,0.018579,[9 8] ; [45 43],[8.74285714 8.25714286] ; [45.25714286 42.74285714],0
