Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5e-05,16.450352,[32 19] ; [ 45 102],[19.83333333 31.16666667] ; [57.16666667 89.83333333],1
s2,1,0.000178,14.045352,[36 19] ; [55 97],[24.17874396 30.82125604] ; [66.82125604 85.17874396],1
s6,1,0.000334,12.869719,[43 11] ; [78 73],[31.87317073 22.12682927] ; [89.12682927 61.87317073],1
s4,1,0.00993,6.647345,[16 38] ; [ 21 130],[ 9.74634146 44.25365854] ; [ 27.25365854 123.74634146],0
p5,1,0.011982,6.313549,[10 45] ; [ 10 143],[ 5.28846154 49.71153846] ; [ 14.71153846 138.28846154],0
n1,1,0.024397,5.066171,[10  9] ; [ 9 30],[ 6.22413793 12.77586207] ; [12.77586207 26.22413793],0
r1,1,0.035163,4.437234,[42 13] ; [92 60],[35.60386473 19.39613527] ; [98.39613527 53.60386473],0
n2,1,0.069768,3.288462,[16  3] ; [23 15],[13.  6.] ; [26. 12.],0
u3,1,0.081702,3.030718,[17  8] ; [42 45],[13.16964286 11.83035714] ; [45.83035714 41.16964286],0
v1,1,0.085685,2.953624,[29 25] ; [59 88],[23.64179104 30.35820896] ; [64.35820896 82.64179104],0
d5,1,0.089539,2.882646,[42 13] ; [97 55],[36.93236715 18.06763285] ; [102.06763285  49.93236715],0
p6,1,0.092612,2.828369,[23 30] ; [ 46 104],[18.01477833 34.98522167] ; [50.98522167 99.01477833],0
b2,1,0.103292,2.653971,[ 4 27] ; [22 58],[ 7.26126126 23.73873874] ; [18.73873874 61.26126126],0
b3,1,0.103292,2.653971,[ 4 27] ; [22 58],[ 7.26126126 23.73873874] ; [18.73873874 61.26126126],0
a3,1,0.10526,2.623988,[30 24] ; [65 87],[24.90291262 29.09708738] ; [70.09708738 81.90291262],0
s1,1,0.110182,2.551608,[ 2 52] ; [  1 150],[ 0.7902439 53.2097561] ; [  2.2097561 148.7902439],0
a1,1,0.111551,2.532104,[ 2 53] ; [  1 152],[ 0.79326923 54.20673077] ; [  2.20673077 150.79326923],0
u1,1,0.123379,2.373894,[ 4 51] ; [  4 149],[ 2.11538462 52.88461538] ; [  5.88461538 147.11538462],0
b5,1,0.124953,2.354111,[28 27] ; [96 57],[32.78846154 22.21153846] ; [91.21153846 61.78846154],0
s3,1,0.13776,2.202805,[35 20] ; [78 72],[30.31707317 24.68292683] ; [82.68292683 67.31707317],0
d4,1,0.168573,1.895588,[41 13] ; [100  52],[36.96116505 17.03883495] ; [104.03883495  47.96116505],0
a8,1,0.1715,1.869779,[ 9 41] ; [ 15 127],[ 6.25 43.75] ; [ 17.75 124.25],0
b4,1,0.205075,1.605859,[37 18] ; [88 65],[33.05288462 21.94711538] ; [91.94711538 61.05288462],0
