Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,192.324211,[ 25 185] ; [259 100],[104.81546573 105.18453427] ; [179.18453427 179.81546573],1
d5,1,0.0,153.825172,[120  90] ; [352   8],[173.89473684  36.10526316] ; [298.10526316  61.89473684],1
d4,1,0.0,148.900575,[125  85] ; [354   6],[176.47368421  33.52631579] ; [302.52631579  57.47368421],1
d3,1,0.0,147.536126,[105 105] ; [338  22],[163.21052632  46.78947368] ; [279.78947368  80.21052632],1
a2,1,0.0,85.198235,[ 14 196] ; [156 204],[ 62.63157895 147.36842105] ; [107.36842105 252.63157895],1
u1,1,0.0,69.223645,[  9 201] ; [126 234],[ 49.73684211 160.26315789] ; [ 85.26315789 274.73684211],1
a4,1,0.0,65.259043,[ 48 161] ; [208 151],[ 94.1971831 114.8028169] ; [161.8028169 197.1971831],1
a5,1,0.0,48.488002,[123  87] ; [305  55],[157.68421053  52.31578947] ; [270.31578947  89.68421053],1
a3,1,0.0,38.364323,[118  91] ; [289  69],[150.02292769  58.97707231] ; [256.97707231 101.02292769],1
a6,1,0.0,35.50124,[131  79] ; [303  56],[160.17574692  49.82425308] ; [273.82425308  85.17574692],1
r1,1,3e-05,17.405432,[153  55] ; [313  45],[171.25088339  36.74911661] ; [294.74911661  63.25088339],1
s8,1,6.4e-05,15.992212,[ 68 140] ; [178 178],[ 90.72340426 117.27659574] ; [155.27659574 200.72340426],1
s2,1,0.001399,10.206783,[ 89 117] ; [203 152],[107.2228164  98.7771836] ; [184.7771836 170.2228164],0
n4,1,0.001425,10.173429,[152  56] ; [303  57],[166.61971831  41.38028169] ; [288.38028169  71.61971831],0
v2,1,0.002524,9.123211,[104  99] ; [222 123],[120.76277372  82.23722628] ; [205.23722628 139.76277372],0
v3,1,0.00314,8.724113,[ 68 140] ; [155 186],[ 84.48816029 123.51183971] ; [138.51183971 202.48816029],0
p4,1,0.00315,8.718289,[115  92] ; [244 115],[131.295053  75.704947] ; [227.704947 131.295053],0
s7,1,0.009209,6.781878,[ 82 114] ; [184 160],[96.54814815 99.45185185] ; [169.45185185 174.54814815],0
n5,1,0.019151,5.487692,[151  57] ; [291  68],[162.14462081  45.85537919] ; [279.85537919  79.14462081],0
p12,1,0.020185,5.395825,[ 11 196] ; [ 40 320],[ 18.61904762 188.38095238] ; [ 32.38095238 327.61904762],0
r2,1,0.027241,4.875487,[194  13] ; [346   9],[198.89679715   8.10320285] ; [341.10320285  13.89679715],0
v1,1,0.034705,4.459635,[102 104] ; [205 144],[113.94954955  92.05045045] ; [193.05045045 155.94954955],0
s3,1,0.035022,4.44408,[102 102] ; [209 144],[113.90305206  90.09694794] ; [197.09694794 155.90305206],0
p3,1,0.053866,3.716843,[ 96 113] ; [195 164],[107.07570423 101.92429577] ; [183.92429577 175.07570423],0
r4,1,0.073602,3.200809,[190  20] ; [340  20],[195.26315789  14.73684211] ; [334.73684211  25.26315789],0
u4,1,0.075733,3.154184,[  2 208] ; [ 12 347],[  5.16695958 204.83304042] ; [  8.83304042 350.16695958],0
v4,1,0.092585,2.828838,[198  10] ; [350   8],[201.38515901   6.61484099] ; [346.61484099  11.38515901],0
p6,1,0.09873,2.725932,[ 70 136] ; [146 210],[ 79.17437722 126.82562278] ; [136.82562278 219.17437722],0
p10,1,0.107911,2.584545,[164  38] ; [309  49],[170.61785714  31.38214286] ; [302.38214286  55.61785714],0
p9,1,0.111215,2.536871,[170  34] ; [312  42],[176.21505376  27.78494624] ; [305.78494624  48.21505376],0
u3,1,0.13128,2.2773,[49 41] ; [47 24],[53.66459627 36.33540373] ; [42.33540373 28.66459627],0
b2,1,0.136407,2.218025,[35 77] ; [ 89 136],[41.21068249 70.78931751] ; [ 82.78931751 142.21068249],0
b3,1,0.136407,2.218025,[35 77] ; [ 89 136],[41.21068249 70.78931751] ; [ 82.78931751 142.21068249],0
b5,1,0.18317,1.771713,[129  81] ; [241 119],[136.31578947  73.68421053] ; [233.68421053 126.31578947],0
p11,1,0.262952,1.253151,[164  46] ; [295  65],[169.10526316  40.89473684] ; [289.89473684  70.10526316],0
p8,1,0.262985,1.252974,[106 100] ; [200 155],[112.36363636  93.63636364] ; [193.63636364 161.36363636],0
