Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003761,8.395549,[18  7] ; [ 9 19],[12.73584906 12.26415094] ; [14.26415094 13.73584906],0
p7,1,0.007497,7.149808,[ 7 18] ; [17  9],[11.76470588 13.23529412] ; [12.23529412 13.76470588],0
v3,1,0.018707,5.528727,[ 9 15] ; [ 3 26],[ 5.43396226 18.56603774] ; [ 6.56603774 22.43396226],0
n1,1,0.034799,4.455,[7 3] ; [3 9],[4.54545455 5.45454545] ; [5.45454545 6.54545455],0
s7,1,0.063074,3.454665,[ 8 16] ; [ 3 23],[ 5.28 18.72] ; [ 5.72 20.28],0
r2,1,0.087148,2.926275,[20  4] ; [18 11],[17.20754717  6.79245283] ; [20.79245283  8.20754717],0
d4,1,0.12375,2.369208,[ 9 16] ; [16 12],[11.79245283 13.20754717] ; [13.20754717 14.79245283],0
b3,1,0.138011,2.2,[ 8 10] ; [ 3 12],[ 6. 12.] ; [ 5. 10.],0
b2,1,0.138011,2.2,[ 8 10] ; [ 3 12],[ 6. 12.] ; [ 5. 10.],0
a8,1,0.1455,2.11881,[ 5 18] ; [ 2 25],[ 3.22 19.78] ; [ 3.78 23.22],0
n3,1,0.163187,1.944444,[5 4] ; [10  2],[6.42857143 2.57142857] ; [8.57142857 3.42857143],0
a6,1,0.194275,1.684898,[13 12] ; [10 19],[10.64814815 14.35185185] ; [12.35185185 16.64814815],0
a5,1,0.202251,1.626046,[12 13] ; [ 9 20],[ 9.72222222 15.27777778] ; [11.27777778 17.72222222],0
s6,1,0.202251,1.626046,[12 13] ; [ 9 20],[ 9.72222222 15.27777778] ; [11.27777778 17.72222222],0
p8,1,0.204876,1.607268,[ 5 20] ; [10 18],[ 7.0754717 17.9245283] ; [ 7.9245283 20.0754717],0
v2,1,0.213569,1.547064,[ 7 17] ; [ 4 23],[ 5.17647059 18.82352941] ; [ 5.82352941 21.17647059],0
b1,1,0.283639,1.149572,[11 14] ; [17 12],[12.96296296 12.03703704] ; [15.03703704 13.96296296],0
p11,1,0.283639,1.149572,[11 14] ; [17 12],[12.96296296 12.03703704] ; [15.03703704 13.96296296],0
p2,1,0.299532,1.076276,[12 13] ; [18 11],[13.88888889 11.11111111] ; [16.11111111 12.88888889],0
p3,1,0.341166,0.906044,[ 9 16] ; [ 7 22],[ 7.40740741 17.59259259] ; [ 8.59259259 20.40740741],0
u2,1,0.343446,0.897527,[6 7] ; [9 5],[7.22222222 5.77777778] ; [7.77777778 6.22222222],0
p6,1,0.361448,0.832857,[ 3 22] ; [ 6 22],[ 4.24528302 20.75471698] ; [ 4.75471698 23.24528302],0
r4,1,0.388938,0.742259,[15 10] ; [14 15],[13.42592593 11.57407407] ; [15.57407407 13.42592593],0
r1,1,0.388938,0.742259,[15 10] ; [14 15],[13.42592593 11.57407407] ; [15.57407407 13.42592593],0
b5,1,0.435121,0.609115,[12 13] ; [17 12],[13.42592593 11.57407407] ; [15.57407407 13.42592593],0
s3,1,0.455598,0.556688,[13 12] ; [18 11],[14.35185185 10.64814815] ; [16.64814815 12.35185185],0
p10,1,0.465329,0.533046,[10 14] ; [15 14],[11.32075472 12.67924528] ; [13.67924528 15.32075472],0
a2,1,0.466547,0.530142,[ 2 23] ; [ 1 28],[ 1.38888889 23.61111111] ; [ 1.61111111 27.38888889],0
n2,1,0.484423,0.488889,[8 2] ; [8 4],[7.27272727 2.72727273] ; [8.72727273 3.27272727],0
p4,1,0.511219,0.431571,[ 6 19] ; [ 9 19],[ 7.0754717 17.9245283] ; [ 7.9245283 20.0754717],0
a1,1,0.518844,0.416191,[ 3 22] ; [ 2 27],[ 2.31481481 22.68518519] ; [ 2.68518519 26.31481481],0
p1,1,0.518844,0.416191,[ 3 22] ; [ 2 27],[ 2.31481481 22.68518519] ; [ 2.68518519 26.31481481],0
v4,1,0.615824,0.251781,[17  7] ; [18 10],[16.15384615  7.84615385] ; [18.84615385  9.15384615],0
d1,1,0.643119,0.214686,[ 1 24] ; [ 2 27],[ 1.38888889 23.61111111] ; [ 1.61111111 27.38888889],0
v1,1,0.649053,0.207096,[ 8 17] ; [11 18],[ 8.7962963 16.2037037] ; [10.2037037 18.7962963],0
d2,1,0.715337,0.133005,[ 5 20] ; [ 7 22],[ 5.55555556 19.44444444] ; [ 6.44444444 22.55555556],0
