Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,62.535166,[102   6] ; [15 28],[83.68211921 24.31788079] ; [33.31788079  9.68211921],1
p11,1,0.0,29.166385,[91 17] ; [19 27],[77.14285714 30.85714286] ; [32.85714286 13.14285714],1
p2,1,1e-06,24.190093,[87 20] ; [19 27],[74.13071895 32.86928105] ; [31.86928105 14.13071895],1
r4,1,3.8e-05,16.987291,[76 32] ; [16 30],[64.51948052 43.48051948] ; [27.48051948 18.51948052],1
r3,1,0.000429,12.403512,[99  9] ; [32 14],[91.87012987 16.12987013] ; [39.12987013  6.87012987],1
b1,1,0.000634,11.673699,[36 72] ; [29 17],[45.58441558 62.41558442] ; [19.41558442 26.58441558],1
n5,1,0.000689,11.518116,[78 30] ; [20 26],[68.72727273 39.27272727] ; [29.27272727 16.72727273],1
p8,1,0.001749,9.795548,[50 56] ; [ 9 36],[41.41721854 64.58278146] ; [17.58278146 27.41721854],0
s2,1,0.003744,8.404209,[58 50] ; [13 33],[49.79220779 58.20779221] ; [21.20779221 24.79220779],0
n4,1,0.007891,7.057974,[78 30] ; [23 23],[70.83116883 37.16883117] ; [30.16883117 15.83116883],0
s8,1,0.012122,6.292968,[41 67] ; [ 8 38],[34.36363636 73.63636364] ; [14.63636364 31.36363636],0
v4,1,0.013899,6.050983,[95 13] ; [33 13],[89.76623377 18.23376623] ; [38.23376623  7.76623377],0
a7,1,0.015751,5.830453,[76 32] ; [23 23],[69.42857143 38.57142857] ; [29.57142857 16.42857143],0
n6,1,0.01594,5.809431,[89 19] ; [29 16],[83.29411765 24.70588235] ; [34.70588235 10.29411765],0
s6,1,0.019971,5.41444,[67 38] ; [20 26],[60.49668874 44.50331126] ; [26.50331126 19.49668874],0
r2,1,0.024384,5.067085,[89 17] ; [29 14],[83.94630872 22.05369128] ; [34.05369128  8.94630872],0
p7,1,0.063817,3.435305,[56 49] ; [17 29],[50.7615894 54.2384106] ; [22.2384106 23.7615894],0
p5,1,0.08092,3.046323,[15 92] ; [ 2 44],[11.88888889 95.11111111] ; [ 5.11111111 40.88888889],0
v1,1,0.084278,2.980413,[50 54] ; [14 29],[45.27891156 58.72108844] ; [18.72108844 24.27891156],0
p4,1,0.122414,2.386159,[58 50] ; [18 27],[53.64705882 54.35294118] ; [22.35294118 22.64705882],0
s5,1,0.126518,2.334711,[34 67] ; [ 9 34],[30.15972222 70.84027778] ; [12.84027778 30.15972222],0
s1,1,0.126946,2.329459,[  2 106] ; [ 3 42],[  3.52941176 104.47058824] ; [ 1.47058824 43.52941176],0
d2,1,0.166875,1.910793,[44 63] ; [24 21],[47.86842105 59.13157895] ; [20.13157895 24.86842105],0
s7,1,0.171651,1.868468,[44 60] ; [13 30],[40.32653061 63.67346939] ; [16.67346939 26.32653061],0
b4,1,0.18172,1.783499,[71 37] ; [25 21],[67.32467532 40.67532468] ; [28.67532468 17.32467532],0
a5,1,0.18172,1.783499,[71 37] ; [25 21],[67.32467532 40.67532468] ; [28.67532468 17.32467532],0
a8,1,0.217679,1.519604,[11 92] ; [ 2 43],[ 9.0472973 93.9527027] ; [ 3.9527027 41.0472973],0
p3,1,0.221606,1.493939,[50 58] ; [16 29],[46.58823529 61.41176471] ; [19.41176471 25.58823529],0
p6,1,0.22674,1.461193,[38 68] ; [11 32],[34.8590604 71.1409396] ; [14.1409396 28.8590604],0
p12,1,0.351314,0.868705,[  6 101] ; [ 1 45],[  4.89542484 102.10457516] ; [ 2.10457516 43.89542484],0
s3,1,0.360167,0.837312,[53 55] ; [18 26],[50.44736842 57.55263158] ; [20.55263158 23.44736842],0
p1,1,0.379333,0.772863,[12 96] ; [ 3 43],[10.51948052 97.48051948] ; [ 4.48051948 41.51948052],0
u2,1,0.384088,0.757576,[21 14] ; [7 8],[19.6 15.4] ; [8.4 6.6],0
b2,1,0.413382,0.669052,[27 39] ; [10 21],[25.17525773 40.82474227] ; [11.82474227 19.17525773],0
b3,1,0.413382,0.669052,[27 39] ; [10 21],[25.17525773 40.82474227] ; [11.82474227 19.17525773],0
d5,1,0.444786,0.583905,[88 20] ; [35 11],[86.25974026 21.74025974] ; [36.74025974  9.25974026],0
v3,1,0.449692,0.571429,[37 68] ; [13 32],[35. 70.] ; [15. 30.],0
d3,1,0.453385,0.562175,[77 31] ; [30 16],[75.03896104 32.96103896] ; [31.96103896 14.03896104],0
a6,1,0.572198,0.319018,[64 44] ; [25 21],[62.41558442 45.58441558] ; [26.58441558 19.41558442],0
a1,1,0.616311,0.251087,[ 9 99] ; [ 5 41],[ 9.81818182 98.18181818] ; [ 4.18181818 41.81818182],0
b5,1,0.641344,0.216989,[70 38] ; [28 18],[68.72727273 39.27272727] ; [29.27272727 16.72727273],0
d1,1,0.647364,0.209239,[63 45] ; [25 21],[61.71428571 46.28571429] ; [26.28571429 19.71428571],0
n1,1,0.685019,0.164531,[13 19] ; [ 7 13],[12.30769231 19.69230769] ; [ 7.69230769 12.30769231],0
n3,1,0.696532,0.152105,[20 12] ; [12  9],[19.32075472 12.67924528] ; [12.67924528  8.32075472],0
