Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000402,12.522867,[16  7] ; [31 72],[ 8.57936508 14.42063492] ; [38.42063492 64.57936508],1
p4,1,0.000446,12.328176,[16  9] ; [28 76],[ 8.52713178 16.47286822] ; [35.47286822 68.52713178],1
p3,1,0.000668,11.576055,[13 12] ; [20 85],[ 6.34615385 18.65384615] ; [26.65384615 78.34615385],1
s8,1,0.000844,11.142857,[11 14] ; [15 90],[ 5. 20.] ; [21. 84.],1
s7,1,0.001372,10.243074,[13  8] ; [26 74],[ 6.76859504 14.23140496] ; [32.23140496 67.76859504],0
s2,1,0.001632,9.923077,[15 10] ; [28 76],[ 8.33333333 16.66666667] ; [34.66666667 69.33333333],0
p2,1,0.005043,7.863922,[21  4] ; [56 49],[14.80769231 10.19230769] ; [62.19230769 42.80769231],0
p8,1,0.008962,6.83047,[12 13] ; [23 81],[ 6.78294574 18.21705426] ; [28.21705426 75.78294574],0
r3,1,0.041006,4.175755,[19  6] ; [54 47],[14.48412698 10.51587302] ; [58.51587302 42.48412698],0
b5,1,0.042767,4.10458,[18  7] ; [52 53],[13.46153846 11.53846154] ; [56.53846154 48.46153846],0
p11,1,0.045193,4.011429,[17  8] ; [48 57],[12.5 12.5] ; [52.5 52.5],0
p9,1,0.058954,3.566576,[18  7] ; [51 49],[13.8 11.2] ; [55.2 44.8],0
u2,1,0.06886,3.309994,[8 4] ; [16 27],[5.23636364 6.76363636] ; [18.76363636 24.23636364],0
r2,1,0.076553,3.136598,[17  6] ; [52 45],[13.225  9.775] ; [55.775 41.225],0
s3,1,0.078083,3.104362,[13 12] ; [33 67],[ 9.2 15.8] ; [36.8 63.2],0
a6,1,0.08367,2.992137,[16  9] ; [47 58],[12.11538462 12.88461538] ; [50.88461538 54.11538462],0
s4,1,0.095108,2.785714,[ 8 17] ; [18 87],[ 5. 20.] ; [21. 84.],0
v4,1,0.097899,2.739448,[19  6] ; [58 42],[15.4  9.6] ; [61.6 38.4],0
n5,1,0.102244,2.670186,[18  6] ; [58 44],[14.47619048  9.52380952] ; [61.52380952 40.47619048],0
b4,1,0.102422,2.667417,[10 15] ; [61 44],[13.65384615 11.34615385] ; [57.34615385 47.65384615],0
s6,1,0.107821,2.585873,[13 12] ; [36 68],[ 9.49612403 15.50387597] ; [39.50387597 64.49612403],0
b3,1,0.149075,2.081691,[ 2 11] ; [23 41],[4.22077922 8.77922078] ; [20.77922078 43.22077922],0
b2,1,0.149075,2.081691,[ 2 11] ; [23 41],[4.22077922 8.77922078] ; [20.77922078 43.22077922],0
v2,1,0.193643,1.689678,[12 12] ; [36 65],[ 9.216 14.784] ; [38.784 62.216],0
d5,1,0.200658,1.63758,[18  7] ; [61 44],[15.19230769  9.80769231] ; [63.80769231 41.19230769],0
