Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2e-06,23.121171,[276  25] ; [41 18],[265.04722222  35.95277778] ; [51.95277778  7.04722222],1
p8,1,1.9e-05,18.287309,[218  82] ; [25 32],[204.20168067  95.79831933] ; [38.79831933 18.20168067],1
p6,1,6.6e-05,15.927383,[161 138] ; [15 44],[146.99441341 152.00558659] ; [29.00558659 29.99441341],1
d3,1,0.000619,11.717969,[217  85] ; [29 30],[205.79501385  96.20498615] ; [40.20498615 18.79501385],1
p5,1,0.00105,10.736457,[ 72 227] ; [ 3 56],[ 62.6396648 236.3603352] ; [12.3603352 46.6396648],0
p9,1,0.001135,10.592627,[283  19] ; [46 11],[276.7632312  25.2367688] ; [52.2367688  4.7632312],0
s6,1,0.001637,9.917128,[223  69] ; [32 25],[213.35243553  78.64756447] ; [41.64756447 15.35243553],0
d1,1,0.003224,8.676341,[204  98] ; [28 31],[194.08310249 107.91689751] ; [37.91689751 21.08310249],0
s7,1,0.018218,5.575082,[177 103] ; [27 31],[168.99408284 111.00591716] ; [35.00591716 22.99408284],0
d4,1,0.027682,4.847764,[255  46] ; [43 16],[249.16111111  51.83888889] ; [48.83888889 10.16111111],0
a7,1,0.030749,4.666937,[225  76] ; [36 23],[218.225  82.775] ; [42.775 16.225],0
p12,1,0.031285,4.637262,[ 41 260] ; [ 2 55],[ 36.15363128 264.84636872] ; [ 6.84636872 50.15363128],0
p10,1,0.044743,4.028317,[276  26] ; [48 10],[271.8  30.2] ; [52.2  5.8],0
d5,1,0.069747,3.288971,[262  39] ; [46 13],[257.52222222  43.47777778] ; [50.47777778  8.52222222],0
v4,1,0.071205,3.255025,[290  10] ; [54  5],[287.46518106  12.53481894] ; [56.53481894  2.46518106],0
r3,1,0.072278,3.230514,[289  10] ; [54  5],[286.47206704  12.52793296] ; [56.52793296  2.47206704],0
u2,1,0.072885,3.216833,[40 28] ; [ 5 10],[36.86746988 31.13253012] ; [8.13253012 6.86746988],0
s2,1,0.077464,3.117321,[173 124] ; [27 32],[166.85393258 130.14606742] ; [33.14606742 25.85393258],0
p11,1,0.08105,3.043723,[262  40] ; [46 13],[257.66204986  44.33795014] ; [50.33795014  8.66204986],0
b1,1,0.113752,2.501298,[125 177] ; [31 28],[130.50415512 171.49584488] ; [25.49584488 33.50415512],0
s4,1,0.117827,2.44597,[ 55 241] ; [ 6 53],[ 50.86197183 245.13802817] ; [10.13802817 48.86197183],0
a6,1,0.121574,2.39693,[218  84] ; [36 22],[213.07777778  88.92222222] ; [40.92222222 17.07777778],0
r1,1,0.130746,2.28362,[253  48] ; [44 14],[249.01671309  51.98328691] ; [47.98328691 10.01671309],0
d2,1,0.187579,1.736529,[169 133] ; [27 31],[164.42222222 137.57777778] ; [31.57777778 26.42222222],0
b4,1,0.249794,1.324453,[173 129] ; [29 30],[168.98614958 133.01385042] ; [33.01385042 25.98614958],0
s5,1,0.257281,1.283328,[122 165] ; [20 38],[118.12753623 168.87246377] ; [23.87246377 34.12753623],0
r2,1,0.260746,1.264791,[285  15] ; [58  1],[286.62952646  13.37047354] ; [56.37047354  2.62952646],0
n3,1,0.266575,1.234286,[32 13] ; [8 1],[33.33333333 11.66666667] ; [6.66666667 2.33333333],0
r4,1,0.283201,1.151662,[283  19] ; [53  6],[281.08587258  20.91412742] ; [54.91412742  4.08587258],0
n6,1,0.284403,1.145931,[286  15] ; [54  5],[284.27777778  16.72222222] ; [55.72222222  3.27777778],0
b5,1,0.315144,1.008994,[168 134] ; [37 22],[171.49584488 130.50415512] ; [33.50415512 25.49584488],0
n2,1,0.379775,0.771429,[34 11] ; [8 1],[35. 10.] ; [7. 2.],0
v3,1,0.392461,0.731303,[146 145] ; [26 33],[143.00571429 147.99428571] ; [28.99428571 30.00571429],0
a5,1,0.401281,0.704486,[240  62] ; [44 15],[237.58448753  64.41551247] ; [46.41551247 12.58448753],0
s3,1,0.43169,0.618272,[183 115] ; [33 26],[180.30252101 117.69747899] ; [35.69747899 23.30252101],0
n4,1,0.448642,0.57408,[280  22] ; [53  6],[278.57617729  23.42382271] ; [54.42382271  4.57617729],0
v1,1,0.470551,0.520682,[192 102] ; [35 23],[189.59659091 104.40340909] ; [37.40340909 20.59659091],0
a3,1,0.549516,0.358185,[234  67] ; [43 15],[232.24791086  68.75208914] ; [44.75208914 13.24791086],0
u1,1,0.57388,0.316233,[ 77 225] ; [13 46],[ 75.29085873 226.70914127] ; [14.70914127 44.29085873],0
u3,1,0.594001,0.284139,[39 29] ; [8 8],[38.04761905 29.95238095] ; [8.95238095 7.04761905],0
n1,1,0.626117,0.237363,[21 24] ; [5 4],[21.66666667 23.33333333] ; [4.33333333 4.66666667],0
a2,1,0.632769,0.228324,[ 86 216] ; [15 44],[ 84.49307479 217.50692521] ; [16.50692521 42.49307479],0
p7,1,0.655597,0.198917,[231  68] ; [44 15],[229.67877095  69.32122905] ; [45.32122905 13.67877095],0
a1,1,0.723065,0.125575,[ 19 283] ; [ 3 56],[ 18.40443213 283.59556787] ; [ 3.59556787 55.40443213],0
p1,1,0.73166,0.117593,[ 36 265] ; [ 8 51],[ 36.78888889 264.21111111] ; [ 7.21111111 51.78888889],0
