Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,65.77552,[102   9] ; [ 9 27],[83.81632653 27.18367347] ; [27.18367347  8.81632653],1
p2,1,9e-06,19.680115,[88 23] ; [15 22],[77.25 33.75] ; [25.75 11.25],1
p7,1,0.000129,14.657919,[58 51] ; [ 6 30],[48.11034483 60.88965517] ; [15.88965517 20.11034483],1
p11,1,0.000304,13.047138,[89 23] ; [18 19],[80.4295302 31.5704698] ; [26.5704698 10.4295302],1
r4,1,0.000476,12.20838,[102  10] ; [25 12],[95.46308725 16.53691275] ; [31.53691275  5.46308725],1
r3,1,0.00049,12.155015,[109   3] ; [29  7],[104.43243243   7.56756757] ; [33.56756757  2.43243243],1
v2,1,0.002994,8.811305,[86 25] ; [18 17],[79.06849315 31.93150685] ; [24.93150685 10.06849315],0
b1,1,0.003131,8.729512,[36 76] ; [22 15],[43.59731544 68.40268456] ; [14.40268456 22.59731544],0
n6,1,0.00551,7.704076,[100  12] ; [26 11],[94.7114094 17.2885906] ; [31.2885906  5.7114094],0
v4,1,0.007697,7.10255,[108   4] ; [31  6],[104.48322148   7.51677852] ; [34.51677852  2.48322148],0
r1,1,0.008676,6.888257,[95 17] ; [24 13],[89.44966443 22.55033557] ; [29.55033557  7.44966443],0
a5,1,0.01158,6.374142,[85 27] ; [20 17],[78.9261745 33.0738255] ; [26.0738255 10.9261745],0
s7,1,0.021232,5.307675,[62 45] ; [12 22],[56.15602837 50.84397163] ; [17.84397163 16.15602837],0
b2,1,0.022692,5.191918,[33 40] ; [ 4 18],[28.43157895 44.56842105] ; [ 8.56842105 13.43157895],0
b3,1,0.022692,5.191918,[33 40] ; [ 4 18],[28.43157895 44.56842105] ; [ 8.56842105 13.43157895],0
p4,1,0.023993,5.095146,[54 58] ; [10 27],[48.10738255 63.89261745] ; [15.89261745 21.10738255],0
p3,1,0.034331,4.47812,[52 59] ; [10 27],[46.5 64.5] ; [15.5 21.5],0
a3,1,0.034687,4.460516,[89 23] ; [23 14],[84.18791946 27.81208054] ; [27.81208054  9.18791946],0
s2,1,0.039463,4.240842,[62 49] ; [13 23],[56.63265306 54.36734694] ; [18.36734694 17.63265306],0
n5,1,0.03949,4.239643,[91 21] ; [24 13],[86.44295302 25.55704698] ; [28.55704698  8.44295302],0
d1,1,0.063181,3.451843,[68 44] ; [16 21],[63.1409396 48.8590604] ; [20.8590604 16.1409396],0
u1,1,0.066055,3.378438,[32 80] ; [ 5 32],[27.81208054 84.18791946] ; [ 9.18791946 27.81208054],0
d5,1,0.084355,2.97893,[98 14] ; [28  9],[94.7114094 17.2885906] ; [31.2885906  5.7114094],0
s6,1,0.130362,2.288188,[78 33] ; [21 16],[74.25 36.75] ; [24.75 12.25],0
s8,1,0.139052,2.188415,[55 57] ; [13 24],[51.11409396 60.88590604] ; [16.88590604 20.11409396],0
s1,1,0.144912,2.125011,[  3 106] ; [ 3 33],[  4.51034483 104.48965517] ; [ 1.48965517 34.51034483],0
a1,1,0.159231,1.981517,[  7 105] ; [ 5 32],[  9.02013423 102.97986577] ; [ 2.97986577 34.02013423],0
a6,1,0.164445,1.93287,[83 29] ; [23 14],[79.67785235 32.32214765] ; [26.32214765 10.67785235],0
p6,1,0.191649,1.704895,[26 84] ; [ 5 32],[23.19727891 86.80272109] ; [ 7.80272109 29.19727891],0
d3,1,0.252982,1.306759,[78 34] ; [22 15],[75.16778523 36.83221477] ; [24.83221477 12.16778523],0
a7,1,0.33557,0.927285,[81 31] ; [23 13],[78.7027027 33.2972973] ; [25.2972973 10.7027027],0
u4,1,0.406871,0.687926,[  1 111] ; [ 1 36],[  1.5033557 110.4966443] ; [ 0.4966443 36.5033557],0
u2,1,0.452461,0.564479,[13 10] ; [9 4],[14.05555556  8.94444444] ; [7.94444444 5.05555556],0
d4,1,0.477325,0.504968,[93 19] ; [28  8],[91.56756757 20.43243243] ; [29.43243243  6.56756757],0
u3,1,0.514084,0.425745,[14  9] ; [10  4],[14.91891892  8.08108108] ; [9.08108108 4.91891892],0
s3,1,0.532983,0.388701,[58 51] ; [17 19],[56.37931034 52.62068966] ; [18.62068966 17.37931034],0
s4,1,0.578705,0.308333,[14 97] ; [ 6 31],[15. 96.] ; [ 5. 32.],0
a2,1,0.616002,0.251527,[32 80] ; [ 9 28],[30.81879195 81.18120805] ; [10.18120805 26.81879195],0
n3,1,0.663766,0.188981,[19  8] ; [10  3],[19.575  7.425] ; [9.425 3.575],0
n4,1,0.702085,0.146312,[91 21] ; [29  8],[90.20134228 21.79865772] ; [29.79865772  7.20134228],0
s5,1,0.736488,0.113237,[28 81] ; [ 8 27],[27.25 81.75] ; [ 8.75 26.25],0
v1,1,0.739139,0.110885,[64 45] ; [20 16],[63.14482759 45.85517241] ; [20.85517241 15.14482759],0
n1,1,0.813403,0.055714,[ 9 17] ; [5 8],[ 9.33333333 16.66666667] ; [4.66666667 8.33333333],0
p1,1,0.81455,0.055019,[  5 107] ; [ 2 35],[  5.26174497 106.73825503] ; [ 1.73825503 35.26174497],0
p5,1,0.823093,0.049983,[  5 106] ; [ 2 35],[  5.25 105.75] ; [ 1.75 35.25],0
a8,1,0.925963,0.008635,[12 85] ; [ 4 30],[11.84732824 85.15267176] ; [ 4.15267176 29.84732824],0
n2,1,0.944591,0.00483,[17  9] ; [9 5],[16.9  9.1] ; [9.1 4.9],0
b4,1,0.949129,0.00407,[72 40] ; [24 13],[72.16107383 39.83892617] ; [23.83892617 13.16107383],0
d2,1,0.949801,0.003964,[61 50] ; [20 16],[61.16326531 49.83673469] ; [19.83673469 16.16326531],0
a4,1,0.965355,0.001887,[51 61] ; [17 20],[51.11409396 60.88590604] ; [16.88590604 20.11409396],0
b5,1,0.972312,0.001205,[73 39] ; [24 13],[72.91275168 39.08724832] ; [24.08724832 12.91275168],0
r2,1,0.990991,0.000128,[106   6] ; [35  2],[105.98657718   6.01342282] ; [35.01342282  1.98657718],0
