Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,79.393883,[263 109] ; [ 54 123],[214.79781421 157.20218579] ; [102.20218579  74.79781421],1
p6,1,0.0,45.416681,[181 191] ; [ 33 144],[145.00546448 226.99453552] ; [ 68.99453552 108.00546448],1
p3,1,0.0,37.665664,[231 144] ; [ 60 118],[197.33273056 177.66726944] ; [93.66726944 84.33273056],1
p4,1,0.0,30.32489,[279  96] ; [91 88],[250.45126354 124.54873646] ; [119.54873646  59.45126354],1
p10,1,0.00066,11.599881,[327  46] ; [135  42],[313.32  59.68] ; [148.68  28.32],1
a3,1,0.000918,10.985348,[284  89] ; [112  67],[267.58695652 105.41304348] ; [128.41304348  50.58695652],1
s7,1,0.001062,10.715912,[189 169] ; [ 63 105],[171.51330798 186.48669202] ; [80.48669202 87.51330798],0
p11,1,0.001105,10.64253,[318  57] ; [131  48],[303.92599278  71.07400722] ; [145.07400722  33.92599278],0
a2,1,0.00124,10.429707,[123 252] ; [ 35 144],[106.94945848 268.05054152] ; [ 51.05054152 127.94945848],0
v4,1,0.001721,9.826046,[364   6] ; [167  12],[357.86885246  12.13114754] ; [173.13114754   5.86885246],0
s6,1,0.004375,8.121127,[263 102] ; [106  71],[248.49630996 116.50369004] ; [120.50369004  56.49630996],0
s8,1,0.005561,7.687449,[177 195] ; [ 62 115],[161.94535519 210.05464481] ; [77.05464481 99.94535519],0
a1,1,0.005921,7.57417,[ 20 355] ; [  1 178],[ 14.21480144 360.78519856] ; [  6.78519856 172.21480144],0
p9,1,0.006659,7.362751,[335  37] ; [144  32],[325.16058394  46.83941606] ; [153.83941606  22.16058394],0
s5,1,0.007035,7.264005,[131 233] ; [ 41 128],[117.46341463 246.53658537] ; [ 54.53658537 114.46341463],0
p5,1,0.01074,6.507791,[ 53 321] ; [ 12 167],[ 43.960217 330.039783] ; [ 21.039783 157.960217],0
n5,1,0.018622,5.536684,[284  88] ; [119  59],[272.57454545  99.42545455] ; [130.42545455  47.57454545],0
n6,1,0.02068,5.353549,[326  45] ; [144  35],[317.03636364  53.96363636] ; [152.96363636  26.03636364],0
a8,1,0.021704,5.269368,[ 59 273] ; [ 16 146],[ 50.4048583 281.5951417] ; [ 24.5951417 137.4048583],0
n4,1,0.022771,5.185875,[298  76] ; [127  52],[287.43218807  86.56781193] ; [137.56781193  41.43218807],0
