Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,3e-06,21.785124,[79 54] ; [10 39],[65.03846154 67.96153846] ; [23.96153846 25.03846154],1
a4,1,1.6e-05,18.625962,[75 58] ; [10 39],[62.11538462 70.88461538] ; [22.88461538 26.11538462],1
d1,1,1.8e-05,18.367702,[91 43] ; [16 33],[78.34972678 55.65027322] ; [28.65027322 20.34972678],1
a7,1,2.4e-05,17.842709,[108  26] ; [24 25],[96.6557377 37.3442623] ; [35.3442623 13.6557377],1
r1,1,4.1e-05,16.816555,[113  19] ; [28 21],[102.82872928  29.17127072] ; [38.17127072 10.82872928],1
d5,1,8.5e-05,15.454149,[117  17] ; [30 19],[107.63934426  26.36065574] ; [39.36065574  9.63934426],1
a3,1,0.001013,10.803406,[100  34] ; [24 25],[90.79781421 43.20218579] ; [33.20218579 15.79781421],0
a6,1,0.003788,8.382824,[94 40] ; [23 26],[85.67213115 48.32786885] ; [31.32786885 17.67213115],0
n4,1,0.015387,5.871594,[105  28] ; [30 19],[98.65384615 34.34615385] ; [36.34615385 12.65384615],0
p5,1,0.038266,4.293141,[  7 126] ; [ 7 41],[ 10.28729282 122.71270718] ; [ 3.71270718 44.28729282],0
d4,1,0.04945,3.86,[113  21] ; [35 14],[108.3715847  25.6284153] ; [39.6284153  9.3715847],0
d3,1,0.115467,2.477757,[103  31] ; [32 17],[98.85245902 35.14754098] ; [36.14754098 12.85245902],0
n5,1,0.132388,2.264276,[104  29] ; [33 16],[100.11538462  32.88461538] ; [36.88461538 12.11538462],0
b2,1,0.164793,1.929681,[34 56] ; [ 6 20],[31.03448276 58.96551724] ; [ 8.96551724 17.03448276],0
b3,1,0.164793,1.929681,[34 56] ; [ 6 20],[31.03448276 58.96551724] ; [ 8.96551724 17.03448276],0
s5,1,0.180871,1.790453,[43 86] ; [11 37],[39.3559322 89.6440678] ; [14.6440678 33.3559322],0
