Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,25.027638,[30 31] ; [ 4 52],[17.72649573 43.27350427] ; [16.27350427 39.72649573],1
v1,1,6e-06,20.34656,[46 15] ; [19 37],[33.88888889 27.11111111] ; [31.11111111 24.88888889],1
p12,1,0.077863,3.108954,[ 8 55] ; [ 2 53],[ 5.33898305 57.66101695] ; [ 4.66101695 50.33898305],0
b4,1,0.102321,2.668986,[44 19] ; [31 25],[39.70588235 23.29411765] ; [35.29411765 20.70588235],0
p10,1,0.114244,2.494516,[54  9] ; [40 14],[50.61538462 12.38461538] ; [43.38461538 10.61538462],0
r1,1,0.148597,2.086599,[52 11] ; [40 16],[48.70588235 14.29411765] ; [43.29411765 12.70588235],0
n1,1,0.18262,1.776169,[4 6] ; [ 2 11],[2.60869565 7.39130435] ; [3.39130435 9.60869565],0
p11,1,0.194797,1.68096,[56  7] ; [45 11],[53.47058824  9.52941176] ; [47.52941176  8.47058824],0
d4,1,0.215529,1.533894,[53 10] ; [42 14],[50.29411765 12.70588235] ; [44.70588235 11.29411765],0
a7,1,0.217982,1.517608,[50 12] ; [39 16],[47.16239316 14.83760684] ; [41.83760684 13.16239316],0
s5,1,0.226849,1.460512,[14 48] ; [17 35],[16.85964912 45.14035088] ; [14.14035088 37.85964912],0
d3,1,0.237923,1.392857,[45 18] ; [33 21],[42. 21.] ; [36. 18.],0
s2,1,0.245333,1.349687,[24 38] ; [16 40],[21.01694915 40.98305085] ; [18.98305085 37.01694915],0
d1,1,0.265551,1.239583,[39 24] ; [29 27],[36. 27.] ; [32. 24.],0
u1,1,0.29386,1.101852,[11 52] ; [ 6 50],[ 9. 54.] ; [ 8. 48.],0
p9,1,0.30194,1.065607,[55  8] ; [45 11],[52.94117647 10.05882353] ; [47.05882353  8.94117647],0
s3,1,0.33256,0.938902,[28 35] ; [20 36],[25.41176471 37.58823529] ; [22.58823529 33.41176471],0
b1,1,0.348984,0.877149,[25 38] ; [27 29],[27.52941176 35.47058824] ; [24.47058824 31.52941176],0
r4,1,0.364945,0.820805,[60  3] ; [51  5],[58.76470588  4.23529412] ; [52.23529412  3.76470588],0
a2,1,0.396358,0.719348,[14 49] ; [ 9 47],[12.17647059 50.82352941] ; [10.82352941 45.17647059],0
d5,1,0.405722,0.691301,[52 11] ; [42 13],[50.18644068 12.81355932] ; [43.81355932 11.18644068],0
p8,1,0.421364,0.646507,[48 15] ; [39 17],[46.05882353 16.94117647] ; [40.94117647 15.05882353],0
n2,1,0.475512,0.509138,[7 4] ; [10  3],[7.79166667 3.20833333] ; [9.20833333 3.79166667],0
b2,1,0.526691,0.400772,[16 18] ; [13 20],[14.71641791 19.28358209] ; [14.28358209 18.71641791],0
b3,1,0.526691,0.400772,[16 18] ; [13 20],[14.71641791 19.28358209] ; [14.28358209 18.71641791],0
a4,1,0.527412,0.399376,[30 33] ; [23 32],[28.29661017 34.70338983] ; [24.70338983 30.29661017],0
n3,1,0.55409,0.350041,[7 4] ; [9 3],[7.65217391 3.34782609] ; [8.34782609 3.65217391],0
n4,1,0.554695,0.348974,[48 15] ; [40 16],[46.58823529 16.41176471] ; [41.41176471 14.58823529],0
p3,1,0.571194,0.320688,[37 26] ; [30 26],[35.47058824 27.52941176] ; [31.52941176 24.47058824],0
b5,1,0.622473,0.242407,[41 22] ; [34 22],[39.70588235 23.29411765] ; [35.29411765 20.70588235],0
p7,1,0.639857,0.21893,[51 11] ; [47  8],[51.93162393 10.06837607] ; [46.06837607  8.93162393],0
p5,1,0.693098,0.155752,[ 7 56] ; [ 5 51],[ 6.35294118 56.64705882] ; [ 5.64705882 50.35294118],0
p4,1,0.708999,0.139279,[48 15] ; [41 15],[47.11764706 15.88235294] ; [41.88235294 14.11764706],0
a3,1,0.710547,0.137731,[37 26] ; [31 25],[36. 27.] ; [32. 24.],0
d2,1,0.727998,0.120958,[29 34] ; [24 32],[28.05882353 34.94117647] ; [24.94117647 31.05882353],0
a1,1,0.746628,0.104386,[ 3 60] ; [ 2 54],[ 2.64705882 60.35294118] ; [ 2.35294118 53.64705882],0
u3,1,0.768278,0.086806,[13 13] ; [11 13],[12.48 13.52] ; [11.52 12.48],0
s6,1,0.789809,0.071053,[38 24] ; [30 21],[37.30973451 24.69026549] ; [30.69026549 20.30973451],0
a5,1,0.800132,0.064098,[43 20] ; [37 19],[42.35294118 20.64705882] ; [37.64705882 18.35294118],0
n6,1,0.802706,0.062424,[52 10] ; [46 10],[51.49152542 10.50847458] ; [46.50847458  9.49152542],0
p1,1,0.814428,0.055093,[ 7 56] ; [ 7 49],[ 7.41176471 55.58823529] ; [ 6.58823529 49.41176471],0
n5,1,0.817335,0.053349,[47 16] ; [40 15],[46.44915254 16.55084746] ; [40.55084746 14.44915254],0
