Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,53.745973,[37  9] ; [ 33 120],[16.18090452 29.81909548] ; [53.81909548 99.18090452],1
p6,1,0.000671,11.566734,[12 33] ; [ 12 141],[ 5.45454545 39.54545455] ; [ 18.54545455 134.45454545],1
s5,1,0.002966,8.828134,[13 29] ; [ 18 133],[ 6.74611399 35.25388601] ; [ 24.25388601 126.74611399],0
s6,1,0.007046,7.26123,[23 22] ; [ 45 108],[15.45454545 29.54545455] ; [ 52.54545455 100.45454545],0
v4,1,0.009231,6.777514,[44  2] ; [122  32],[38.18  7.82] ; [127.82  26.18],0
p2,1,0.012703,6.210068,[34 12] ; [82 72],[26.68 19.32] ; [89.32 64.68],0
v1,1,0.012889,6.184259,[24 21] ; [ 50 102],[16.9035533 28.0964467] ; [57.0964467 94.9035533],0
n4,1,0.01517,5.896639,[37  9] ; [94 60],[30.13 15.87] ; [100.87  53.13],0
d5,1,0.033493,4.520408,[39  7] ; [106  48],[33.35 12.65] ; [111.65  42.35],0
b4,1,0.040729,4.18726,[34 12] ; [88 66],[28.06 17.94] ; [93.94 60.06],0
n6,1,0.045762,3.990319,[39  7] ; [107  46],[33.74874372 12.25125628] ; [112.25125628  40.74874372],0
n3,1,0.049455,3.859852,[12  3] ; [29 27],[8.66197183 6.33802817] ; [32.33802817 23.66197183],0
p8,1,0.050378,3.828831,[15 31] ; [ 29 124],[10.17085427 35.82914573] ; [ 33.82914573 119.17085427],0
p10,1,0.066478,3.367908,[32 14] ; [82 69],[26.61928934 19.38071066] ; [87.38071066 63.61928934],0
p9,1,0.087889,2.912627,[35 11] ; [93 56],[30.19487179 15.80512821] ; [97.80512821 51.19487179],0
r4,1,0.092223,2.835128,[37  9] ; [104  50],[32.43 13.57] ; [108.57  45.43],0
r3,1,0.097792,2.74119,[42  4] ; [123  29],[38.33333333  7.66666667] ; [126.66666667  25.33333333],0
p1,1,0.106709,2.602291,[ 6 40] ; [  9 144],[ 3.46733668 42.53266332] ; [ 11.53266332 141.46733668],0
p5,1,0.117743,2.447091,[ 4 42] ; [  5 149],[ 2.07 43.93] ; [  6.93 147.07],0
a4,1,0.139059,2.188345,[24 22] ; [61 92],[19.64824121 26.35175879] ; [65.35175879 87.64824121],0
v2,1,0.241038,1.374511,[23 22] ; [61 87],[19.58549223 25.41450777] ; [64.41450777 83.58549223],0
s8,1,0.247591,1.336844,[10 35] ; [ 23 131],[ 7.46231156 37.53768844] ; [ 25.53768844 128.46231156],0
p11,1,0.259326,1.272351,[32 14] ; [93 61],[28.75 17.25] ; [96.25 57.75],0
r2,1,0.265758,1.238511,[41  5] ; [125  27],[38.56565657  7.43434343] ; [127.43434343  24.56565657],0
b5,1,0.291817,1.11122,[25 21] ; [97 57],[28.06 17.94] ; [93.94 60.06],0
s2,1,0.294361,1.099566,[ 7 38] ; [ 15 136],[ 5.05102041 39.94897959] ; [ 16.94897959 134.05102041],0
n2,1,0.330032,0.948772,[11  4] ; [34 23],[9.375 5.625] ; [35.625 21.375],0
s4,1,0.348759,0.877968,[ 3 41] ; [ 18 135],[ 4.69035533 39.30964467] ; [ 16.30964467 136.69035533],0
a5,1,0.37018,0.803062,[32 14] ; [96 58],[29.44 16.56] ; [98.56 55.44],0
r1,1,0.37018,0.803062,[32 14] ; [96 58],[29.44 16.56] ; [98.56 55.44],0
n1,1,0.461415,0.542459,[ 4 11] ; [21 36],[5.20833333 9.79166667] ; [19.79166667 37.20833333],0
n5,1,0.463825,0.536649,[31 15] ; [94 59],[28.89447236 17.10552764] ; [96.10552764 56.89447236],0
p12,1,0.54661,0.363425,[ 2 44] ; [  4 149],[ 1.38693467 44.61306533] ; [  4.61306533 148.38693467],0
u1,1,0.569198,0.324026,[ 4 42] ; [ 18 136],[ 5.06 40.94] ; [ 16.94 137.06],0
b2,1,0.588727,0.292336,[11 14] ; [35 57],[ 9.82905983 15.17094017] ; [36.17094017 55.82905983],0
b3,1,0.588727,0.292336,[11 14] ; [35 57],[ 9.82905983 15.17094017] ; [36.17094017 55.82905983],0
d2,1,0.605517,0.266754,[20 25] ; [61 91],[18.50253807 26.49746193] ; [62.49746193 89.50253807],0
a1,1,0.607486,0.263852,[ 4 42] ; [ 10 144],[ 3.22 42.78] ; [ 10.78 143.22],0
u2,1,0.636366,0.223526,[ 7 10] ; [30 33],[7.8625 9.1375] ; [29.1375 33.8625],0
d1,1,0.660612,0.19278,[22 24] ; [68 86],[20.7 25.3] ; [69.3 84.7],0
a3,1,0.664664,0.187907,[29 17] ; [91 62],[27.73869347 18.26130653] ; [92.26130653 60.73869347],0
u3,1,0.784617,0.074697,[8 9] ; [32 31],[8.5 8.5] ; [31.5 31.5],0
s7,1,0.800494,0.063861,[ 9 31] ; [ 31 119],[ 8.42105263 31.57894737] ; [ 31.57894737 118.42105263],0
v3,1,0.837713,0.041951,[12 32] ; [ 43 106],[12.5388601 31.4611399] ; [ 42.4611399 106.5388601],0
d4,1,0.86388,0.029391,[34 12] ; [115  38],[34.44221106 11.55778894] ; [114.55778894  38.44221106],0
s1,1,0.869154,0.027137,[ 2 43] ; [  6 148],[ 1.80904523 43.19095477] ; [  6.19095477 147.80904523],0
d3,1,0.890879,0.018822,[28 18] ; [92 62],[27.6 18.4] ; [92.4 61.6],0
a6,1,0.898392,0.016305,[30 16] ; [102  52],[30.36 15.64] ; [101.64  52.36],0
a8,1,0.905888,0.013978,[ 3 36] ; [ 12 133],[ 3.17934783 35.82065217] ; [ 11.82065217 133.17934783],0
a2,1,0.935826,0.006483,[ 8 38] ; [ 26 128],[ 7.82 38.18] ; [ 26.18 127.82],0
b1,1,0.961853,0.002288,[19 27] ; [63 91],[18.86 27.14] ; [63.14 90.86],0
a7,1,0.985835,0.000315,[30 16] ; [100  53],[30.05025126 15.94974874] ; [99.94974874 53.05025126],0
