Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,3e-06,21.927745,[24 77] ; [21  9],[34.69465649 66.30534351] ; [10.30534351 19.69465649],1
s6,1,3e-06,21.906394,[30 73] ; [23  7],[41.04511278 61.95488722] ; [11.95488722 18.04511278],1
s8,1,0.001878,9.664931,[ 5 98] ; [ 7 23],[ 9.29323308 93.70676692] ; [ 2.70676692 27.29323308],0
p4,1,0.003034,8.786949,[25 76] ; [16 14],[31.61068702 69.38931298] ; [ 9.38931298 20.61068702],0
n4,1,0.007019,7.268017,[63 40] ; [10 20],[56.53383459 46.46616541] ; [16.46616541 13.53383459],0
r3,1,0.013323,6.125752,[69 34] ; [27  3],[74.34586466 28.65413534] ; [21.65413534  8.34586466],0
p10,1,0.019305,5.473684,[36 64] ; [18 12],[41.53846154 58.46153846] ; [12.46153846 17.53846154],0
n5,1,0.022667,5.193832,[62 41] ; [11 19],[56.53383459 46.46616541] ; [16.46616541 13.53383459],0
n2,1,0.025471,4.991603,[21 20] ; [9 1],[24.11764706 16.88235294] ; [5.88235294 4.11764706],0
p9,1,0.027213,4.877277,[40 59] ; [19 11],[45.27906977 53.72093023] ; [13.72093023 16.27906977],0
b2,1,0.067557,3.34141,[22 37] ; [ 1 10],[19.38571429 39.61428571] ; [3.61428571 7.38571429],0
b3,1,0.067557,3.34141,[22 37] ; [ 1 10],[19.38571429 39.61428571] ; [3.61428571 7.38571429],0
s4,1,0.085416,2.95872,[14 90] ; [ 8 22],[17.07462687 86.92537313] ; [ 4.92537313 25.07462687],0
n1,1,0.086847,2.931862,[15 24] ; [1 9],[12.73469388 26.26530612] ; [3.26530612 6.73469388],0
p2,1,0.097462,2.746597,[51 52] ; [20 10],[54.98496241 48.01503759] ; [16.01503759 13.98496241],0
u2,1,0.110986,2.540131,[12 31] ; [8 8],[14.57627119 28.42372881] ; [ 5.42372881 10.57627119],0
a3,1,0.119658,2.421786,[60 41] ; [13 17],[56.28244275 44.71755725] ; [16.71755725 13.28244275],0
s5,1,0.157749,1.995668,[14 87] ; [ 7 21],[16.44186047 84.55813953] ; [ 4.55813953 23.44186047],0
p8,1,0.160748,1.967175,[24 77] ; [11 19],[26.98473282 74.01526718] ; [ 8.01526718 21.98473282],0
v4,1,0.16961,1.886385,[77 26] ; [26  4],[79.76691729 23.23308271] ; [23.23308271  6.76691729],0
d4,1,0.212718,1.552831,[71 33] ; [24  6],[73.73134328 30.26865672] ; [21.26865672  8.73134328],0
n6,1,0.230993,1.434736,[56 47] ; [20 10],[58.85714286 44.14285714] ; [17.14285714 12.85714286],0
p7,1,0.232468,1.425699,[41 59] ; [16 14],[43.84615385 56.15384615] ; [13.15384615 16.84615385],0
u3,1,0.247927,1.334949,[16 28] ; [8 7],[17.89830508 26.10169492] ; [6.10169492 8.89830508],0
r4,1,0.261229,1.262233,[61 43] ; [21  9],[63.64179104 40.35820896] ; [18.35820896 11.64179104],0
a1,1,0.328594,0.954431,[ 9 95] ; [ 1 29],[ 7.76119403 96.23880597] ; [ 2.23880597 27.76119403],0
r2,1,0.351333,0.868636,[83 17] ; [27  3],[84.61538462 15.38461538] ; [25.38461538  4.61538462],0
p3,1,0.461932,0.54121,[27 75] ; [10 20],[28.59090909 73.40909091] ; [ 8.40909091 21.59090909],0
n3,1,0.52321,0.407562,[23 16] ; [7 3],[23.87755102 15.12244898] ; [6.12244898 3.87755102],0
a4,1,0.526071,0.401975,[37 65] ; [ 9 21],[35.54545455 66.45454545] ; [10.45454545 19.54545455],0
p5,1,0.533558,0.38761,[ 4 97] ; [ 2 28],[ 4.6259542 96.3740458] ; [ 1.3740458 28.6259542],0
a6,1,0.550406,0.35659,[56 48] ; [18 12],[57.43283582 46.56716418] ; [16.56716418 13.43283582],0
d3,1,0.554557,0.349216,[54 49] ; [17 12],[55.40151515 47.59848485] ; [15.59848485 13.40151515],0
d1,1,0.58003,0.306186,[44 60] ; [11 19],[42.68656716 61.31343284] ; [12.31343284 17.68656716],0
d2,1,0.58484,0.298475,[47 56] ; [12 18],[45.69172932 57.30827068] ; [13.30827068 16.69172932],0
s1,1,0.590645,0.289338,[ 6 97] ; [ 1 29],[ 5.42105263 97.57894737] ; [ 1.57894737 28.42105263],0
p1,1,0.597327,0.279046,[ 6 98] ; [ 1 29],[ 5.43283582 98.56716418] ; [ 1.56716418 28.43283582],0
a2,1,0.604669,0.268011,[18 86] ; [ 4 26],[17.07462687 86.92537313] ; [ 4.92537313 25.07462687],0
b1,1,0.646519,0.210317,[50 54] ; [13 17],[48.89552239 55.10447761] ; [14.10447761 15.89552239],0
b5,1,0.676345,0.17427,[65 39] ; [20 10],[65.97014925 38.02985075] ; [19.02985075 10.97014925],0
b4,1,0.678522,0.171795,[53 51] ; [14 16],[52. 52.] ; [15. 15.],0
v3,1,0.691922,0.157012,[27 72] ; [ 9 20],[27.84375 71.15625] ; [ 8.15625 20.84375],0
d5,1,0.703621,0.144732,[72 32] ; [19 10],[71.15789474 32.84210526] ; [19.84210526  9.15789474],0
a5,1,0.74967,0.101809,[59 45] ; [18 12],[59.76119403 44.23880597] ; [17.23880597 12.76119403],0
r1,1,0.759886,0.09341,[58 44] ; [18 12],[58.72727273 43.27272727] ; [17.27272727 12.72727273],0
v2,1,0.823274,0.049879,[36 65] ; [ 9 18],[35.5078125 65.4921875] ; [ 9.4921875 17.5078125],0
a7,1,0.886279,0.020453,[66 37] ; [19 10],[66.32575758 36.67424242] ; [18.67424242 10.32575758],0
v1,1,0.893878,0.017795,[33 70] ; [10 20],[33.30075188 69.69924812] ; [ 9.69924812 20.30075188],0
p6,1,0.926122,0.008598,[14 86] ; [ 4 26],[13.84615385 86.15384615] ; [ 4.15384615 25.84615385],0
u1,1,0.99014,0.000153,[ 7 97] ; [ 2 28],[ 6.98507463 97.01492537] ; [ 2.01492537 27.98507463],0
