Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.9e-05,17.485664,[24 45] ; [68 33],[37.34117647 31.65882353] ; [54.65882353 46.34117647],1
a6,1,5.1e-05,16.409893,[25 44] ; [69 33],[37.92982456 31.07017544] ; [56.07017544 45.92982456],1
p10,1,0.003135,8.727463,[41 27] ; [81 19],[49.38095238 18.61904762] ; [72.61904762 27.38095238],0
b1,1,0.01603,5.799596,[35 34] ; [33 69],[27.43859649 41.56140351] ; [40.56140351 61.43859649],0
r3,1,0.029084,4.762655,[53 16] ; [91 11],[58.10526316 10.89473684] ; [85.89473684 16.10526316],0
r4,1,0.033429,4.523652,[40 29] ; [75 27],[46.40350877 22.59649123] ; [68.59649123 33.40350877],0
a4,1,0.035309,4.430193,[30 38] ; [29 73],[23.6 44.4] ; [35.4 66.6],0
d4,1,0.041452,4.157452,[42 27] ; [77 25],[48.01754386 20.98245614] ; [70.98245614 31.01754386],0
b5,1,0.046691,3.956498,[37 32] ; [70 32],[43.1754386 25.8245614] ; [63.8245614 38.1754386],0
d5,1,0.050753,3.816393,[44 25] ; [79 23],[49.63157895 19.36842105] ; [73.36842105 28.63157895],0
d2,1,0.052698,3.75347,[33 34] ; [35 67],[26.95857988 40.04142012] ; [41.04142012 60.95857988],0
b4,1,0.112885,2.513356,[37 32] ; [67 35],[41.96491228 27.03508772] ; [62.03508772 39.96491228],0
u2,1,0.118881,2.431998,[ 9 20] ; [19 19],[12.11940299 16.88059701] ; [15.88059701 22.11940299],0
p11,1,0.119911,2.418483,[43 26] ; [75 27],[47.61403509 21.38596491] ; [70.38596491 31.61403509],0
b2,1,0.125338,2.349312,[12 31] ; [24 32],[15.63636364 27.36363636] ; [20.36363636 35.63636364],0
b3,1,0.125338,2.349312,[12 31] ; [24 32],[15.63636364 27.36363636] ; [20.36363636 35.63636364],0
p2,1,0.135202,2.231732,[44 23] ; [77 24],[48.25595238 18.74404762] ; [72.74404762 28.25595238],0
v3,1,0.136167,2.220746,[17 50] ; [36 63],[21.39156627 45.60843373] ; [31.60843373 67.39156627],0
v1,1,0.152668,2.045389,[23 44] ; [45 54],[27.44578313 39.55421687] ; [40.55421687 58.44578313],0
v4,1,0.162338,1.952313,[58 11] ; [92  9],[60.88235294  8.11764706] ; [89.11764706 11.88235294],0
n6,1,0.179985,1.797745,[50 19] ; [82 19],[53.57647059 15.42352941] ; [78.42352941 22.57647059],0
p3,1,0.184054,1.764581,[25 43] ; [48 54],[29.2 38.8] ; [43.8 58.2],0
s2,1,0.276089,1.186241,[26 43] ; [47 55],[29.45614035 39.54385965] ; [43.54385965 58.45614035],0
n5,1,0.286647,1.135302,[50 19] ; [66 36],[46.80701754 22.19298246] ; [69.19298246 32.80701754],0
