Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-06,23.377113,[56  3] ; [18 16],[46.94623656 12.05376344] ; [27.05376344  6.94623656],1
p8,1,4.4e-05,16.693865,[56  4] ; [20 14],[48.5106383 11.4893617] ; [27.4893617  6.5106383],1
s6,1,0.001647,9.906362,[51  4] ; [22 11],[45.625  9.375] ; [27.375  5.625],0
p4,1,0.003049,8.778096,[56  3] ; [25  9],[51.38709677  7.61290323] ; [29.61290323  4.38709677],0
n5,1,0.007456,7.159776,[58  2] ; [28  7],[54.31578947  5.68421053] ; [31.68421053  3.31578947],0
s2,1,0.01767,5.62853,[40 19] ; [15 20],[34.5212766 24.4787234] ; [20.4787234 14.5212766],0
a1,1,0.028502,4.797464,[11 49] ; [ 1 34],[ 7.57894737 52.42105263] ; [ 4.42105263 30.57894737],0
p3,1,0.032231,4.586176,[50  9] ; [23 12],[45.81914894 13.18085106] ; [27.18085106  7.81914894],0
s3,1,0.040449,4.198952,[42 16] ; [18 17],[37.41935484 20.58064516] ; [22.58064516 12.41935484],0
n6,1,0.046364,3.968325,[57  2] ; [29  5],[54.55913978  4.44086022] ; [31.44086022  2.55913978],0
r4,1,0.048722,3.884895,[58  2] ; [30  5],[55.57894737  4.42105263] ; [32.42105263  2.57894737],0
p12,1,0.049532,3.857232,[20 40] ; [ 5 29],[15.95744681 44.04255319] ; [ 9.04255319 24.95744681],0
n4,1,0.051236,3.800526,[57  3] ; [29  6],[54.31578947  5.68421053] ; [31.68421053  3.31578947],0
r3,1,0.051744,3.784038,[57  2] ; [30  5],[54.60638298  4.39361702] ; [32.39361702  2.60638298],0
s7,1,0.059632,3.547583,[44 11] ; [21 13],[40.16853933 14.83146067] ; [24.83146067  9.16853933],0
p1,1,0.121901,2.392724,[21 39] ; [ 7 28],[17.68421053 42.31578947] ; [10.31578947 24.68421053],0
p11,1,0.149055,2.081895,[53  7] ; [27  8],[50.52631579  9.47368421] ; [29.47368421  5.52631579],0
a2,1,0.153214,2.039957,[14 46] ; [ 4 31],[11.36842105 48.63157895] ; [ 6.63157895 28.36842105],0
b5,1,0.193878,1.687899,[26 34] ; [20 15],[29.05263158 30.94736842] ; [16.94736842 18.05263158],0
p10,1,0.203087,1.620033,[56  4] ; [29  5],[54.25531915  5.74468085] ; [30.74468085  3.25531915],0
a8,1,0.231378,1.432369,[10 44] ; [ 3 30],[ 8.06896552 45.93103448] ; [ 4.93103448 28.06896552],0
d2,1,0.239279,1.384837,[28 31] ; [21 14],[30.75531915 28.24468085] ; [18.24468085 16.75531915],0
p9,1,0.254415,1.298894,[58  2] ; [31  3],[56.80851064  3.19148936] ; [32.19148936  1.80851064],0
d4,1,0.266458,1.234892,[47 12] ; [31  4],[48.95744681 10.04255319] ; [29.04255319  5.95744681],0
r1,1,0.269026,1.221708,[53  7] ; [28  7],[51.15789474  8.84210526] ; [29.84210526  5.15789474],0
s8,1,0.275925,1.187053,[39 19] ; [19 15],[36.56521739 21.43478261] ; [21.43478261 12.56521739],0
s4,1,0.276465,1.184388,[10 49] ; [ 3 31],[ 8.24731183 50.75268817] ; [ 4.75268817 29.24731183],0
p2,1,0.312058,1.021945,[54  6] ; [29  6],[52.42105263  7.57894737] ; [30.57894737  4.42105263],0
d3,1,0.32056,0.986659,[38 21] ; [26  9],[40.17021277 18.82978723] ; [23.82978723 11.17021277],0
d1,1,0.321084,0.984525,[35 25] ; [24 11],[37.26315789 22.73684211] ; [21.73684211 13.26315789],0
b1,1,0.329588,0.950514,[23 37] ; [17 18],[25.26315789 34.73684211] ; [14.73684211 20.26315789],0
a4,1,0.365968,0.81731,[28 32] ; [13 22],[25.89473684 34.10526316] ; [15.10526316 19.89473684],0
v3,1,0.37641,0.782393,[36 23] ; [17 16],[33.98913043 25.01086957] ; [19.01086957 13.98913043],0
a3,1,0.448534,0.574354,[47 13] ; [25 10],[45.47368421 14.52631579] ; [26.52631579  8.47368421],0
d5,1,0.450703,0.568884,[45 14] ; [29  6],[46.44680851 12.55319149] ; [27.55319149  7.44680851],0
s5,1,0.451208,0.567615,[37 17] ; [20 13],[35.37931034 18.62068966] ; [21.62068966 11.37931034],0
v2,1,0.468775,0.524863,[35 24] ; [17 16],[33.34782609 25.65217391] ; [18.65217391 14.34782609],0
u1,1,0.594912,0.282738,[13 47] ; [ 6 29],[12. 48.] ; [ 7. 28.],0
a7,1,0.702963,0.145408,[45 15] ; [25 10],[44.21052632 15.78947368] ; [25.78947368  9.21052632],0
a5,1,0.705668,0.142643,[46 14] ; [28  7],[46.73684211 13.26315789] ; [27.26315789  7.73684211],0
v4,1,0.705809,0.142499,[58  1] ; [34  1],[57.74468085  1.25531915] ; [34.25531915  0.74468085],0
n3,1,0.713628,0.13468,[7 4] ; [5 4],[6.6 4.4] ; [5.4 3.6],0
a6,1,0.793728,0.068368,[37 22] ; [21 14],[36.40425532 22.59574468] ; [21.59574468 13.40425532],0
n2,1,0.822187,0.050505,[9 2] ; [7 2],[8.8 2.2] ; [7.2 1.8],0
v1,1,0.850746,0.035407,[40 19] ; [23 10],[40.40217391 18.59782609] ; [22.59782609 10.40217391],0
b2,1,0.914726,0.011466,[21 24] ; [12 13],[21.21428571 23.78571429] ; [11.78571429 13.21428571],0
b3,1,0.914726,0.011466,[21 24] ; [12 13],[21.21428571 23.78571429] ; [11.78571429 13.21428571],0
u3,1,0.940259,0.005617,[8 5] ; [6 4],[7.91304348 5.08695652] ; [6.08695652 3.91304348],0
u2,1,0.940259,0.005617,[8 5] ; [6 4],[7.91304348 5.08695652] ; [6.08695652 3.91304348],0
n1,1,0.959566,0.00257,[7 4] ; [5 3],[6.94736842 4.05263158] ; [5.05263158 2.94736842],0
