Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,23.159662,[39 59] ; [36  7],[52.12765957 45.87234043] ; [22.87234043 20.12765957],1
s6,1,3e-06,21.790496,[46 53] ; [38  5],[58.56338028 40.43661972] ; [25.43661972 17.56338028],1
s8,1,5.5e-05,16.268172,[24 75] ; [26 18],[34.61538462 64.38461538] ; [15.38461538 28.61538462],1
s2,1,6.5e-05,15.949002,[32 67] ; [30 14],[42.92307692 56.07692308] ; [19.07692308 24.92307692],1
p9,1,0.00036,12.727273,[48 48] ; [36  8],[57.6 38.4] ; [26.4 17.6],1
s7,1,0.000364,12.709802,[33 58] ; [28 12],[42.3740458 48.6259542] ; [18.6259542 21.3740458],1
r4,1,0.002249,9.334013,[66 33] ; [40  4],[73.38461538 25.61538462] ; [32.61538462 11.38461538],0
s4,1,0.002258,9.326649,[ 8 91] ; [12 32],[13.84615385 85.15384615] ; [ 6.15384615 37.84615385],0
p4,1,0.007274,7.203985,[35 62] ; [26 17],[42.26428571 54.73571429] ; [18.73571429 24.26428571],0
d3,1,0.00738,7.17805,[55 43] ; [35  9],[62.11267606 35.88732394] ; [27.88732394 16.11267606],0
p2,1,0.010076,6.621437,[56 42] ; [35  9],[62.8028169 35.1971831] ; [28.1971831 15.8028169],0
s3,1,0.011397,6.402344,[39 57] ; [28 16],[45.94285714 50.05714286] ; [21.05714286 22.94285714],0
v4,1,0.013999,6.038234,[75 24] ; [41  3],[80.30769231 18.69230769] ; [35.69230769  8.30769231],0
v2,1,0.020448,5.37322,[37 60] ; [26 18],[43.34042553 53.65957447] ; [19.65957447 24.34042553],0
r1,1,0.023866,5.104368,[67 31] ; [38  6],[72.46478873 25.53521127] ; [32.53521127 11.46478873],0
p6,1,0.038719,4.273148,[25 72] ; [19 25],[30.26950355 66.73049645] ; [13.73049645 30.26950355],0
r3,1,0.040345,4.203301,[72 27] ; [38  5],[76.69014085 22.30985915] ; [33.30985915  9.69014085],0
a8,1,0.040437,4.199472,[ 9 79] ; [ 9 28],[12.672 75.328] ; [ 5.328 31.672],0
a1,1,0.058655,3.575,[12 87] ; [ 1 43],[ 9. 90.] ; [ 4. 40.],0
p7,1,0.063825,3.435082,[41 56] ; [26 18],[46.09219858 50.90780142] ; [20.90780142 23.09219858],0
p3,1,0.064766,3.410931,[33 65] ; [22 22],[37.95774648 60.04225352] ; [17.04225352 26.95774648],0
d4,1,0.064913,3.407196,[68 30] ; [37  7],[72.46478873 25.53521127] ; [32.53521127 11.46478873],0
n2,1,0.082823,3.008609,[23 14] ; [13  2],[25.61538462 11.38461538] ; [10.38461538  4.61538462],0
d5,1,0.083057,3.004037,[69 29] ; [37  7],[73.15492958 24.84507042] ; [32.84507042 11.15492958],0
v3,1,0.095673,2.776236,[31 63] ; [21 23],[35.42028986 58.57971014] ; [16.57971014 27.42028986],0
n6,1,0.105427,2.621459,[70 28] ; [37  7],[73.84507042 24.15492958] ; [33.15492958 10.84507042],0
a5,1,0.107139,2.595921,[63 36] ; [34 10],[67.15384615 31.84615385] ; [29.84615385 14.15384615],0
b4,1,0.109553,2.560665,[51 48] ; [29 15],[55.38461538 43.61538462] ; [24.61538462 19.38461538],0
v1,1,0.121162,2.402234,[38 61] ; [23 21],[42.23076923 56.76923077] ; [18.76923077 25.23076923],0
a7,1,0.131913,2.269841,[59 40] ; [32 12],[63. 36.] ; [28. 16.],0
a3,1,0.133245,2.25429,[62 34] ; [34 10],[65.82857143 30.17142857] ; [30.17142857 13.82857143],0
s1,1,0.147683,2.096022,[ 9 90] ; [ 1 42],[ 6.97183099 92.02816901] ; [ 3.02816901 39.97183099],0
d2,1,0.154935,2.022979,[47 50] ; [27 17],[50.90780142 46.09219858] ; [23.09219858 20.90780142],0
u2,1,0.184792,1.758662,[10 26] ; [5 5],[11.73913043 24.26086957] ; [3.26086957 6.73913043],0
d1,1,0.19966,1.644858,[47 52] ; [26 18],[50.53846154 48.46153846] ; [22.46153846 21.53846154],0
n3,1,0.247891,1.335153,[19 15] ; [11  4],[20.81632653 13.18367347] ; [9.18367347 5.81632653],0
b1,1,0.260605,1.265543,[53 46] ; [28 16],[56.07692308 42.92307692] ; [24.92307692 19.07692308],0
p5,1,0.311686,1.023518,[ 8 90] ; [ 6 38],[ 9.66197183 88.33802817] ; [ 4.33802817 39.66197183],0
a6,1,0.34106,0.906442,[54 44] ; [28 16],[56.5915493 41.4084507] ; [25.4084507 18.5915493],0
b2,1,0.345595,0.889566,[22 35] ; [ 6 16],[20.20253165 36.79746835] ; [ 7.79746835 14.20253165],0
b3,1,0.345595,0.889566,[22 35] ; [ 6 16],[20.20253165 36.79746835] ; [ 7.79746835 14.20253165],0
u1,1,0.347459,0.882716,[16 83] ; [10 34],[18. 81.] ; [ 8. 36.],0
p12,1,0.397978,0.714428,[ 2 97] ; [ 2 42],[ 2.76923077 96.23076923] ; [ 1.23076923 42.76923077],0
n5,1,0.419501,0.651714,[80 19] ; [38  6],[81.69230769 17.30769231] ; [36.30769231  7.69230769],0
b5,1,0.427952,0.628374,[56 43] ; [28 16],[58.15384615 40.84615385] ; [25.84615385 18.15384615],0
p8,1,0.498254,0.458653,[30 68] ; [16 28],[31.74647887 66.25352113] ; [14.25352113 29.74647887],0
n1,1,0.594032,0.284091,[21 15] ; [7 7],[20.16 15.84] ; [7.84 6.16],0
p1,1,0.672963,0.178156,[ 9 90] ; [ 5 39],[ 9.69230769 89.30769231] ; [ 4.30769231 39.69230769],0
a4,1,0.69098,0.158026,[45 52] ; [22 22],[46.09219858 50.90780142] ; [20.90780142 23.09219858],0
u3,1,0.776352,0.0807,[13 24] ; [4 6],[13.38297872 23.61702128] ; [3.61702128 6.38297872],0
a2,1,0.844271,0.038586,[24 75] ; [10 34],[23.53846154 75.46153846] ; [10.46153846 33.53846154],0
