Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,98.84058,[ 83 165] ; [193  55],[138. 110.] ; [138. 110.],1
s2,1,0.0,75.801574,[ 96 163] ; [195  65],[145.21965318 113.78034682] ; [145.78034682 114.21965318],1
s3,1,0.0,52.606262,[112 146] ; [193  65],[152.5 105.5] ; [152.5 105.5],1
s6,1,0.0,38.966618,[157  96] ; [224  36],[187.9005848  65.0994152] ; [193.0994152  66.9005848],1
a3,1,1.6e-05,18.659795,[164  95] ; [212  52],[186.20267686  72.79732314] ; [189.79732314  74.20267686],1
s5,1,0.000126,14.70069,[ 75 178] ; [116 135],[ 95.87896825 157.12103175] ; [ 95.12103175 155.87896825],1
p6,1,0.000131,14.627293,[104 153] ; [150 112],[125.77649326 131.22350674] ; [128.22350674 133.77649326],1
d1,1,0.000234,13.537277,[146 114] ; [189  75],[166.22137405  93.77862595] ; [168.77862595  95.22137405],1
u4,1,0.000736,11.395932,[  1 259] ; [ 14 250],[  7.44274809 252.55725191] ; [  7.55725191 256.44274809],1
p9,1,0.000768,11.317784,[214  45] ; [242  20],[226.68714012  32.31285988] ; [229.31285988  32.68714012],1
d2,1,0.001444,10.148555,[117 142] ; [156 108],[135.19502868 123.80497132] ; [137.80497132 126.19502868],0
v1,1,0.001683,9.867117,[134 120] ; [170  86],[151.40392157 102.59607843] ; [152.59607843 103.40392157],0
p5,1,0.003029,8.789723,[ 30 230] ; [ 55 205],[ 42.5 217.5] ; [ 42.5 217.5],0
v3,1,0.004807,7.95054,[ 89 161] ; [121 131],[104.58167331 145.41832669] ; [105.41832669 146.58167331],0
b2,1,0.005503,7.706133,[ 43 104] ; [ 82 104],[55.18018018 91.81981982] ; [ 69.81981982 116.18018018],0
b3,1,0.005503,7.706133,[ 43 104] ; [ 82 104],[55.18018018 91.81981982] ; [ 69.81981982 116.18018018],0
u1,1,0.006152,7.505156,[ 40 220] ; [ 66 198],[ 52.59541985 207.40458015] ; [ 53.40458015 210.59541985],0
p12,1,0.008435,6.938707,[ 16 244] ; [ 34 229],[ 24.85659656 235.14340344] ; [ 25.14340344 237.85659656],0
n5,1,0.009166,6.790286,[193  65] ; [221  42],[205.0134357  52.9865643] ; [208.9865643  54.0134357],0
a5,1,0.009585,6.710451,[188  72] ; [216  48],[200.45801527  59.54198473] ; [203.54198473  60.45801527],0
p10,1,0.011157,6.440163,[210  48] ; [233  28],[220.21965318  37.78034682] ; [222.78034682  38.21965318],0
a8,1,0.015986,5.804465,[ 23 210] ; [ 42 198],[ 32.01902748 200.98097252] ; [ 32.98097252 207.01902748],0
p7,1,0.021876,5.255619,[177  80] ; [203  58],[188.53281853  68.46718147] ; [191.46718147  69.53281853],0
a2,1,0.028192,4.816285,[ 56 204] ; [ 79 185],[ 66.98473282 193.01526718] ; [ 68.01526718 195.98473282],0
n4,1,0.037519,4.326703,[202  58] ; [223  40],[211.28107075  48.71892925] ; [213.71892925  49.28107075],0
d4,1,0.051691,3.785747,[209  51] ; [228  35],[217.24665392  42.75334608] ; [219.75334608  43.24665392],0
a7,1,0.054058,3.710919,[203  57] ; [186  77],[193.38432122  66.61567878] ; [195.61567878  67.38432122],0
p8,1,0.06296,3.457639,[152 106] ; [175  87],[162.24230769  95.75769231] ; [164.75769231  97.24230769],0
n6,1,0.064269,3.423637,[217  42] ; [234  28],[224.20153551  34.79846449] ; [226.79846449  35.20153551],0
r1,1,0.092453,2.831131,[207  52] ; [224  38],[214.25911708  44.74088292] ; [216.74088292  45.25911708],0
u2,1,0.097702,2.742654,[50 44] ; [35 17],[54.7260274 39.2739726] ; [30.2739726 21.7260274],0
