Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,42.987961,[43 12] ; [ 9 47],[25.76576577 29.23423423] ; [26.23423423 29.76576577],1
p2,1,2e-06,23.09127,[42 12] ; [18 38],[29.45454545 24.54545455] ; [30.54545455 25.45454545],1
p11,1,6e-06,20.435786,[39 19] ; [14 42],[26.96491228 31.03508772] ; [26.03508772 29.96491228],1
r3,1,0.001578,9.984918,[37 18] ; [20 34],[28.76146789 26.23853211] ; [28.23853211 25.76146789],0
v4,1,0.014331,5.996886,[38 16] ; [26 29],[31.70642202 22.29357798] ; [32.29357798 22.70642202],0
p5,1,0.02957,4.734094,[ 7 49] ; [ 1 54],[ 4.03603604 51.96396396] ; [ 3.96396396 51.03603604],0
v1,1,0.036311,4.382458,[23 32] ; [13 43],[17.83783784 37.16216216] ; [18.16216216 37.83783784],0
p4,1,0.053534,3.727164,[22 35] ; [12 43],[17.30357143 39.69642857] ; [16.69642857 38.30357143],0
p7,1,0.055565,3.665047,[25 30] ; [15 39],[20.18348624 34.81651376] ; [19.81651376 34.18348624],0
s1,1,0.068615,3.315853,[ 2 56] ; [ 7 48],[ 4.61946903 53.38053097] ; [ 4.38053097 50.61946903],0
n3,1,0.070798,3.264429,[13  6] ; [14 19],[9.86538462 9.13461538] ; [17.13461538 15.86538462],0
p3,1,0.090396,2.867299,[18 38] ; [10 45],[14.12612613 41.87387387] ; [13.87387387 41.12612613],0
a7,1,0.133544,2.250818,[34 24] ; [24 30],[30.03571429 27.96428571] ; [27.96428571 26.03571429],0
b4,1,0.136964,2.211747,[37 21] ; [28 28],[33.07017544 24.92982456] ; [31.92982456 24.07017544],0
d2,1,0.142695,2.148654,[19 39] ; [25 29],[22.78571429 35.21428571] ; [21.21428571 32.78571429],0
r2,1,0.144405,2.130375,[36 18] ; [28 25],[32.29906542 21.70093458] ; [31.70093458 21.29906542],0
s3,1,0.151873,2.053333,[21 34] ; [14 41],[17.5 37.5] ; [17.5 37.5],0
a8,1,0.176052,1.830642,[ 4 49] ; [ 1 51],[ 2.52380952 50.47619048] ; [ 2.47619048 49.52380952],0
n2,1,0.183613,1.768139,[12  7] ; [15 19],[9.67924528 9.32075472] ; [17.32075472 16.67924528],0
p6,1,0.215887,1.531505,[11 45] ; [ 6 48],[ 8.65454545 47.34545455] ; [ 8.34545455 45.65454545],0
s6,1,0.242408,1.366537,[20 37] ; [14 42],[17.15044248 39.84955752] ; [16.84955752 39.15044248],0
n6,1,0.257015,1.284766,[33 23] ; [26 28],[30.03636364 25.96363636] ; [28.96363636 25.03636364],0
s2,1,0.293563,1.103209,[16 41] ; [11 45],[13.61946903 43.38053097] ; [13.38053097 42.61946903],0
p8,1,0.305907,1.048267,[17 39] ; [12 43],[14.63063063 41.36936937] ; [14.36936937 40.63063063],0
r1,1,0.338903,0.914577,[14 43] ; [18 37],[16.28571429 40.71428571] ; [15.71428571 39.28571429],0
b5,1,0.355561,0.853512,[34 24] ; [28 28],[31.54385965 26.45614035] ; [30.45614035 25.54385965],0
d3,1,0.399035,0.711231,[32 25] ; [27 29],[29.76106195 27.23893805] ; [29.23893805 26.76106195],0
a5,1,0.453626,0.561576,[31 27] ; [26 30],[29. 29.] ; [28. 28.],0
d5,1,0.468087,0.526489,[38 20] ; [33 23],[36.12280702 21.87719298] ; [34.87719298 21.12280702],0
b2,1,0.473289,0.514286,[ 8 20] ; [13 22],[ 9.33333333 18.66666667] ; [11.66666667 23.33333333],0
b3,1,0.473289,0.514286,[ 8 20] ; [13 22],[ 9.33333333 18.66666667] ; [11.66666667 23.33333333],0
u1,1,0.495271,0.465055,[ 5 53] ; [ 3 53],[ 4.07017544 53.92982456] ; [ 3.92982456 52.07017544],0
n5,1,0.510757,0.432515,[34 22] ; [30 25],[32.28828829 23.71171171] ; [31.71171171 23.28828829],0
d4,1,0.546803,0.363076,[39 19] ; [34 21],[37.46902655 20.53097345] ; [35.53097345 19.46902655],0
a4,1,0.548949,0.359204,[18 40] ; [20 35],[19.50442478 38.49557522] ; [18.49557522 36.50442478],0
p12,1,0.558385,0.342508,[ 2 54] ; [ 1 55],[ 1.5 54.5] ; [ 1.5 54.5],0
a3,1,0.582353,0.302447,[33 24] ; [29 26],[31.55357143 25.44642857] ; [30.44642857 24.55357143],0
b1,1,0.583887,0.299992,[33 25] ; [29 27],[31.54385965 26.45614035] ; [30.45614035 25.54385965],0
s4,1,0.591539,0.287947,[ 9 48] ; [11 45],[10.08849558 46.91150442] ; [ 9.91150442 46.08849558],0
