Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,87.014506,[489 124] ; [100 116],[435.5331725 177.4668275] ; [153.4668275  62.5331725],1
d2,1,0.0,84.887608,[357 253] ; [ 48 169],[298.73035067 311.26964933] ; [106.26964933 110.73035067],1
d1,1,0.0,83.613637,[419 195] ; [ 71 146],[362.04572804 251.95427196] ; [127.95427196  89.04572804],1
a4,1,0.0,77.363096,[333 279] ; [ 43 174],[277.57780458 334.42219542] ; [ 98.42219542 118.57780458],1
u1,1,0.0,41.914007,[144 470] ; [  8 209],[112.30806258 501.69193742] ; [ 39.69193742 177.30806258],1
d5,1,0.0,35.859635,[528  83] ; [147  69],[498.70012092 112.29987908] ; [176.29987908  39.70012092],1
a6,1,0.0,30.532196,[453 158] ; [117 100],[420.61594203 190.38405797] ; [149.38405797  67.61594203],1
d4,1,0.0,29.586072,[530  81] ; [152  64],[503.87182588 107.12817412] ; [178.12817412  37.87182588],1
r1,1,0.0,28.209998,[544  67] ; [160  56],[520.12575574  90.87424426] ; [183.87424426  32.12575574],1
n4,1,2e-06,22.367348,[496 116] ; [141  75],[470.82608696 141.17391304] ; [166.17391304  49.82608696],1
p10,1,9.3e-05,15.265859,[512  95] ; [153  59],[492.86324786 114.13675214] ; [172.13675214  39.86324786],1
s7,1,0.000126,14.697411,[310 276] ; [ 77 129],[286.34090909 299.65909091] ; [100.65909091 105.34090909],1
d3,1,0.000129,14.660442,[448 164] ; [128  88],[425.73913043 186.26086957] ; [150.26086957  65.73913043],1
p3,1,0.00023,13.568582,[329 281] ; [ 85 131],[305.73849879 304.26150121] ; [108.26150121 107.73849879],1
s8,1,0.000331,12.887831,[296 312] ; [ 75 142],[273.41575758 334.58424242] ; [ 97.58424242 119.41575758],1
v2,1,0.000355,12.756606,[358 232] ; [ 95 110],[336.18867925 253.81132075] ; [116.81132075  88.18867925],1
p4,1,0.000534,11.994079,[386 222] ; [107 107],[364.65206813 243.34793187] ; [128.34793187  85.65206813],1
s5,1,0.001162,10.549083,[221 367] ; [ 52 155],[201.91698113 386.08301887] ; [ 71.08301887 135.91698113],0
