Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.047437,3.929825,[100  14] ; [8 4],[97.71428571 16.28571429] ; [10.28571429  1.71428571],0
s7,1,0.064148,3.426747,[18 88] ; [5 8],[20.48739496 85.51260504] ; [ 2.51260504 10.48739496],0
p9,1,0.08262,3.012588,[77 33] ; [6 7],[74.22764228 35.77235772] ; [8.77235772 4.22764228],0
v3,1,0.091956,2.839803,[33 78] ; [ 1 12],[30.43548387 80.56451613] ; [3.56451613 9.43548387],0
v2,1,0.094467,2.796563,[41 64] ; [ 2 11],[38.26271186 66.73728814] ; [4.73728814 8.26271186],0
b5,1,0.136097,2.221545,[69 46] ; [5 8],[66.484375 48.515625] ; [7.515625 5.484375],0
r4,1,0.147826,2.094544,[84 31] ; [7 6],[81.7578125 33.2421875] ; [9.2421875 3.7578125],0
a4,1,0.165747,1.920996,[28 85] ; [ 1 12],[26.00793651 86.99206349] ; [ 2.99206349 10.00793651],0
a6,1,0.193026,1.694371,[66 49] ; [5 8],[63.7890625 51.2109375] ; [7.2109375 5.7890625],0
p7,1,0.209957,1.57172,[57 55] ; [9 4],[59.136 52.864] ; [6.864 6.136],0
r2,1,0.210949,1.564901,[95 19] ; [9 4],[93.35433071 20.64566929] ; [10.64566929  2.35433071],0
d3,1,0.278924,1.172325,[28 86] ; [5 8],[29.62204724 84.37795276] ; [3.37795276 9.62204724],0
p3,1,0.336705,0.922938,[46 69] ; [7 6],[47.6171875 67.3828125] ; [5.3828125 7.6171875],0
s6,1,0.338935,0.914454,[41 73] ; [6 6],[42.52380952 71.47619048] ; [4.47619048 7.52380952],0
p5,1,0.369429,0.805585,[  9 104] ; [ 2 11],[  9.86507937 103.13492063] ; [ 1.13492063 11.86507937],0
b4,1,0.380041,0.770569,[59 56] ; [5 8],[57.5 57.5] ; [6.5 6.5],0
n4,1,0.477854,0.503756,[81 33] ; [8 5],[79.88976378 34.11023622] ; [9.11023622 3.88976378],0
n2,1,0.481426,0.495632,[27 13] ; [2 2],[26.36363636 13.63636364] ; [2.63636364 1.36363636],0
p8,1,0.483823,0.490234,[48 62] ; [7 6],[49.18699187 60.81300813] ; [5.81300813 7.18699187],0
a7,1,0.492784,0.470442,[64 50] ; [6 7],[62.83464567 51.16535433] ; [7.16535433 5.83464567],0
p4,1,0.514341,0.425226,[51 64] ; [7 6],[52.109375 62.890625] ; [5.890625 7.109375],0
n6,1,0.528947,0.396414,[78 36] ; [10  3],[78.99212598 35.00787402] ; [9.00787402 3.99212598],0
p1,1,0.580281,0.305781,[ 15 100] ; [ 1 12],[ 14.375 100.625] ; [ 1.625 11.375],0
u2,1,0.588818,0.292194,[30 33] ; [3 5],[29.28169014 33.71830986] ; [3.71830986 4.28169014],0
p11,1,0.600123,0.27481,[79 36] ; [8 5],[78.1640625 36.8359375] ; [8.8359375 4.1640625],0
s5,1,0.600824,0.273755,[ 13 100] ; [ 2 10],[13.56 99.44] ; [ 1.44 10.56],0
a3,1,0.604204,0.268702,[52 61] ; [5 8],[51.11904762 61.88095238] ; [5.88095238 7.11904762],0
s1,1,0.606291,0.265611,[  5 107] ; [ 1 12],[  5.376 106.624] ; [ 0.624 12.376],0
p2,1,0.624741,0.239259,[81 34] ; [10  3],[81.7578125 33.2421875] ; [9.2421875 3.7578125],0
u3,1,0.637724,0.221732,[26 37] ; [4 4],[26.61971831 36.38028169] ; [3.38028169 4.61971831],0
s3,1,0.638417,0.220819,[28 85] ; [4 9],[28.6984127 84.3015873] ; [3.3015873 9.6984127],0
v1,1,0.650544,0.205215,[44 67] ; [6 7],[44.75806452 66.24193548] ; [5.24193548 7.75806452],0
n1,1,0.698127,0.150427,[16 24] ; [2 2],[16.36363636 23.63636364] ; [1.63636364 2.36363636],0
b1,1,0.729087,0.119952,[50 65] ; [5 8],[49.4140625 65.5859375] ; [5.5859375 7.4140625],0
r1,1,0.752409,0.099518,[66 47] ; [7 6],[65.46825397 47.53174603] ; [7.53174603 5.46825397],0
s8,1,0.787664,0.072547,[21 93] ; [ 2 11],[20.64566929 93.35433071] ; [ 2.35433071 10.64566929],0
n5,1,0.800818,0.06365,[84 30] ; [10  3],[84.37795276 29.62204724] ; [9.62204724 3.37795276],0
r3,1,0.818289,0.052783,[90 23] ; [10  3],[89.68253968 23.31746032] ; [10.31746032  2.68253968],0
p12,1,0.827261,0.047618,[  7 107] ; [ 1 12],[  7.18110236 106.81889764] ; [ 0.81889764 12.18110236],0
a5,1,0.862007,0.030213,[56 59] ; [6 7],[55.703125 59.296875] ; [6.296875 6.703125],0
p6,1,0.879202,0.023098,[28 84] ; [ 3 10],[27.776 84.224] ; [3.224 9.776],0
p10,1,0.934484,0.006758,[67 44] ; [8 5],[67.13709677 43.86290323] ; [7.86290323 5.13709677],0
n3,1,0.954599,0.003241,[28 10] ; [3 1],[28.04761905  9.95238095] ; [2.95238095 1.04761905],0
d5,1,0.962629,0.002195,[45 70] ; [5 8],[44.921875 70.078125] ; [5.078125 7.921875],0
d2,1,0.97417,0.001048,[27 88] ; [ 3 10],[26.953125 88.046875] ; [3.046875 9.953125],0
