Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.017918,5.604131,[32 55] ; [40 32],[39.39622642 47.60377358] ; [32.60377358 39.39622642],0
p3,1,0.059876,3.540829,[25 62] ; [31 41],[30.64150943 56.35849057] ; [25.35849057 46.64150943],0
s6,1,0.063294,3.448894,[40 46] ; [43 27],[45.75641026 40.24358974] ; [37.24358974 32.75641026],0
s4,1,0.0655,3.39235,[ 8 77] ; [14 57],[11.98717949 73.01282051] ; [10.01282051 60.98717949],0
p9,1,0.080153,3.061797,[38 46] ; [22 48],[32.72727273 51.27272727] ; [27.27272727 42.72727273],0
p2,1,0.091056,2.855603,[63 24] ; [43 29],[58. 29.] ; [48. 24.],0
r1,1,0.098883,2.723465,[77 10] ; [56 15],[73.23417722 13.76582278] ; [59.76582278 11.23417722],0
p1,1,0.11336,2.50674,[ 3 82] ; [ 7 65],[ 5.41401274 79.58598726] ; [ 4.58598726 67.41401274],0
n6,1,0.123387,2.373786,[65 22] ; [45 26],[60.56962025 26.43037975] ; [49.43037975 21.56962025],0
n1,1,0.126361,2.336649,[ 9 17] ; [16 13],[11.81818182 14.18181818] ; [13.18181818 15.81818182],0
n4,1,0.150275,2.069459,[61 26] ; [42 29],[56.71518987 30.28481013] ; [46.28481013 24.71518987],0
a2,1,0.161412,1.960946,[15 72] ; [19 53],[18.60377358 68.39622642] ; [15.39622642 56.60377358],0
s3,1,0.182349,1.778375,[37 48] ; [38 32],[41.12903226 43.87096774] ; [33.87096774 36.12903226],0
p5,1,0.184553,1.760575,[ 3 84] ; [ 6 66],[ 4.9245283 82.0754717] ; [ 4.0754717 67.9245283],0
b3,1,0.186148,1.747841,[22 37] ; [11 33],[18.90291262 40.09708738] ; [14.09708738 29.90291262],0
b2,1,0.186148,1.747841,[22 37] ; [11 33],[18.90291262 40.09708738] ; [14.09708738 29.90291262],0
p4,1,0.207788,1.586768,[33 54] ; [34 37],[36.89240506 50.10759494] ; [30.10759494 40.89240506],0
s7,1,0.231895,1.429198,[26 58] ; [27 40],[29.48344371 54.51655629] ; [23.51655629 43.48344371],0
s2,1,0.307298,1.042255,[28 57] ; [29 42],[31.05769231 53.94230769] ; [25.94230769 45.05769231],0
v4,1,0.322452,0.978975,[83  4] ; [65  6],[81.49367089  5.50632911] ; [66.50632911  4.49367089],0
s1,1,0.332257,0.940079,[ 3 82] ; [ 5 67],[ 4.33121019 80.66878981] ; [ 3.66878981 68.33121019],0
s8,1,0.351148,0.869305,[28 58] ; [18 52],[25.35897436 60.64102564] ; [20.64102564 49.35897436],0
n2,1,0.353309,0.861538,[21  5] ; [21  9],[19.5  6.5] ; [22.5  7.5],0
p6,1,0.357197,0.847725,[25 60] ; [16 54],[22.48387097 62.51612903] ; [18.51612903 51.48387097],0
p7,1,0.360433,0.836384,[44 41] ; [32 40],[41.14649682 43.85350318] ; [34.85350318 37.14649682],0
a5,1,0.39019,0.738349,[51 36] ; [47 25],[53.62264151 33.37735849] ; [44.37735849 27.62264151],0
b5,1,0.45363,0.561566,[53 34] ; [48 24],[55.26415094 31.73584906] ; [45.73584906 26.26415094],0
a8,1,0.48647,0.484324,[13 65] ; [ 8 56],[11.53521127 66.46478873] ; [ 9.46478873 54.53521127],0
a7,1,0.499078,0.456897,[56 31] ; [50 22],[58. 29.] ; [48. 24.],0
r3,1,0.501737,0.45126,[85  2] ; [69  3],[84.26415094  2.73584906] ; [69.73584906  2.26415094],0
a3,1,0.517913,0.418047,[52 35] ; [46 25],[53.96202532 33.03797468] ; [44.03797468 26.96202532],0
v2,1,0.555422,0.347694,[38 47] ; [28 42],[36.19354839 48.80645161] ; [29.80645161 40.19354839],0
s5,1,0.567445,0.326976,[19 65] ; [13 56],[17.56862745 66.43137255] ; [14.43137255 54.56862745],0
a6,1,0.580966,0.304676,[54 33] ; [41 30],[52.31012658 34.68987342] ; [42.68987342 28.31012658],0
v1,1,0.61861,0.247826,[36 51] ; [27 45],[34.47169811 52.52830189] ; [28.52830189 43.47169811],0
d5,1,0.634546,0.225947,[62 25] ; [53 18],[63.32278481 23.67721519] ; [51.67721519 19.32278481],0
b4,1,0.672198,0.179041,[56 31] ; [44 28],[54.71698113 32.28301887] ; [45.28301887 26.71698113],0
r2,1,0.674644,0.176218,[85  2] ; [71  1],[85.35849057  1.64150943] ; [70.64150943  1.35849057],0
n3,1,0.761264,0.092308,[19  8] ; [20  7],[19.5  7.5] ; [19.5  7.5],0
n5,1,0.771054,0.084679,[47 40] ; [40 31],[47.90506329 39.09493671] ; [39.09493671 31.90506329],0
d3,1,0.777994,0.079487,[52 35] ; [44 27],[52.86075949 34.13924051] ; [43.13924051 27.86075949],0
a1,1,0.812946,0.055992,[ 3 84] ; [ 3 69],[ 3.28301887 83.71698113] ; [ 2.71698113 69.28301887],0
u4,1,0.812946,0.055992,[ 3 84] ; [ 3 69],[ 3.28301887 83.71698113] ; [ 2.71698113 69.28301887],0
p8,1,0.845416,0.038014,[30 55] ; [24 47],[29.42307692 55.57692308] ; [24.57692308 46.42307692],0
d1,1,0.852009,0.034803,[41 46] ; [35 37],[41.58490566 45.41509434] ; [34.41509434 37.58490566],0
d2,1,0.872933,0.025579,[43 44] ; [36 35],[43.5 43.5] ; [35.5 35.5],0
v3,1,0.893672,0.017865,[26 60] ; [20 44],[26.37333333 59.62666667] ; [19.62666667 44.37333333],0
u3,1,0.903186,0.014796,[21 14] ; [16 10],[21.2295082 13.7704918] ; [15.7704918 10.2295082],0
u1,1,0.922301,0.009513,[14 73] ; [12 60],[14.22641509 72.77358491] ; [11.77358491 60.22641509],0
u2,1,0.942968,0.005118,[16 18] ; [12 13],[16.13559322 17.86440678] ; [11.86440678 13.13559322],0
d4,1,0.982855,0.000462,[66 21] ; [53 17],[65.94267516 21.05732484] ; [53.05732484 16.94267516],0
a4,1,0.998372,4e-06,[38 49] ; [31 40],[37.99367089 49.00632911] ; [31.00632911 39.99367089],0
