Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.333453,[4 5] ; [127  10],[8.07534247 0.92465753] ; [122.92465753  14.07534247],1
r3,1,0.000161,14.2426,[6 3] ; [131   5],[8.50344828 0.49655172] ; [128.49655172   7.50344828],1
n6,1,0.000489,12.158501,[4 5] ; [119  17],[7.63448276 1.36551724] ; [115.36551724  20.63448276],1
r1,1,0.000808,11.2225,[3 6] ; [111  26],[7.02739726 1.97260274] ; [106.97260274  30.02739726],1
n4,1,0.011796,6.341317,[4 5] ; [110  27],[7.02739726 1.97260274] ; [106.97260274  30.02739726],0
p9,1,0.019272,5.476642,[5 4] ; [117  20],[7.52054795 1.47945205] ; [114.47945205  22.52054795],0
b1,1,0.030373,4.688068,[7 2] ; [56 81],[3.88356164 5.11643836] ; [59.11643836 77.88356164],0
a5,1,0.044631,4.032542,[3 6] ; [91 46],[5.79452055 3.20547945] ; [88.20547945 48.79452055],0
d1,1,0.047503,3.927498,[2 7] ; [77 60],[4.86986301 4.13013699] ; [74.13013699 62.86986301],0
d3,1,0.054664,3.692308,[4 5] ; [100  35],[6.5 2.5] ; [97.5 37.5],0
p10,1,0.069287,3.299825,[5 4] ; [110  26],[7.13793103 1.86206897] ; [107.86206897  28.13793103],0
s6,1,0.093454,2.813843,[3 6] ; [82 51],[5.38732394 3.61267606] ; [79.61267606 53.38732394],0
b4,1,0.097515,2.745723,[3 6] ; [84 53],[5.3630137 3.6369863] ; [81.6369863 55.3630137],0
a3,1,0.100618,2.695715,[4 5] ; [96 40],[6.20689655 2.79310345] ; [93.79310345 42.20689655],0
v3,1,0.137015,2.211165,[1 8] ; [47 86],[3.04225352 5.95774648] ; [44.95774648 88.04225352],0
d2,1,0.141299,2.163758,[2 7] ; [65 72],[4.13013699 4.86986301] ; [62.86986301 74.13013699],0
p12,1,0.147555,2.09735,[2 7] ; [ 11 126],[0.80136986 8.19863014] ; [ 12.19863014 124.80136986],0
s3,1,0.184686,1.75951,[2 7] ; [61 75],[3.91034483 5.08965517] ; [59.08965517 76.91034483],0
n2,1,0.190614,1.712869,[2 2] ; [27  7],[3.05263158 0.94736842] ; [25.94736842  8.05263158],0
a8,1,0.205205,1.604938,[2 7] ; [ 11 110],[0.9 8.1] ; [ 12.1 108.9],0
s4,1,0.257995,1.279484,[3 6] ; [ 24 109],[1.71126761 7.28873239] ; [ 25.28873239 107.71126761],0
n3,1,0.273299,1.200112,[2 2] ; [25  8],[2.91891892 1.08108108] ; [24.08108108  8.91891892],0
a2,1,0.274831,1.192475,[1 8] ; [38 99],[2.40410959 6.59589041] ; [ 36.59589041 100.40410959],0
a4,1,0.311912,1.022564,[3 6] ; [69 67],[4.46896552 4.53103448] ; [67.53103448 68.46896552],0
v4,1,0.359865,0.838365,[8 1] ; [131   6],[8.56849315 0.43150685] ; [130.43150685   6.56849315],0
b3,1,0.36106,0.834204,[2 1] ; [33 49],[1.23529412 1.76470588] ; [33.76470588 48.23529412],0
b2,1,0.36106,0.834204,[2 1] ; [33 49],[1.23529412 1.76470588] ; [33.76470588 48.23529412],0
p8,1,0.409037,0.681599,[7 2] ; [88 49],[5.85616438 3.14383562] ; [89.14383562 47.85616438],0
p11,1,0.418507,0.654503,[8 1] ; [106  31],[7.02739726 1.97260274] ; [106.97260274  30.02739726],0
d4,1,0.461687,0.541802,[6 3] ; [106  31],[6.90410959 2.09589041] ; [105.09589041  31.90410959],0
