Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,47.848772,[ 24 104] ; [184 154],[57.13304721 70.86695279] ; [150.86695279 187.13304721],1
d2,1,0.0,46.213739,[30 99] ; [198 141],[62.84615385 66.15384615] ; [165.15384615 173.84615385],1
d1,1,0.0,42.614597,[42 87] ; [225 116],[73.28297872 55.71702128] ; [193.71702128 147.28297872],1
a3,1,0.0,40.230028,[60 67] ; [264  76],[88.11134904 38.88865096] ; [235.88865096 104.11134904],1
d5,1,0.0,31.662829,[81 48] ; [293  47],[102.86993603  26.13006397] ; [271.13006397  68.86993603],1
r1,1,0.0,29.731511,[77 51] ; [285  55],[99.00854701 28.99145299] ; [262.99145299  77.00854701],1
u1,1,0.0,28.035186,[  2 127] ; [ 74 267],[ 20.85957447 108.14042553] ; [ 55.14042553 285.85957447],1
a6,1,0.0,25.306418,[66 63] ; [256  84],[88.56716418 40.43283582] ; [233.43283582 106.56716418],1
d4,1,1e-05,19.509001,[84 45] ; [285  55],[101.49466951  27.50533049] ; [267.50533049  72.49466951],1
d3,1,6.1e-05,16.083576,[66 63] ; [241  99],[84.44136461 44.55863539] ; [222.55863539 117.44136461],1
r2,1,0.00023,13.565424,[108  19] ; [318  16],[117.35791757   9.64208243] ; [308.64208243  25.35791757],1
p2,1,0.005955,7.56393,[92 37] ; [279  58],[102.70171674  26.29828326] ; [268.29828326  68.70171674],0
r4,1,0.006037,7.539315,[100  29] ; [299  42],[109.51276596  19.48723404] ; [289.48723404  51.51276596],0
p9,1,0.008896,6.843587,[91 37] ; [276  60],[101.24137931  26.75862069] ; [265.75862069  70.24137931],0
v4,1,0.012804,6.195926,[110  18] ; [317  23],[116.78632479  11.21367521] ; [310.21367521  29.78632479],0
a7,1,0.012914,6.180828,[80 48] ; [253  88],[90.88272921 37.11727079] ; [242.11727079  98.88272921],0
s7,1,0.016037,5.798834,[41 81] ; [149 173],[52.20720721 69.79279279] ; [137.79279279 184.20720721],0
r3,1,0.017847,5.611073,[113  16] ; [320  20],[119.09808102   9.90191898] ; [313.90191898  26.09808102],0
p4,1,0.023814,5.10814,[61 67] ; [201 138],[71.81156317 56.18843683] ; [190.18843683 148.81156317],0
p11,1,0.025236,5.007622,[93 36] ; [278  63],[101.82765957  27.17234043] ; [269.17234043  71.82765957],0
p10,1,0.028659,4.787992,[89 39] ; [266  70],[97.93103448 30.06896552] ; [257.06896552  78.93103448],0
s8,1,0.038833,4.268176,[39 90] ; [138 202],[48.68443497 80.31556503] ; [128.31556503 211.68443497],0
p3,1,0.063522,3.442958,[51 78] ; [166 172],[59.94218415 69.05781585] ; [157.05781585 180.94218415],0
u3,1,0.07721,3.12268,[28 41] ; [42 34],[33.31034483 35.68965517] ; [36.68965517 39.31034483],0
u4,1,0.132827,2.259147,[  1 128] ; [ 11 330],[  3.29361702 125.70638298] ; [  8.70638298 332.29361702],0
a1,1,0.156172,2.010909,[  4 125] ; [ 22 319],[  7.13617021 121.86382979] ; [ 18.86382979 322.13617021],0
p8,1,0.156314,2.009524,[54 74] ; [165 168],[60.80694143 67.19305857] ; [158.19305857 174.80694143],0
v2,1,0.209767,1.573033,[58 61] ; [184 148],[63.85365854 55.14634146] ; [178.14634146 153.85365854],0
v1,1,0.269112,1.221266,[58 68] ; [171 159],[63.27631579 62.72368421] ; [165.72368421 164.27631579],0
s2,1,0.272974,1.201742,[45 83] ; [138 201],[50.15845824 77.84154176] ; [132.84154176 206.15845824],0
p5,1,0.31327,1.016838,[ 10 118] ; [ 18 320],[  7.69098712 120.30901288] ; [ 20.30901288 317.69098712],0
b2,1,0.366478,0.815572,[26 54] ; [ 84 136],[29.33333333 50.66666667] ; [ 80.66666667 139.33333333],0
b3,1,0.366478,0.815572,[26 54] ; [ 84 136],[29.33333333 50.66666667] ; [ 80.66666667 139.33333333],0
s3,1,0.436614,0.605164,[65 60] ; [162 176],[61.28509719 63.71490281] ; [165.71490281 172.28509719],0
p12,1,0.441486,0.592418,[  6 123] ; [ 22 314],[  7.76774194 121.23225806] ; [ 20.23225806 315.76774194],0
v3,1,0.444982,0.583401,[47 81] ; [132 193],[50.57836645 77.42163355] ; [128.42163355 196.57836645],0
u2,1,0.469397,0.523396,[33 35] ; [42 35],[35.17241379 32.82758621] ; [39.82758621 37.17241379],0
b1,1,0.482493,0.493223,[48 81] ; [139 202],[51.32553191 77.67446809] ; [135.67446809 205.32553191],0
s6,1,0.48798,0.480978,[70 59] ; [196 143],[73.32051282 55.67948718] ; [192.67948718 146.32051282],0
b4,1,0.51606,0.42176,[71 58] ; [199 142],[74.10638298 54.89361702] ; [195.89361702 145.10638298],0
p6,1,0.526588,0.400972,[37 89] ; [109 227],[39.81818182 86.18181818] ; [106.18181818 229.81818182],0
n3,1,0.561036,0.337914,[18 10] ; [52 22],[19.21568627  8.78431373] ; [50.78431373 23.21568627],0
p7,1,0.58274,0.301826,[76 50] ; [192 142],[73.40869565 52.59130435] ; [194.59130435 139.40869565],0
n1,1,0.605638,0.266576,[13 15] ; [31 45],[11.84615385 16.15384615] ; [32.15384615 43.84615385],0
s4,1,0.627989,0.234798,[ 14 114] ; [ 32 307],[ 12.60813704 115.39186296] ; [ 33.39186296 305.60813704],0
a8,1,0.658172,0.195752,[ 16 102] ; [ 47 261],[ 17.45070423 100.54929577] ; [ 45.54929577 262.45070423],0
s1,1,0.706954,0.141338,[  4 124] ; [ 13 324],[  4.67956989 123.32043011] ; [ 12.32043011 324.67956989],0
b5,1,0.778971,0.07877,[78 51] ; [211 130],[79.3212766 49.6787234] ; [209.6787234 131.3212766],0
n2,1,0.852468,0.034585,[18 10] ; [51 26],[18.4  9.6] ; [50.6 26.4],0
n6,1,0.864342,0.02919,[108  21] ; [286  53],[108.6025641  20.3974359] ; [285.3974359  53.6025641],0
p1,1,0.976176,0.000892,[ 10 119] ; [ 26 313],[  9.92307692 119.07692308] ; [ 26.07692308 312.92307692],0
n5,1,0.988756,0.000199,[107  22] ; [281  58],[106.94871795  22.05128205] ; [281.05128205  57.94871795],0
