Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.1e-05,19.25,[ 9 33] ; [41 22],[20. 22.] ; [30. 33.],1
p6,1,5.6e-05,16.224601,[ 8 35] ; [37 27],[18.08411215 24.91588785] ; [26.91588785 37.08411215],1
p4,1,0.000646,11.639042,[19 24] ; [49 15],[27.3271028 15.6728972] ; [40.6728972 23.3271028],1
p3,1,0.000797,11.248767,[12 31] ; [39 25],[20.4953271 22.5046729] ; [30.5046729 33.4953271],1
p10,1,0.002562,9.095518,[29 14] ; [58  6],[34.96261682  8.03738318] ; [52.03738318 11.96261682],0
p2,1,0.005767,7.621694,[29 14] ; [57  7],[34.56074766  8.43925234] ; [51.43925234 12.56074766],0
s6,1,0.019687,5.43946,[30 11] ; [57  6],[34.29807692  6.70192308] ; [52.70192308 10.29807692],0
s8,1,0.019989,5.412875,[15 28] ; [37 27],[20.89719626 22.10280374] ; [31.10280374 32.89719626],0
p11,1,0.023823,5.10747,[24 19] ; [49 15],[29.3364486 13.6635514] ; [43.6635514 20.3364486],0
s7,1,0.033297,4.530423,[18 25] ; [39 23],[23.34285714 19.65714286] ; [33.65714286 28.34285714],0
v1,1,0.036311,4.382429,[15 28] ; [35 28],[20.28301887 22.71698113] ; [29.71698113 33.28301887],0
b4,1,0.055559,3.665235,[32 11] ; [36 28],[27.3271028 15.6728972] ; [40.6728972 23.3271028],0
p5,1,0.06302,3.456072,[ 1 42] ; [ 8 56],[ 3.61682243 39.38317757] ; [ 5.38317757 58.61682243],0
p9,1,0.081601,3.032732,[33  9] ; [58  6],[36.05660377  5.94339623] ; [54.94339623  9.05660377],0
r1,1,0.10252,2.665902,[29 14] ; [52 12],[32.55140187 10.44859813] ; [48.44859813 15.55140187],0
n3,1,0.109315,2.564103,[8 4] ; [12  1],[9.6 2.4] ; [10.4  2.6],0
d1,1,0.134658,2.237964,[22 21] ; [42 22],[25.71962617 17.28037383] ; [38.28037383 25.71962617],0
s5,1,0.137655,2.20398,[14 23] ; [32 28],[17.54639175 19.45360825] ; [28.45360825 31.54639175],0
p1,1,0.148222,2.090455,[ 1 42] ; [ 6 58],[ 2.81308411 40.18691589] ; [ 4.18691589 59.81308411],0
v3,1,0.148902,2.083458,[ 9 34] ; [21 41],[12.28571429 30.71428571] ; [17.71428571 44.28571429],0
s3,1,0.150875,2.063385,[26 16] ; [48 16],[29.32075472 12.67924528] ; [44.67924528 19.32075472],0
