Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8e-06,19.878571,[36  9] ; [ 6 18],[27.39130435 17.60869565] ; [14.60869565  9.39130435],1
p8,1,0.015214,5.891474,[ 6 39] ; [ 9 14],[ 9.92647059 35.07352941] ; [ 5.07352941 17.92647059],0
a8,1,0.073407,3.205142,[ 9 34] ; [ 1 22],[ 6.51515152 36.48484848] ; [ 3.48484848 19.51515152],0
n6,1,0.088677,2.898229,[26 18] ; [ 9 15],[22.64705882 21.35294118] ; [12.35294118 11.64705882],0
s4,1,0.133344,2.253135,[ 5 40] ; [ 6 18],[ 7.17391304 37.82608696] ; [ 3.82608696 20.17391304],0
s8,1,0.147144,2.101608,[10 35] ; [ 2 22],[ 7.82608696 37.17391304] ; [ 4.17391304 19.82608696],0
n1,1,0.150449,2.067692,[11  9] ; [2 6],[ 9.28571429 10.71428571] ; [3.71428571 4.28571429],0
d5,1,0.176672,1.825397,[30 15] ; [12 12],[27.39130435 17.60869565] ; [14.60869565  9.39130435],0
s6,1,0.250176,1.32232,[12 31] ; [10 14],[14.11940299 28.88059701] ; [ 7.88059701 16.11940299],0
p7,1,0.254927,1.296097,[11 34] ; [ 9 15],[13.04347826 31.95652174] ; [ 6.95652174 17.04347826],0
v2,1,0.255744,1.291653,[19 25] ; [ 7 17],[16.82352941 27.17647059] ; [ 9.17647059 14.82352941],0
b1,1,0.259844,1.269588,[27 18] ; [11 13],[24.7826087 20.2173913] ; [13.2173913 10.7826087],0
p11,1,0.259844,1.269588,[18 27] ; [13 11],[20.2173913 24.7826087] ; [10.7826087 13.2173913],0
n2,1,0.280828,1.163077,[12  8] ; [3 5],[10.71428571  9.28571429] ; [4.28571429 3.71428571],0
d4,1,0.283549,1.15,[28 17] ; [18  6],[30. 15.] ; [16.  8.],0
s5,1,0.310643,1.027939,[ 5 38] ; [ 5 19],[ 6.41791045 36.58208955] ; [ 3.58208955 20.41791045],0
s7,1,0.391044,0.735692,[ 9 32] ; [ 7 15],[10.41269841 30.58730159] ; [ 5.58730159 16.41269841],0
d2,1,0.416966,0.658852,[21 23] ; [ 9 15],[19.41176471 24.58823529] ; [10.58823529 13.41176471],0
b2,1,0.435797,0.607324,[13 19] ; [ 4 10],[11.82608696 20.17391304] ; [5.17391304 8.82608696],0
b3,1,0.435797,0.607324,[13 19] ; [ 4 10],[11.82608696 20.17391304] ; [5.17391304 8.82608696],0
a6,1,0.454457,0.559512,[23 22] ; [10 14],[21.52173913 23.47826087] ; [11.47826087 12.52173913],0
d1,1,0.471173,0.519224,[19 26] ; [ 8 16],[17.60869565 27.39130435] ; [ 9.39130435 14.60869565],0
v3,1,0.50693,0.4404,[11 34] ; [ 4 19],[ 9.92647059 35.07352941] ; [ 5.07352941 17.92647059],0
a5,1,0.536171,0.382683,[26 19] ; [12 12],[24.7826087 20.2173913] ; [13.2173913 10.7826087],0
a2,1,0.536662,0.381762,[ 6 39] ; [ 2 22],[ 5.2173913 39.7826087] ; [ 2.7826087 21.2173913],0
r3,1,0.538998,0.3774,[26 18] ; [16  8],[27.17647059 16.82352941] ; [14.82352941  9.17647059],0
b5,1,0.552843,0.352248,[21 24] ; [13 11],[22.17391304 22.82608696] ; [11.82608696 12.17391304],0
p4,1,0.56101,0.337959,[12 33] ; [ 8 16],[13.04347826 31.95652174] ; [ 6.95652174 17.04347826],0
b4,1,0.586247,0.296243,[27 18] ; [16  8],[28.04347826 16.95652174] ; [14.95652174  9.04347826],0
r4,1,0.594105,0.28398,[14 31] ; [ 6 18],[13.04347826 31.95652174] ; [ 6.95652174 17.04347826],0
p10,1,0.594706,0.283055,[19 24] ; [ 9 15],[17.97014925 25.02985075] ; [10.02985075 13.97014925],0
p2,1,0.640109,0.218599,[18 27] ; [11 13],[18.91304348 26.08695652] ; [10.08695652 13.91304348],0
u3,1,0.667378,0.184684,[ 3 16] ; [1 9],[ 2.62068966 16.37931034] ; [1.37931034 8.62068966],0
u1,1,0.672118,0.179135,[ 3 42] ; [ 1 23],[ 2.60869565 42.39130435] ; [ 1.39130435 22.60869565],0
p9,1,0.744561,0.106158,[21 21] ; [11 13],[20.36363636 21.63636364] ; [11.63636364 12.36363636],0
n3,1,0.744785,0.105965,[10 10] ; [4 3],[10.37037037  9.62962963] ; [3.62962963 3.37037037],0
d3,1,0.791779,0.069697,[21 24] ; [12 12],[21.52173913 23.47826087] ; [11.47826087 12.52173913],0
v1,1,0.821074,0.05115,[14 30] ; [ 7 17],[13.58823529 30.41176471] ; [ 7.41176471 16.58823529],0
p3,1,0.824766,0.049026,[12 33] ; [ 7 17],[12.39130435 32.60869565] ; [ 6.60869565 17.39130435],0
u2,1,0.832894,0.044518,[ 5 14] ; [3 7],[ 5.24137931 13.75862069] ; [2.75862069 7.24137931],0
s2,1,0.839129,0.041212,[12 32] ; [ 6 18],[11.64705882 32.35294118] ; [ 6.35294118 17.64705882],0
p1,1,0.863728,0.029457,[ 5 40] ; [ 3 21],[ 5.2173913 39.7826087] ; [ 2.7826087 21.2173913],0
s3,1,0.869822,0.026858,[17 26] ; [ 9 15],[16.68656716 26.31343284] ; [ 9.31343284 14.68656716],0
p6,1,0.875541,0.024531,[ 8 36] ; [ 4 20],[ 7.76470588 36.23529412] ; [ 4.23529412 19.76470588],0
r1,1,0.89318,0.018031,[18 27] ; [10 14],[18.26086957 26.73913043] ; [ 9.73913043 14.26086957],0
r2,1,0.925002,0.008861,[24 18] ; [14 10],[24.18181818 17.81818182] ; [13.81818182 10.18181818],0
a7,1,0.929935,0.007731,[22 23] ; [12 12],[22.17391304 22.82608696] ; [11.82608696 12.17391304],0
s1,1,0.937825,0.006085,[ 4 41] ; [ 2 22],[ 3.91304348 41.08695652] ; [ 2.08695652 21.91304348],0
a4,1,0.949685,0.003982,[15 29] ; [ 8 16],[14.88235294 29.11764706] ; [ 8.11764706 15.88235294],0
a3,1,0.95163,0.00368,[26 18] ; [14 10],[25.88235294 18.11764706] ; [14.11764706  9.88235294],0
