Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4.5e-05,16.658537,[16 11] ; [25 97],[ 7.4295302 19.5704698] ; [33.5704698 88.4295302],1
s6,1,0.000398,12.541305,[26  4] ; [65 62],[17.38853503 12.61146497] ; [73.61146497 53.38853503],1
s2,1,0.012495,6.23918,[20 10] ; [53 75],[13.86075949 16.13924051] ; [59.13924051 68.86075949],0
p9,1,0.016453,5.753788,[25  5] ; [75 50],[19.35483871 10.64516129] ; [80.64516129 44.35483871],0
n5,1,0.017663,5.629307,[15 17] ; [88 39],[20.72955975 11.27044025] ; [82.27044025 44.72955975],0
a2,1,0.035706,4.411103,[ 2 30] ; [29 99],[ 6.2 25.8] ; [ 24.8 103.2],0
p10,1,0.064401,3.420256,[24  7] ; [75 51],[19.5477707 11.4522293] ; [79.4522293 46.5477707],0
n6,1,0.064848,3.408852,[28  4] ; [91 36],[23.94968553  8.05031447] ; [95.05031447 31.94968553],0
a6,1,0.071664,3.244501,[15 17] ; [81 45],[19.44303797 12.55696203] ; [76.55696203 49.44303797],0
b3,1,0.115851,2.472527,[ 4 16] ; [31 49],[ 7. 13.] ; [28. 52.],0
b2,1,0.115851,2.472527,[ 4 16] ; [31 49],[ 7. 13.] ; [28. 52.],0
v2,1,0.120786,2.407095,[19 11] ; [57 63],[15.2 14.8] ; [60.8 59.2],0
d3,1,0.131521,2.274457,[22 10] ; [68 58],[18.2278481 13.7721519] ; [71.7721519 54.2278481],0
p12,1,0.143317,2.141978,[ 4 27] ; [  7 121],[ 2.14465409 28.85534591] ; [  8.85534591 119.14465409],0
p8,1,0.147416,2.098791,[ 5 27] ; [36 92],[ 8.2 23.8] ; [32.8 95.2],0
s3,1,0.200261,1.640468,[18 13] ; [57 69],[14.8089172 16.1910828] ; [60.1910828 65.8089172],0
v3,1,0.201931,1.628353,[ 8 23] ; [45 73],[11.02684564 19.97315436] ; [41.97315436 76.02684564],0
u2,1,0.231598,1.431023,[5 7] ; [28 18],[6.82758621 5.17241379] ; [26.17241379 19.82758621],0
a8,1,0.234589,1.412817,[ 1 30] ; [ 12 109],[ 2.65131579 28.34868421] ; [ 10.34868421 110.65131579],0
s8,1,0.245359,1.349535,[15 17] ; [45 81],[12.15189873 19.84810127] ; [47.84810127 78.15189873],0
b1,1,0.268344,1.225191,[13 19] ; [66 62],[15.8 16.2] ; [63.2 64.8],0
p5,1,0.276805,1.182712,[ 1 31] ; [ 11 113],[ 2.46153846 29.53846154] ; [  9.53846154 114.46153846],0
r3,1,0.316932,1.001565,[30  2] ; [112  16],[28.4  3.6] ; [113.6  14.4],0
r2,1,0.344081,0.895166,[31  1] ; [117  10],[29.78616352  2.21383648] ; [118.21383648   8.78616352],0
r4,1,0.3674,0.81244,[29  3] ; [108  20],[27.4  4.6] ; [109.6  18.4],0
n4,1,0.367466,0.812217,[18 14] ; [83 45],[20.2 11.8] ; [80.8 47.2],0
s7,1,0.500069,0.454789,[13 16] ; [46 75],[11.40666667 17.59333333] ; [47.59333333 73.40666667],0
d5,1,0.510691,0.432651,[24  8] ; [87 39],[22.48101266  9.51898734] ; [88.51898734 37.48101266],0
p1,1,0.532046,0.390482,[ 3 29] ; [  8 120],[ 2.2 29.8] ; [  8.8 119.2],0
d4,1,0.556011,0.346658,[25  7] ; [92 34],[23.69620253  8.30379747] ; [93.30379747 32.69620253],0
a4,1,0.607961,0.263154,[13 19] ; [58 69],[14.28930818 17.71069182] ; [56.71069182 70.28930818],0
p7,1,0.611369,0.258186,[10 22] ; [44 78],[11.22077922 20.77922078] ; [42.77922078 79.22077922],0
a7,1,0.683091,0.166667,[21 11] ; [79 49],[20. 12.] ; [80. 48.],0
p11,1,0.687374,0.161943,[18 14] ; [77 51],[19. 13.] ; [76. 52.],0
v1,1,0.700094,0.148374,[14 18] ; [50 75],[13.04458599 18.95541401] ; [50.95541401 74.04458599],0
p6,1,0.737968,0.111921,[ 8 24] ; [28 98],[ 7.29113924 24.70886076] ; [28.70886076 97.29113924],0
p4,1,0.779164,0.078629,[10 22] ; [42 82],[10.66666667 21.33333333] ; [41.33333333 82.66666667],0
n3,1,0.779611,0.078303,[9 4] ; [26 14],[8.58490566 4.41509434] ; [26.41509434 13.58490566],0
s1,1,0.788684,0.071835,[ 2 29] ; [ 10 117],[ 2.35443038 28.64556962] ; [  9.64556962 117.35443038],0
r1,1,0.789084,0.071556,[24  8] ; [93 35],[23.4  8.6] ; [93.6 34.4],0
u1,1,0.818428,0.052701,[ 4 28] ; [ 18 110],[ 4.4 27.6] ; [ 17.6 110.4],0
d2,1,0.833328,0.044283,[15 17] ; [56 69],[14.47133758 17.52866242] ; [56.52866242 68.47133758],0
n1,1,0.847789,0.036841,[5 8] ; [17 24],[5.2962963 7.7037037] ; [16.7037037 24.2962963],0
u3,1,0.854648,0.033559,[8 4] ; [30 17],[7.72881356 4.27118644] ; [30.27118644 16.72881356],0
n2,1,0.855004,0.033393,[10  3] ; [32 11],[9.75 3.25] ; [32.25 10.75],0
b5,1,0.871089,0.026333,[20 12] ; [78 50],[19.6 12.4] ; [78.4 49.6],0
a1,1,0.875859,0.024405,[ 2 30] ; [  9 119],[ 2.2 29.8] ; [  8.8 119.2],0
p3,1,0.889177,0.019417,[10 22] ; [41 85],[10.32911392 21.67088608] ; [40.67088608 85.32911392],0
a3,1,0.893098,0.018059,[20 12] ; [81 46],[20.32704403 11.67295597] ; [80.67295597 46.32704403],0
a5,1,0.933952,0.006868,[21 11] ; [83 45],[20.8 11.2] ; [83.2 44.8],0
b4,1,0.936586,0.00633,[18 14] ; [71 57],[17.8 14.2] ; [71.2 56.8],0
d1,1,1.0,0.0,[16 16] ; [64 64],[16. 16.] ; [64. 64.],0
