Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,6.1e-05,16.057597,[ 3 19] ; [54 34],[11.4 10.6] ; [45.6 42.4],1
p7,1,0.001739,9.806508,[ 8 14] ; [62 24],[14.25925926  7.74074074] ; [55.74074074 30.25925926],0
a6,1,0.004847,7.935548,[ 9 13] ; [66 25],[14.60176991  7.39823009] ; [60.39823009 30.60176991],0
n5,1,0.010927,6.477081,[10 12] ; [67 24],[14.99115044  7.00884956] ; [62.00884956 28.99115044],0
p4,1,0.011005,6.464521,[ 8 14] ; [60 31],[13.23893805  8.76106195] ; [54.76106195 36.23893805],0
s1,1,0.024912,5.029992,[ 4 18] ; [ 4 86],[ 1.57142857 20.42857143] ; [ 6.42857143 83.57142857],0
p10,1,0.028448,4.800686,[14  7] ; [78 12],[17.40540541  3.59459459] ; [74.59459459 15.40540541],0
p6,1,0.049678,3.852286,[ 6 16] ; [45 44],[10.10810811 11.89189189] ; [40.89189189 48.10810811],0
p11,1,0.061756,3.48958,[12 10] ; [68 23],[15.57522124  6.42477876] ; [64.42477876 26.57522124],0
a7,1,0.066464,3.368249,[12 10] ; [67 23],[15.51785714  6.48214286] ; [63.48214286 26.51785714],0
a2,1,0.083922,2.987266,[ 2 20] ; [24 67],[ 5.0619469 16.9380531] ; [20.9380531 70.0619469],0
p1,1,0.085902,2.949532,[ 4 18] ; [ 6 85],[ 1.94690265 20.05309735] ; [ 8.05309735 82.94690265],0
v4,1,0.116379,2.465392,[20  2] ; [89  2],[21.22123894  0.77876106] ; [87.77876106  3.22123894],0
p9,1,0.210181,1.570182,[16  4] ; [81  9],[17.63636364  2.36363636] ; [79.36363636 10.63636364],0
v3,1,0.228836,1.448081,[ 4 18] ; [28 62],[ 6.28571429 15.71428571] ; [25.71428571 64.28571429],0
b1,1,0.277217,1.180685,[11 11] ; [34 57],[ 8.76106195 13.23893805] ; [36.23893805 54.76106195],0
u2,1,0.288986,1.124339,[2 4] ; [16 12],[3.17647059 2.82352941] ; [14.82352941 13.17647059],0
v1,1,0.296049,1.091907,[13  9] ; [42 48],[10.80357143 11.19642857] ; [44.19642857 45.80357143],0
p3,1,0.318955,0.993226,[ 9 13] ; [48 43],[11.09734513 10.90265487] ; [45.90265487 45.09734513],0
s7,1,0.327137,0.960199,[12  6] ; [69 20],[13.62616822  4.37383178] ; [67.37383178 21.62616822],0
d1,1,0.370129,0.803232,[12 10] ; [59 32],[13.82300885  8.17699115] ; [57.17699115 33.82300885],0
n1,1,0.407016,0.6875,[4 7] ; [ 5 17],[3. 8.] ; [ 6. 16.],0
n2,1,0.407016,0.6875,[7 4] ; [17  5],[8. 3.] ; [16.  6.],0
d3,1,0.479089,0.500936,[15  7] ; [68 22],[16.30357143  5.69642857] ; [66.69642857 23.30357143],0
n4,1,0.481954,0.494439,[13  9] ; [61 30],[14.40707965  7.59292035] ; [59.59292035 31.40707965],0
b4,1,0.483922,0.490011,[11 11] ; [53 38],[12.46017699  9.53982301] ; [51.53982301 39.46017699],0
d4,1,0.491081,0.474156,[17  5] ; [76 15],[18.10619469  3.89380531] ; [74.89380531 16.10619469],0
s3,1,0.491459,0.473331,[19  3] ; [83  8],[19.85840708  2.14159292] ; [82.14159292  8.85840708],0
n6,1,0.505828,0.442688,[17  5] ; [75 15],[18.07142857  3.92857143] ; [73.92857143 16.07142857],0
a5,1,0.542326,0.371246,[14  8] ; [64 27],[15.18584071  6.81415929] ; [62.81415929 28.18584071],0
r3,1,0.548463,0.360078,[20  2] ; [84  5],[20.61261261  1.38738739] ; [83.38738739  5.61261261],0
u1,1,0.548883,0.359322,[ 4 18] ; [22 69],[ 5.0619469 16.9380531] ; [20.9380531 70.0619469],0
v2,1,0.56761,0.326698,[11 10] ; [40 48],[ 9.82568807 11.17431193] ; [41.17431193 46.82568807],0
a4,1,0.667982,0.183972,[12 10] ; [45 46],[11.09734513 10.90265487] ; [45.90265487 45.09734513],0
s8,1,0.68217,0.167693,[12 10] ; [54 37],[12.84955752  9.15044248] ; [53.15044248 37.84955752],0
a3,1,0.748296,0.102969,[16  6] ; [63 28],[15.38053097  6.61946903] ; [63.61946903 27.38053097],0
p12,1,0.754632,0.09768,[ 1 20] ; [ 6 85],[ 1.3125 19.6875] ; [ 5.6875 85.3125],0
a1,1,0.776067,0.080911,[ 1 21] ; [ 3 88],[ 0.77876106 21.22123894] ; [ 3.22123894 87.77876106],0
a8,1,0.78159,0.076866,[ 1 21] ; [ 5 77],[ 1.26923077 20.73076923] ; [ 4.73076923 77.26923077],0
b2,1,0.794586,0.067788,[ 3 12] ; [10 33],[ 3.36206897 11.63793103] ; [ 9.63793103 33.36206897],0
b3,1,0.794586,0.067788,[ 3 12] ; [10 33],[ 3.36206897 11.63793103] ; [ 9.63793103 33.36206897],0
u3,1,0.816297,0.053968,[4 2] ; [20  8],[4.23529412 1.76470588] ; [19.76470588  8.23529412],0
r4,1,0.84318,0.039136,[19  3] ; [80 11],[19.27433628  2.72566372] ; [79.72566372 11.27433628],0
r1,1,0.847317,0.037073,[16  6] ; [68 23],[16.3539823  5.6460177] ; [67.6460177 23.3539823],0
d5,1,0.865216,0.028811,[18  4] ; [75 15],[18.26785714  3.73214286] ; [74.73214286 15.26785714],0
d2,1,0.889599,0.019269,[11 11] ; [47 44],[11.2920354 10.7079646] ; [46.7079646 44.2920354],0
b5,1,0.915965,0.011134,[14  8] ; [59 32],[14.21238938  7.78761062] ; [58.78761062 32.21238938],0
s6,1,0.950762,0.003813,[19  2] ; [80  8],[19.0733945  1.9266055] ; [79.9266055  8.0733945],0
r2,1,0.983593,0.000423,[21  1] ; [86  4],[21.01785714  0.98214286] ; [85.98214286  4.01785714],0
s5,1,0.984233,0.000391,[12  8] ; [50 33],[12.03883495  7.96116505] ; [49.96116505 33.03883495],0
n3,1,1.0,0.0,[8 3] ; [16  6],[8. 3.] ; [16.  6.],0
