Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.586798,[ 45 115] ; [117 101],[68.57142857 91.42857143] ; [ 93.42857143 124.57142857],1
v2,1,6e-06,20.594931,[71 87] ; [147  68],[92.34316354 65.65683646] ; [125.65683646  89.34316354],1
s8,1,6.1e-05,16.064886,[87 77] ; [163  61],[105.67010309  58.32989691] ; [144.32989691  79.67010309],1
n5,1,0.000261,13.331509,[113  50] ; [190  34],[127.62015504  35.37984496] ; [175.37984496  48.62015504],1
p5,1,0.001057,10.725256,[ 12 151] ; [ 43 182],[ 23.1056701 139.8943299] ; [ 31.8943299 193.1056701],0
s5,1,0.001151,10.566629,[68 89] ; [132  87],[83.5106383 73.4893617] ; [116.4893617 102.5106383],0
a5,1,0.005625,7.666722,[113  50] ; [184  42],[124.44987147  38.55012853] ; [172.55012853  53.44987147],0
s4,1,0.008021,7.028792,[ 52 108] ; [ 46 178],[ 40.83333333 119.16666667] ; [ 57.16666667 166.83333333],0
a3,1,0.0177,5.625632,[115  48] ; [182  43],[124.77061856  38.22938144] ; [172.22938144  52.77061856],0
n4,1,0.017824,5.613403,[119  45] ; [185  39],[128.49484536  35.50515464] ; [175.50515464  48.49484536],0
p9,1,0.01964,5.443641,[134  26] ; [205  19],[141.25  18.75] ; [197.75  26.25],0
r4,1,0.023222,5.151812,[146  18] ; [215  11],[151.80512821  12.19487179] ; [209.19487179  16.80512821],0
p6,1,0.034049,4.492255,[ 63 100] ; [109 111],[73.20104439 89.79895561] ; [ 98.79895561 121.20104439],0
n2,1,0.034706,4.459577,[29 12] ; [40  5],[32.89534884  8.10465116] ; [36.10465116  8.89534884],0
s7,1,0.035002,4.445062,[105  50] ; [169  49],[113.86058981  41.13941019] ; [160.13941019  57.86058981],0
p8,1,0.040445,4.19912,[78 83] ; [131  91],[87.85639687 73.14360313] ; [121.14360313 100.85639687],0
a8,1,0.050957,3.809689,[ 15 135] ; [ 36 172],[ 21.36871508 128.63128492] ; [ 29.63128492 178.36871508],0
p3,1,0.052999,3.743937,[78 85] ; [130  95],[87.3814433 75.6185567] ; [120.6185567 104.3814433],0
u4,1,0.070388,3.273951,[  2 162] ; [ 10 216],[  5.04615385 158.95384615] ; [  6.95384615 219.04615385],0
d1,1,0.071419,3.250108,[98 66] ; [155  71],[106.38974359  57.61025641] ; [146.61025641  79.38974359],0
p10,1,0.078175,3.10244,[132  31] ; [196  28],[138.1498708  24.8501292] ; [189.8501292  34.1498708],0
