Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1.2e-05,19.149823,[314  16] ; [7 4],[310.64516129  19.35483871] ; [10.35483871  0.64516129],1
a3,1,0.001952,9.594108,[252  75] ; [4 7],[247.66863905  79.33136095] ; [8.33136095 2.66863905],0
r3,1,0.004397,8.111952,[320   9] ; [9 2],[318.35588235  10.64411765] ; [10.64411765  0.35588235],0
n3,1,0.00825,6.978462,[49 16] ; [1 4],[46.42857143 18.57142857] ; [3.57142857 1.42857143],0
n6,1,0.008615,6.900917,[293  35] ; [7 4],[290.26548673  37.73451327] ; [9.73451327 1.26548673],0
b1,1,0.013341,6.123312,[119 211] ; [8 3],[122.90322581 207.09677419] ; [4.09677419 6.90322581],0
b4,1,0.019749,5.433927,[205 125] ; [3 8],[201.29032258 128.70967742] ; [6.70967742 4.29032258],0
a7,1,0.03843,4.285887,[241  86] ; [5 6],[237.99408284  89.00591716] ; [8.00591716 2.99408284],0
r1,1,0.042997,4.095535,[283  47] ; [7 4],[280.64516129  49.35483871] ; [9.35483871 1.64516129],0
n2,1,0.053278,3.735166,[51 14] ; [2 3],[49.21428571 15.78571429] ; [3.78571429 1.21428571],0
a5,1,0.076091,3.146479,[255  74] ; [6 5],[252.55588235  76.44411765] ; [8.44411765 2.55588235],0
p5,1,0.080194,3.060957,[ 53 273] ; [4 7],[ 55.13946588 270.86053412] ; [1.86053412 9.13946588],0
a6,1,0.097059,2.753212,[226 101] ; [5 6],[223.48224852 103.51775148] ; [7.51775148 3.48224852],0
v1,1,0.12106,2.40355,[221 105] ; [5 6],[218.6231454 107.3768546] ; [7.3768546 3.6231454],0
b5,1,0.127053,2.328151,[196 134] ; [4 7],[193.5483871 136.4516129] ; [6.4516129 4.5483871],0
s3,1,0.133275,2.253941,[189 131] ; [4 7],[186.58610272 133.41389728] ; [6.41389728 4.58610272],0
v2,1,0.139576,2.182631,[258  67] ; [6 4],[256.11940299  68.88059701] ; [7.88059701 2.11940299],0
p4,1,0.18997,1.717848,[201 121] ; [9 2],[203.06306306 118.93693694] ; [6.93693694 4.06306306],0
a2,1,0.197773,1.658745,[ 87 243] ; [ 1 10],[ 85.16129032 244.83870968] ; [2.83870968 8.16129032],0
