Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000146,14.429473,[33 12] ; [ 7 19],[25.35211268 19.64788732] ; [14.64788732 11.35211268],1
d4,1,0.002574,9.087555,[24 21] ; [23  3],[29.78873239 15.21126761] ; [17.21126761  8.78873239],0
d3,1,0.00621,7.488318,[16 29] ; [18  8],[21.54929577 23.45070423] ; [12.45070423 13.54929577],0
r3,1,0.032118,4.592178,[25 20] ; [21  5],[29.15492958 15.84507042] ; [16.84507042  9.15492958],0
n6,1,0.04357,4.07314,[31 13] ; [12 14],[27.02857143 16.97142857] ; [15.97142857 10.02857143],0
s4,1,0.08676,2.933477,[ 5 40] ; [ 7 19],[ 7.6056338 37.3943662] ; [ 4.3943662 21.6056338],0
s6,1,0.094463,2.796618,[12 33] ; [12 14],[15.21126761 29.78873239] ; [ 8.78873239 17.21126761],0
p10,1,0.103679,2.648017,[23 21] ; [ 8 17],[19.76811594 24.23188406] ; [11.23188406 13.76811594],0
s2,1,0.142781,2.147729,[10 35] ; [10 16],[12.67605634 32.32394366] ; [ 7.32394366 18.67605634],0
d5,1,0.14288,2.146662,[25 20] ; [19  7],[27.88732394 17.11267606] ; [16.11267606  9.88732394],0
a6,1,0.149872,2.073555,[27 18] ; [11 15],[24.08450704 20.91549296] ; [13.91549296 12.08450704],0
n1,1,0.159982,1.974401,[10 10] ; [2 7],[ 8.27586207 11.72413793] ; [3.72413793 5.27586207],0
p9,1,0.164849,1.929171,[24 18] ; [ 9 14],[21.32307692 20.67692308] ; [11.67692308 11.32307692],0
p11,1,0.178361,1.811225,[23 22] ; [ 9 17],[20.28169014 24.71830986] ; [11.71830986 14.28169014],0
n3,1,0.231998,1.428571,[12  9] ; [3 6],[10.5 10.5] ; [4.5 4.5],0
r4,1,0.232914,1.422979,[16 29] ; [13 13],[18.38028169 26.61971831] ; [10.61971831 15.38028169],0
u2,1,0.23323,1.421053,[ 5 14] ; [4 4],[ 6.33333333 12.66666667] ; [2.66666667 5.33333333],0
u3,1,0.23323,1.421053,[ 5 14] ; [4 4],[ 6.33333333 12.66666667] ; [2.66666667 5.33333333],0
s8,1,0.262118,1.257538,[10 35] ; [ 3 23],[ 8.23943662 36.76056338] ; [ 4.76056338 21.23943662],0
s5,1,0.274963,1.191818,[ 6 38] ; [ 6 19],[ 7.65217391 36.34782609] ; [ 4.34782609 20.65217391],0
a7,1,0.282071,1.157085,[20 25] ; [15 11],[22.18309859 22.81690141] ; [12.81690141 13.18309859],0
d1,1,0.315171,1.00888,[17 28] ; [13 13],[19.01408451 25.98591549] ; [10.98591549 15.01408451],0
s7,1,0.320011,0.988903,[ 8 35] ; [ 7 17],[ 9.62686567 33.37313433] ; [ 5.37313433 18.62686567],0
b5,1,0.321987,0.980857,[24 21] ; [17  9],[25.98591549 19.01408451] ; [15.01408451 10.98591549],0
a1,1,0.337349,0.920479,[ 7 38] ; [ 2 24],[ 5.70422535 39.29577465] ; [ 3.29577465 22.70422535],0
a3,1,0.33821,0.917203,[26 19] ; [18  8],[27.88732394 17.11267606] ; [16.11267606  9.88732394],0
v3,1,0.367629,0.811664,[ 8 35] ; [ 7 18],[ 9.48529412 33.51470588] ; [ 5.51470588 19.48529412],0
a2,1,0.468936,0.524481,[ 6 39] ; [ 2 24],[ 5.07042254 39.92957746] ; [ 2.92957746 23.07042254],0
a4,1,0.506853,0.440559,[17 27] ; [ 8 18],[15.71428571 28.28571429] ; [ 9.28571429 16.71428571],0
v4,1,0.527486,0.399233,[26 19] ; [17  9],[27.25352113 17.74647887] ; [15.74647887 10.25352113],0
a8,1,0.604722,0.267933,[ 3 41] ; [ 1 25],[ 2.51428571 41.48571429] ; [ 1.48571429 24.51428571],0
a5,1,0.613048,0.25576,[27 18] ; [14 12],[25.98591549 19.01408451] ; [15.01408451 10.98591549],0
b4,1,0.613048,0.25576,[27 18] ; [14 12],[25.98591549 19.01408451] ; [15.01408451 10.98591549],0
p1,1,0.62807,0.234687,[ 9 36] ; [ 4 22],[ 8.23943662 36.76056338] ; [ 4.76056338 21.23943662],0
p6,1,0.666515,0.185706,[ 7 37] ; [ 5 20],[ 7.65217391 36.34782609] ; [ 4.34782609 20.65217391],0
b1,1,0.687307,0.162016,[22 23] ; [14 12],[22.81690141 22.18309859] ; [13.18309859 12.81690141],0
s1,1,0.718254,0.130172,[ 4 41] ; [ 3 23],[ 4.43661972 40.56338028] ; [ 2.56338028 23.43661972],0
r2,1,0.746627,0.104387,[31 13] ; [16  8],[30.41176471 13.58823529] ; [16.58823529  7.41176471],0
b2,1,0.790116,0.070841,[14 17] ; [ 7 10],[13.5625 17.4375] ; [7.4375 9.5625],0
b3,1,0.790116,0.070841,[14 17] ; [ 7 10],[13.5625 17.4375] ; [7.4375 9.5625],0
n2,1,0.804113,0.061517,[13  8] ; [6 3],[13.3  7.7] ; [5.7 3.3],0
p4,1,0.817088,0.053496,[11 34] ; [ 7 19],[11.4084507 33.5915493] ; [ 6.5915493 19.4084507],0
v2,1,0.85862,0.031731,[13 27] ; [ 9 17],[13.33333333 26.66666667] ; [ 8.66666667 17.33333333],0
p7,1,0.867174,0.027972,[13 32] ; [ 8 18],[13.30985915 31.69014085] ; [ 7.69014085 18.30985915],0
u1,1,0.870733,0.02648,[ 3 42] ; [ 2 24],[ 3.16901408 41.83098592] ; [ 1.83098592 24.16901408],0
v1,1,0.891815,0.018498,[13 31] ; [ 7 18],[12.75362319 31.24637681] ; [ 7.24637681 17.75362319],0
d2,1,0.92541,0.008765,[21 22] ; [13 13],[21.1884058 21.8115942] ; [12.8115942 13.1884058],0
s3,1,0.938814,0.005892,[14 31] ; [ 8 17],[14.14285714 30.85714286] ; [ 7.85714286 17.14285714],0
p3,1,0.966857,0.001726,[11 34] ; [ 6 19],[10.92857143 34.07142857] ; [ 6.07142857 18.92857143],0
p8,1,0.973147,0.001133,[10 34] ; [ 6 20],[10.05714286 33.94285714] ; [ 5.94285714 20.05714286],0
