Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,3e-06,22.010115,[ 5 22] ; [53 22],[15.35294118 11.64705882] ; [42.64705882 32.35294118],1
p3,1,3.6e-05,17.052486,[ 9 18] ; [58 17],[17.73529412  9.26470588] ; [49.26470588 25.73529412],1
p8,1,0.00017,14.136473,[11 16] ; [59 15],[18.71287129  8.28712871] ; [51.28712871 22.71287129],1
d1,1,0.001069,10.703271,[ 9 18] ; [52 23],[16.14705882 10.85294118] ; [44.85294118 30.14705882],0
n5,1,0.013558,6.094815,[15 12] ; [60 15],[19.85294118  7.14705882] ; [55.14705882 19.85294118],0
r1,1,0.013942,6.045413,[16 11] ; [62 13],[20.64705882  6.35294118] ; [57.35294118 17.64705882],0
a4,1,0.014435,5.984107,[ 6 21] ; [37 38],[11.38235294 15.61764706] ; [31.61764706 43.38235294],0
a5,1,0.01932,5.472337,[14 13] ; [57 18],[18.79411765  8.20588235] ; [52.20588235 22.79411765],0
d4,1,0.022668,5.193758,[17 10] ; [63 12],[21.17647059  5.82352941] ; [58.82352941 16.17647059],0
s5,1,0.032256,4.584825,[10 16] ; [44 26],[14.625 11.375] ; [39.375 30.625],0
v1,1,0.037186,4.341876,[ 9 18] ; [42 32],[13.63366337 13.36633663] ; [37.36633663 36.63366337],0
b4,1,0.040109,4.213282,[10 17] ; [45 30],[14.55882353 12.44117647] ; [40.44117647 34.55882353],0
a2,1,0.048229,3.901971,[ 2 25] ; [19 56],[ 5.55882353 21.44117647] ; [15.44117647 59.55882353],0
p2,1,0.049202,3.868444,[21  6] ; [69  6],[23.82352941  3.17647059] ; [66.17647059  8.82352941],0
d2,1,0.057243,3.615508,[ 9 18] ; [41 34],[13.23529412 13.76470588] ; [36.76470588 38.23529412],0
d5,1,0.110495,2.547125,[19  7] ; [65 10],[21.62376238  4.37623762] ; [62.37623762 12.62376238],0
d3,1,0.116839,2.459194,[16 10] ; [58 17],[19.04950495  6.95049505] ; [54.95049505 20.04950495],0
p1,1,0.129493,2.298568,[ 1 26] ; [11 64],[ 3.17647059 23.82352941] ; [ 8.82352941 66.17647059],0
a8,1,0.238185,1.391304,[ 2 22] ; [ 2 70],[ 1. 23.] ; [ 3. 69.],0
b2,1,0.24175,1.370362,[ 2 15] ; [11 32],[ 3.68333333 13.31666667] ; [ 9.31666667 33.68333333],0
b3,1,0.24175,1.370362,[ 2 15] ; [11 32],[ 3.68333333 13.31666667] ; [ 9.31666667 33.68333333],0
a3,1,0.277271,1.180419,[16 11] ; [53 22],[18.26470588  8.73529412] ; [50.73529412 24.26470588],0
n4,1,0.277271,1.180419,[16 11] ; [53 22],[18.26470588  8.73529412] ; [50.73529412 24.26470588],0
b1,1,0.278913,1.172377,[ 9 18] ; [34 41],[11.38235294 15.61764706] ; [31.61764706 43.38235294],0
