Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,21.926719,[17 38] ; [93 44],[31.51041667 23.48958333] ; [78.48958333 58.51041667],1
n4,1,5.1e-05,16.408658,[22 34] ; [96 40],[34.41666667 21.58333333] ; [83.58333333 52.41666667],1
s8,1,0.00168,9.869464,[11 45] ; [59 76],[20.52356021 35.47643979] ; [49.47643979 85.52356021],0
p10,1,0.003089,8.754294,[20 33] ; [82 51],[29.06451613 23.93548387] ; [72.93548387 60.06451613],0
v4,1,0.010745,6.506943,[46  9] ; [130   7],[50.41666667  4.58333333] ; [125.58333333  11.41666667],0
u2,1,0.014425,5.985417,[14  6] ; [18 30],[ 9.41176471 10.58823529] ; [22.58823529 25.41176471],0
s6,1,0.015203,5.892844,[29 26] ; [94 38],[36.17647059 18.82352941] ; [86.82352941 45.17647059],0
p9,1,0.019404,5.464745,[27 26] ; [92 41],[33.90860215 19.09139785] ; [85.09139785 47.90860215],0
s7,1,0.023935,5.099344,[16 34] ; [64 62],[22.72727273 27.27272727] ; [57.27272727 68.72727273],0
r4,1,0.024975,5.025628,[44 12] ; [124  13],[48.74611399  7.25388601] ; [119.25388601  17.74611399],0
p2,1,0.034845,4.452748,[32 23] ; [101  36],[38.09895833 16.90104167] ; [94.90104167 42.09895833],0
p7,1,0.043208,4.087243,[21 33] ; [75 61],[27.28421053 26.71578947] ; [68.71578947 67.28421053],0
r2,1,0.056483,3.637748,[50  6] ; [131   5],[52.79166667  3.20833333] ; [128.20833333   7.79166667],0
p4,1,0.058124,3.590108,[21 34] ; [72 63],[26.92105263 28.07894737] ; [66.07894737 68.92105263],0
n1,1,0.069519,3.294331,[ 6 19] ; [19 22],[ 9.46969697 15.53030303] ; [15.53030303 25.46969697],0
u1,1,0.132039,2.268365,[ 6 50] ; [ 27 110],[ 9.57512953 46.42487047] ; [ 23.42487047 113.57512953],0
v1,1,0.138315,2.19661,[20 36] ; [64 71],[24.62827225 31.37172775] ; [59.37172775 75.62827225],0
b5,1,0.142357,2.152292,[34 22] ; [98 39],[38.30051813 17.69948187] ; [93.69948187 43.30051813],0
s5,1,0.1474,2.098952,[12 37] ; [47 84],[16.06111111 32.93888889] ; [42.93888889 88.06111111],0
a6,1,0.168558,1.895721,[38 17] ; [80 57],[33.80208333 21.19791667] ; [84.19791667 52.80208333],0
p6,1,0.204428,1.610452,[13 40] ; [46 89],[16.63297872 36.36702128] ; [42.36702128 92.63297872],0
n2,1,0.214657,1.539738,[15 10] ; [32 11],[17.27941176  7.72058824] ; [29.72058824 13.27941176],0
b3,1,0.22275,1.486564,[ 6 25] ; [20 44],[ 8.48421053 22.51578947] ; [17.51578947 46.48421053],0
b2,1,0.22275,1.486564,[ 6 25] ; [20 44],[ 8.48421053 22.51578947] ; [17.51578947 46.48421053],0
u3,1,0.226012,1.465786,[13  7] ; [24 25],[10.72463768  9.27536232] ; [26.27536232 22.72463768],0
p5,1,0.227354,1.45734,[ 2 52] ; [ 12 125],[ 3.95811518 50.04188482] ; [ 10.04188482 126.95811518],0
p3,1,0.29176,1.111483,[18 36] ; [57 80],[21.20418848 32.79581152] ; [53.79581152 83.20418848],0
s1,1,0.331764,0.941998,[ 5 51] ; [  7 128],[ 3.51832461 52.48167539] ; [  8.48167539 126.51832461],0
s2,1,0.361025,0.834323,[26 30] ; [73 63],[28.875 27.125] ; [70.125 65.875],0
d4,1,0.361896,0.831303,[45  9] ; [106  31],[42.69109948 11.30890052] ; [108.30890052  28.69109948],0
d5,1,0.410162,0.678331,[42 13] ; [111  25],[44.05759162 10.94240838] ; [108.94240838  27.05759162],0
v3,1,0.45686,0.553576,[14 34] ; [47 87],[16.08791209 31.91208791] ; [44.91208791 89.08791209],0
a5,1,0.472667,0.515734,[35 21] ; [93 44],[37.13989637 18.86010363] ; [90.86010363 46.13989637],0
