Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,55.108259,[41 69] ; [221  67],[72.4120603 37.5879397] ; [189.5879397  98.4120603],1
d3,1,0.0,37.131224,[54 56] ; [231  58],[78.57142857 31.42857143] ; [206.42857143  82.57142857],1
u1,1,2e-06,23.039998,[  7 103] ; [ 84 207],[24.96259352 85.03740648] ; [ 66.03740648 224.96259352],1
a2,1,6e-06,20.555324,[13 97] ; [101 190],[31.27182045 78.72817955] ; [ 82.72817955 208.27182045],1
r4,1,1.1e-05,19.34876,[91 19] ; [279  12],[101.49625935   8.50374065] ; [268.50374065  22.49625935],1
b5,1,5.4e-05,16.290649,[52 58] ; [201  90],[69.40149626 40.59850374] ; [183.59850374 107.40149626],1
r2,1,0.000158,14.273259,[98 11] ; [283   5],[104.6070529   4.3929471] ; [276.3929471  11.6070529],1
r1,1,0.000173,14.10054,[79 31] ; [253  36],[91.52882206 18.47117794] ; [240.47117794  48.52882206],1
v4,1,0.001896,9.647571,[101   8] ; [286   4],[105.72180451   3.27819549] ; [281.27819549   8.72180451],0
d1,1,0.00338,8.589995,[60 50] ; [204  87],[72.41895262 37.58104738] ; [191.58104738  99.41895262],0
b1,1,0.003382,8.588749,[57 53] ; [104 187],[44.16458853 65.83541147] ; [116.83541147 174.16458853],0
s8,1,0.007769,7.08589,[83 27] ; [177 112],[71.67919799 38.32080201] ; [188.32080201 100.67919799],0
p2,1,0.015314,5.879997,[83 26] ; [251  40],[91.015 17.985] ; [242.985  48.015],0
p10,1,0.020156,5.39837,[86 24] ; [252  36],[93.41708543 16.58291457] ; [244.58291457  43.41708543],0
n3,1,0.020561,5.363654,[17 14] ; [44 12],[21.73563218  9.26436782] ; [39.26436782 16.73563218],0
p9,1,0.022299,5.222288,[91 19] ; [259  26],[97.46835443 12.53164557] ; [252.53164557  32.46835443],0
n1,1,0.029199,4.755825,[18 13] ; [19 37],[13.18390805 17.81609195] ; [23.81609195 32.18390805],0
s7,1,0.035024,4.444008,[86 20] ; [196  82],[77.84375 28.15625] ; [204.15625  73.84375],0
b4,1,0.054439,3.699188,[56 54] ; [179 112],[64.4638404 45.5361596] ; [170.5361596 120.4638404],0
r3,1,0.078598,3.093655,[104   6] ; [282   6],[106.68341709   3.31658291] ; [279.31658291   8.68341709],0
n6,1,0.095571,2.777939,[90 19] ; [255  32],[94.96212121 14.03787879] ; [250.03787879  36.96212121],0
a1,1,0.106955,2.598647,[ 10 100] ; [ 14 277],[  6.58354115 103.41645885] ; [ 17.41645885 273.58354115],0
d4,1,0.112477,2.519064,[90 19] ; [256  33],[94.75879397 14.24120603] ; [251.24120603  37.75879397],0
a8,1,0.193894,1.687778,[11 93] ; [ 42 223],[14.93766938 89.06233062] ; [ 38.06233062 226.93766938],0
v3,1,0.251449,1.315235,[50 57] ; [112 166],[45.02337662 61.97662338] ; [116.97662338 161.02337662],0
s3,1,0.260622,1.265448,[95 15] ; [260  28],[98.11557789 11.88442211] ; [256.88442211  31.11557789],0
p3,1,0.273572,1.198749,[64 46] ; [151 139],[59.125 50.875] ; [155.875 134.125],0
v2,1,0.317918,0.997492,[57 48] ; [166 111],[61.29581152 43.70418848] ; [161.70418848 115.29581152],0
d2,1,0.351335,0.868629,[55 55] ; [159 129],[59.14572864 50.85427136] ; [154.85427136 133.14572864],0
a5,1,0.354868,0.855974,[81 29] ; [227  64],[84.48877805 25.51122195] ; [223.51122195  67.48877805],0
v1,1,0.363169,0.826905,[66 41] ; [159 122],[62.04896907 44.95103093] ; [162.95103093 118.04896907],0
u3,1,0.39301,0.729608,[14  9] ; [50 21],[15.65957447  7.34042553] ; [48.34042553 22.65957447],0
p1,1,0.409886,0.679132,[  9 100] ; [ 32 257],[11.22864322 97.77135678] ; [ 29.77135678 259.22864322],0
a3,1,0.410903,0.676186,[87 23] ; [218  72],[83.875 26.125] ; [221.125  68.875],0
p12,1,0.421352,0.646542,[10 99] ; [ 35 256],[12.2625 96.7375] ; [ 32.7375 258.2625],0
n4,1,0.451542,0.566778,[88 21] ; [224  66],[85.23308271 23.76691729] ; [226.76691729  63.23308271],0
b3,1,0.499195,0.456646,[33 48] ; [ 61 107],[30.57831325 50.42168675] ; [ 63.42168675 104.57831325],0
b2,1,0.499195,0.456646,[33 48] ; [ 61 107],[30.57831325 50.42168675] ; [ 63.42168675 104.57831325],0
d5,1,0.531225,0.392049,[90 19] ; [246  43],[92.0201005 16.9798995] ; [243.9798995  45.0201005],0
u4,1,0.601547,0.27267,[  5 105] ; [ 10 281],[  4.11471322 105.88528678] ; [ 10.88528678 280.11471322],0
p4,1,0.652977,0.202168,[72 38] ; [196  93],[73.88471178 36.11528822] ; [194.11528822  94.88471178],0
s4,1,0.662385,0.19064,[29 80] ; [ 70 216],[27.31898734 81.68101266] ; [ 71.68101266 214.31898734],0
p11,1,0.74196,0.108412,[86 24] ; [223  68],[84.76309227 25.23690773] ; [224.23690773  66.76309227],0
p7,1,0.764834,0.089484,[70 37] ; [187  92],[71.24093264 35.75906736] ; [185.75906736  93.24093264],0
a4,1,0.782245,0.076394,[55 55] ; [141 150],[53.76558603 56.23441397] ; [142.23441397 148.76558603],0
n2,1,0.819118,0.052294,[25  6] ; [44 12],[24.5862069  6.4137931] ; [44.4137931 11.5862069],0
p8,1,0.827147,0.047682,[57 51] ; [155 132],[57.96455696 50.03544304] ; [154.03544304 132.96455696],0
p5,1,0.830215,0.045978,[16 93] ; [ 40 249],[15.33668342 93.66331658] ; [ 40.66331658 248.33668342],0
p6,1,0.89214,0.018386,[48 59] ; [127 161],[47.40506329 59.59493671] ; [127.59493671 160.40506329],0
s5,1,0.903951,0.014562,[56 50] ; [146 134],[55.47150259 50.52849741] ; [146.52849741 133.47150259],0
s1,1,0.918056,0.010585,[  6 103] ; [ 15 271],[  5.79493671 103.20506329] ; [ 15.20506329 270.79493671],0
u2,1,0.961915,0.00228,[14  9] ; [43 27],[14.09677419  8.90322581] ; [42.90322581 27.09677419],0
n5,1,0.962393,0.002223,[85 24] ; [226  63],[85.17336683 23.82663317] ; [225.82663317  63.17336683],0
