Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,9e-06,19.695085,[19 25] ; [84 21],[30.41610738 13.58389262] ; [72.58389262 32.41610738],1
p10,1,0.005968,7.559895,[19 26] ; [69 35],[26.57718121 18.42281879] ; [61.42281879 42.57718121],0
p9,1,0.010829,6.493165,[22 22] ; [74 29],[28.73469388 15.26530612] ; [67.26530612 35.73469388],0
n6,1,0.014743,5.946971,[28 17] ; [85 20],[33.9 11.1] ; [79.1 25.9],0
s7,1,0.017243,5.671471,[10 31] ; [46 54],[16.28368794 24.71631206] ; [39.71631206 60.28368794],0
p2,1,0.018443,5.553554,[23 22] ; [74 30],[29.29530201 15.70469799] ; [67.70469799 36.29530201],0
r1,1,0.03667,4.365656,[20 25] ; [66 39],[25.8 19.2] ; [60.2 44.8],0
p3,1,0.037613,4.322433,[12 33] ; [47 58],[17.7 27.3] ; [41.3 63.7],0
v3,1,0.046011,3.981185,[ 5 38] ; [27 74],[ 9.55555556 33.44444444] ; [22.44444444 78.55555556],0
a5,1,0.050718,3.817553,[21 24] ; [67 38],[26.4 18.6] ; [61.6 43.4],0
a3,1,0.061972,3.483818,[20 25] ; [64 41],[25.2 19.8] ; [58.8 46.2],0
s8,1,0.063634,3.440038,[ 9 36] ; [37 68],[13.8 31.2] ; [32.2 72.8],0
d1,1,0.06899,3.306878,[13 32] ; [47 58],[18. 27.] ; [42. 63.],0
u3,1,0.079956,3.065796,[12 13] ; [11 30],[ 8.71212121 16.28787879] ; [14.28787879 26.71212121],0
p5,1,0.087716,2.915804,[ 1 44] ; [11 94],[ 3.6 41.4] ; [ 8.4 96.6],0
a4,1,0.088226,2.906453,[12 33] ; [43 61],[16.61073826 28.38926174] ; [38.38926174 65.61073826],0
a1,1,0.108496,2.575995,[ 4 41] ; [  3 102],[ 2.1 42.9] ; [  4.9 100.1],0
d5,1,0.152258,2.049479,[24 21] ; [69 36],[27.9 17.1] ; [65.1 39.9],0
s6,1,0.172184,1.863822,[19 26] ; [55 46],[22.80821918 22.19178082] ; [51.19178082 49.80821918],0
n1,1,0.203201,1.619215,[ 5 17] ; [14 22],[ 7.20689655 14.79310345] ; [11.79310345 24.20689655],0
u1,1,0.266942,1.232394,[ 1 44] ; [ 7 98],[ 2.4 42.6] ; [ 5.6 99.4],0
d2,1,0.270129,1.21609,[17 28] ; [49 54],[20.06756757 24.93243243] ; [45.93243243 57.06756757],0
p11,1,0.309848,1.031322,[27 18] ; [72 33],[29.7 15.3] ; [69.3 35.7],0
s3,1,0.340394,0.908948,[18 27] ; [49 52],[20.65068493 24.34931507] ; [46.34931507 54.65068493],0
u2,1,0.38813,0.744792,[14 11] ; [18 22],[12.30769231 12.69230769] ; [19.69230769 20.30769231],0
d3,1,0.466985,0.529101,[20 25] ; [40 65],[18. 27.] ; [42. 63.],0
s4,1,0.471621,0.518175,[11 34] ; [20 84],[ 9.36241611 35.63758389] ; [21.63758389 82.36241611],0
n2,1,0.508314,0.437537,[16  7] ; [22 14],[14.81355932  8.18644068] ; [23.18644068 12.81355932],0
p4,1,0.525099,0.403867,[18 26] ; [48 55],[19.75510204 24.24489796] ; [46.24489796 56.75510204],0
b2,1,0.56766,0.326614,[ 6 16] ; [23 45],[ 7.08888889 14.91111111] ; [21.91111111 46.08888889],0
b3,1,0.56766,0.326614,[ 6 16] ; [23 45],[ 7.08888889 14.91111111] ; [21.91111111 46.08888889],0
d4,1,0.58748,0.294297,[26 18] ; [67 38],[27.46308725 16.53691275] ; [65.53691275 39.46308725],0
s2,1,0.625546,0.23815,[13 31] ; [35 69],[14.27027027 29.72972973] ; [33.72972973 70.27027027],0
s1,1,0.643934,0.213634,[ 3 42] ; [ 5 99],[ 2.41610738 42.58389262] ; [ 5.58389262 98.41610738],0
p6,1,0.647231,0.209409,[12 33] ; [31 71],[13.16326531 31.83673469] ; [29.83673469 72.16326531],0
p8,1,0.683442,0.166277,[17 28] ; [43 61],[18.12080537 26.87919463] ; [41.87919463 62.12080537],0
b5,1,0.691294,0.157688,[20 25] ; [43 62],[18.9 26.1] ; [44.1 60.9],0
a8,1,0.704605,0.143725,[ 3 39] ; [ 9 90],[ 3.57446809 38.42553191] ; [ 8.42553191 90.57446809],0
r2,1,0.714531,0.133793,[36  9] ; [85 18],[36.79054054  8.20945946] ; [84.20945946 18.79054054],0
v4,1,0.736645,0.113098,[35  9] ; [86 19],[35.73154362  8.26845638] ; [85.26845638 19.73154362],0
a6,1,0.745257,0.105559,[18 27] ; [45 60],[18.9 26.1] ; [44.1 60.9],0
b4,1,0.747033,0.104041,[24 21] ; [59 46],[24.9 20.1] ; [58.1 46.9],0
n3,1,0.752044,0.099822,[12 10] ; [20 14],[12.57142857  9.42857143] ; [19.42857143 14.57142857],0
p1,1,0.766499,0.088183,[ 4 41] ; [11 94],[ 4.5 40.5] ; [10.5 94.5],0
b1,1,0.775564,0.081284,[23 22] ; [51 54],[22.2 22.8] ; [51.8 53.2],0
v2,1,0.78661,0.073287,[13 30] ; [28 72],[12.32867133 30.67132867] ; [28.67132867 71.32867133],0
p7,1,0.830592,0.045771,[22 22] ; [54 50],[22.59459459 21.40540541] ; [53.40540541 50.59459459],0
r4,1,0.84586,0.037793,[31 14] ; [74 31],[31.5 13.5] ; [73.5 31.5],0
s5,1,0.86021,0.031014,[11 32] ; [27 73],[11.42657343 31.57342657] ; [26.57342657 73.42657343],0
r3,1,0.894977,0.017426,[36  9] ; [83 22],[35.7  9.3] ; [83.3 21.7],0
