Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.002088,9.470368,[ 55 101] ; [18  9],[62.2295082 93.7704918] ; [10.7704918 16.2295082],0
p6,1,0.130927,2.281479,[64 91] ; [ 7 20],[60.46703297 94.53296703] ; [10.53296703 16.46703297],0
p11,1,0.289912,1.120029,[124  32] ; [19  8],[121.90163934  34.09836066] ; [21.09836066  5.90163934],0
p8,1,0.605582,0.266658,[83 71] ; [16 11],[84.2320442 69.7679558] ; [14.7679558 12.2320442],0
