Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,48.581781,[23 61] ; [42  4],[42. 42.] ; [23. 23.],1
s6,1,1e-06,23.939745,[26 59] ; [34 11],[39.23076923 45.76923077] ; [20.76923077 24.23076923],1
s8,1,5e-06,21.025561,[10 75] ; [22 24],[20.76335878 64.23664122] ; [11.23664122 34.76335878],1
s7,1,6e-06,20.336134,[12 65] ; [24 20],[22.90909091 54.09090909] ; [13.09090909 30.90909091],1
s5,1,7e-05,15.813582,[ 9 75] ; [17 24],[17.472 66.528] ; [ 8.528 32.472],1
s4,1,0.00034,12.838754,[ 8 77] ; [16 30],[15.57251908 69.42748092] ; [ 8.42748092 37.57251908],1
r3,1,0.000561,11.900185,[59 26] ; [43  2],[66.69230769 18.30769231] ; [35.30769231  9.69230769],1
p10,1,0.00199,9.558476,[37 47] ; [32 12],[45.28125 38.71875] ; [23.71875 20.28125],0
v4,1,0.002179,9.392248,[58 25] ; [42  3],[64.84375 18.15625] ; [35.15625  9.84375],0
p6,1,0.010177,6.603592,[13 68] ; [16 28],[18.792 62.208] ; [10.208 33.792],0
u3,1,0.01154,6.380208,[15 17] ; [15  3],[19.2 12.8] ; [10.8  7.2],0
p9,1,0.013041,6.163532,[44 40] ; [33 11],[50.53125 33.46875] ; [26.46875 17.53125],0
n4,1,0.013055,6.161706,[47 38] ; [15 31],[40.22900763 44.77099237] ; [21.77099237 24.22900763],0
r2,1,0.031053,4.650026,[63 21] ; [40  4],[67.59375 16.40625] ; [35.40625  8.59375],0
n2,1,0.057585,3.605617,[20 16] ; [14  3],[23.09433962 12.90566038] ; [10.90566038  6.09433962],0
d3,1,0.075992,3.148593,[45 39] ; [32 14],[49.75384615 34.24615385] ; [27.24615385 18.75384615],0
p4,1,0.077673,3.112937,[27 57] ; [22 24],[31.66153846 52.33846154] ; [17.33846154 28.66153846],0
a4,1,0.11129,2.535803,[34 51] ; [12 34],[29.84732824 55.15267176] ; [16.15267176 29.84732824],0
v1,1,0.112492,2.518853,[27 57] ; [20 23],[31.08661417 52.91338583] ; [15.91338583 27.08661417],0
d4,1,0.125422,2.348272,[57 27] ; [37  9],[60.73846154 23.26153846] ; [33.26153846 12.73846154],0
p3,1,0.126383,2.336381,[22 62] ; [18 28],[25.84615385 58.15384615] ; [14.15384615 31.84615385],0
v2,1,0.14004,2.177517,[24 56] ; [19 25],[27.74193548 52.25806452] ; [15.25806452 28.74193548],0
p7,1,0.164641,1.931078,[38 44] ; [25 17],[41.66129032 40.33870968] ; [21.33870968 20.66129032],0
d1,1,0.171489,1.869875,[32 53] ; [23 23],[35.6870229 49.3129771] ; [19.3129771 26.6870229],0
r4,1,0.180144,1.796434,[49 36] ; [32 14],[52.55725191 32.44274809] ; [28.44274809 17.55725191],0
u2,1,0.264048,1.247406,[18 14] ; [13  5],[19.84 12.16] ; [11.16  6.84],0
d2,1,0.330247,0.94793,[37 48] ; [16 30],[34.38931298 50.61068702] ; [18.61068702 27.38931298],0
n3,1,0.349864,0.87395,[20 15] ; [12  5],[21.53846154 13.46153846] ; [10.46153846  6.53846154],0
a8,1,0.395417,0.72222,[ 7 73] ; [ 6 38],[ 8.38709677 71.61290323] ; [ 4.61290323 39.38709677],0
a2,1,0.398247,0.713612,[16 69] ; [ 6 40],[14.27480916 70.72519084] ; [ 7.72519084 38.27480916],0
a1,1,0.401114,0.704984,[ 7 78] ; [ 2 44],[ 5.83969466 79.16030534] ; [ 3.16030534 42.83969466],0
p11,1,0.456851,0.5536,[46 39] ; [28 18],[48.01526718 36.98473282] ; [25.98473282 20.01526718],0
p2,1,0.458425,0.549737,[53 31] ; [32 14],[54.92307692 29.07692308] ; [30.07692308 15.92307692],0
p5,1,0.463137,0.538302,[ 4 80] ; [ 1 45],[ 3.23076923 80.76923077] ; [ 1.76923077 44.23076923],0
a6,1,0.481007,0.496578,[52 33] ; [31 15],[53.85496183 31.14503817] ; [29.14503817 16.85496183],0
s1,1,0.497301,0.46069,[ 4 81] ; [ 1 43],[ 3.29457364 81.70542636] ; [ 1.70542636 42.29457364],0
p8,1,0.535724,0.383522,[26 58] ; [16 28],[27.5625 56.4375] ; [14.4375 29.5625],0
u1,1,0.543433,0.369213,[ 5 80] ; [ 4 42],[ 5.83969466 79.16030534] ; [ 3.16030534 42.83969466],0
b5,1,0.557375,0.344271,[51 34] ; [30 16],[52.55725191 32.44274809] ; [28.44274809 17.55725191],0
b2,1,0.575293,0.313906,[15 35] ; [ 7 22],[13.92405063 36.07594937] ; [ 8.07594937 20.92405063],0
b3,1,0.575293,0.313906,[15 35] ; [ 7 22],[13.92405063 36.07594937] ; [ 8.07594937 20.92405063],0
d5,1,0.581343,0.304068,[57 28] ; [33 13],[58.39694656 26.60305344] ; [31.60305344 14.39694656],0
b1,1,0.637065,0.222602,[48 37] ; [24 22],[46.71755725 38.28244275] ; [25.28244275 20.71755725],0
a7,1,0.648213,0.208161,[52 33] ; [30 16],[53.20610687 31.79389313] ; [28.79389313 17.20610687],0
p12,1,0.651225,0.204359,[ 1 83] ; [ 1 44],[ 1.30232558 82.69767442] ; [ 0.69767442 44.30232558],0
a5,1,0.652307,0.203004,[46 39] ; [23 23],[44.77099237 40.22900763] ; [24.22900763 21.77099237],0
r1,1,0.692808,0.156062,[54 31] ; [27 18],[52.96153846 32.03846154] ; [28.03846154 16.96153846],0
n5,1,0.742354,0.108069,[38 46] ; [19 26],[37.11627907 46.88372093] ; [19.88372093 25.11627907],0
n1,1,0.777464,0.079877,[15 21] ; [ 6 10],[14.53846154 21.46153846] ; [6.46153846 9.53846154],0
a3,1,0.802288,0.062693,[53 31] ; [28 18],[52.33846154 31.66153846] ; [28.66153846 17.33846154],0
p1,1,0.897226,0.016684,[ 5 79] ; [ 3 43],[ 5.16923077 78.83076923] ; [ 2.83076923 43.16923077],0
b4,1,0.964311,0.002002,[44 41] ; [24 22],[44.1221374 40.8778626] ; [23.8778626 22.1221374],0
