Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,57.983819,[ 39 198] ; [119 123],[ 78.17536534 158.82463466] ; [ 79.82463466 162.17536534],1
v1,1,0.0,39.963287,[ 75 163] ; [148  98],[109.65702479 128.34297521] ; [113.34297521 132.65702479],1
d1,1,8.5e-05,15.440736,[ 98 143] ; [146 104],[119.76374745 121.23625255] ; [124.23625255 125.76374745],1
r1,1,0.000252,13.397048,[161  79] ; [203  46],[178.65030675  61.34969325] ; [185.34969325  63.65030675],1
d3,1,0.000616,11.725883,[140  98] ; [183  66],[157.85215606  80.14784394] ; [165.14784394  83.85215606],1
p10,1,0.001417,10.18335,[159  78] ; [195  49],[174.42411642  62.57588358] ; [179.57588358  64.42411642],0
a5,1,0.001829,9.713592,[142  99] ; [180  69],[158.37142857  82.62857143] ; [163.62857143  85.37142857],0
p7,1,0.004811,7.949203,[120 114] ; [155  87],[135.18907563  98.81092437] ; [139.81092437 102.18907563],0
a3,1,0.006237,7.480631,[138 100] ; [174  75],[152.47638604  85.52361396] ; [159.52361396  89.47638604],0
p12,1,0.006592,7.380871,[  5 234] ; [ 18 227],[ 11.35743802 227.64256198] ; [ 11.64256198 233.35743802],0
p11,1,0.00852,6.920778,[168  73] ; [200  50],[180.62729124  60.37270876] ; [187.37270876  62.62729124],0
d5,1,0.009152,6.792999,[169  70] ; [202  48],[181.32719836  57.67280164] ; [189.67280164  60.32719836],0
d4,1,0.012305,6.266359,[177  63] ; [206  42],[188.36065574  51.63934426] ; [194.63934426  53.36065574],0
p9,1,0.012827,6.192848,[170  65] ; [199  44],[181.41213389  53.58786611] ; [187.58786611  55.41213389],0
p3,1,0.019309,5.473293,[ 89 150] ; [117 128],[101.7231405 137.2768595] ; [104.2768595 140.7231405],0
a2,1,0.021248,5.306328,[ 37 204] ; [ 59 191],[ 47.12016293 193.87983707] ; [ 48.87983707 201.12016293],0
p4,1,0.023092,5.161586,[112 127] ; [139 104],[124.45850622 114.54149378] ; [126.54149378 116.45850622],0
p8,1,0.03529,4.431075,[101 139] ; [125 117],[112.53112033 127.46887967] ; [113.46887967 128.53112033],0
s1,1,0.035604,4.415984,[ 12 226] ; [  4 242],[  7.8677686 230.1322314] ; [  8.1322314 237.8677686],0
r3,1,0.037444,4.330089,[218  22] ; [237  11],[223.7704918  16.2295082] ; [231.2295082  16.7704918],0
a7,1,0.05115,3.80337,[165  75] ; [190  58],[174.59016393  65.40983607] ; [180.40983607  67.59016393],0
a6,1,0.054006,3.712522,[153  87] ; [179  70],[162.94478528  77.05521472] ; [169.05521472  79.94478528],0
b1,1,0.086562,2.937176,[ 98 143] ; [ 83 167],[ 88.84114053 152.15885947] ; [ 92.15885947 157.84114053],0
u1,1,0.109889,2.555812,[ 25 216] ; [ 38 212],[ 30.92260692 210.07739308] ; [ 32.07739308 217.92260692],0
n1,1,0.117705,2.4476,[24 43] ; [12 41],[20.1 46.9] ; [15.9 37.1],0
r4,1,0.170518,1.878385,[205  36] ; [223  27],[210.07739308  30.92260692] ; [217.92260692  32.07739308],0
b5,1,0.213472,1.547725,[153  88] ; [145 105],[146.2688391  94.7311609] ; [151.7311609  98.2688391],0
a4,1,0.231589,1.431073,[ 90 149] ; [107 142],[ 96.48155738 142.51844262] ; [100.51844262 148.48155738],0
d2,1,0.252643,1.30863,[ 90 149] ; [106 142],[ 96.1889117 142.8110883] ; [ 99.8110883 148.1889117],0
n5,1,0.260186,1.267767,[159  80] ; [176  71],[164.74279835  74.25720165] ; [170.25720165  76.74279835],0
s4,1,0.265622,1.239215,[ 41 195] ; [ 34 214],[ 36.57024793 199.42975207] ; [ 38.42975207 209.57024793],0
n4,1,0.304999,1.05221,[164  77] ; [180  69],[169.19183673  71.80816327] ; [174.80816327  74.19183673],0
s3,1,0.315573,1.007206,[101 137] ; [ 93 152],[ 95.5942029 142.4057971] ; [ 98.4057971 146.5942029],0
s6,1,0.321539,0.982675,[117 119] ; [132 112],[122.425 113.575] ; [126.575 117.425],0
u3,1,0.346928,0.884664,[59 42] ; [39 37],[55.92090395 45.07909605] ; [42.07909605 33.92090395],0
n3,1,0.348978,0.877171,[45 21] ; [41 13],[47.3 18.7] ; [38.7 15.3],0
