Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,1e-06,23.205157,[ 1 28] ; [27 19],[10.82666667 18.17333333] ; [17.17333333 28.82666667],1
n4,1,0.000387,12.593703,[ 8 21] ; [32 14],[15.46666667 13.53333333] ; [24.53333333 21.46666667],1
a3,1,0.00056,11.904524,[11 18] ; [35 10],[18.02702703 10.97297297] ; [27.97297297 17.02702703],1
d5,1,0.002117,9.445334,[17 12] ; [41  5],[22.42666667  6.57333333] ; [35.57333333 10.42666667],0
d2,1,0.002484,9.152114,[ 5 24] ; [24 22],[11.21333333 17.78666667] ; [17.78666667 28.21333333],0
a6,1,0.006023,7.543494,[13 16] ; [35 11],[18.56 10.44] ; [29.44 16.56],0
r3,1,0.033274,4.531642,[23  6] ; [23 19],[18.78873239 10.21126761] ; [27.21126761 14.78873239],0
n5,1,0.038233,4.294642,[11 18] ; [27 16],[15.30555556 13.69444444] ; [22.69444444 20.30555556],0
d1,1,0.041102,4.171816,[10 19] ; [27 19],[14.30666667 14.69333333] ; [22.69333333 23.30666667],0
p4,1,0.043436,4.078338,[ 6 23] ; [20 26],[10.05333333 18.94666667] ; [15.94666667 30.05333333],0
u1,1,0.045548,3.998241,[ 1 28] ; [ 9 37],[ 3.86666667 25.13333333] ; [ 6.13333333 39.86666667],0
p2,1,0.051088,3.805397,[21  7] ; [24 22],[17.02702703 10.97297297] ; [27.97297297 18.02702703],0
v4,1,0.082996,3.005226,[22  6] ; [24 17],[18.66666667  9.33333333] ; [27.33333333 13.66666667],0
r1,1,0.10627,2.608827,[ 6 23] ; [17 27],[ 9.1369863 19.8630137] ; [13.8630137 30.1369863],0
a1,1,0.107848,2.585473,[ 1 28] ; [ 7 39],[ 3.09333333 25.90666667] ; [ 4.90666667 41.09333333],0
s4,1,0.12646,2.335435,[ 8 21] ; [ 6 39],[ 5.48648649 23.51351351] ; [ 8.51351351 36.48648649],0
n1,1,0.132725,2.260334,[ 2 11] ; [ 8 12],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
v2,1,0.135064,2.233315,[10 19] ; [23 21],[13.10958904 15.89041096] ; [19.89041096 24.10958904],0
u2,1,0.147758,2.095249,[10  7] ; [3 7],[8.18518519 8.81481481] ; [4.81481481 5.18518519],0
p1,1,0.176919,1.823319,[ 1 27] ; [ 6 40],[ 2.64864865 25.35135135] ; [ 4.35135135 41.64864865],0
b1,1,0.187376,1.738133,[10 19] ; [23 23],[12.76 16.24] ; [20.24 25.76],0
s2,1,0.26454,1.244844,[11 18] ; [11 32],[ 8.86111111 20.13888889] ; [13.13888889 29.86111111],0
p5,1,0.28774,1.130164,[ 2 26] ; [ 7 38],[ 3.45205479 24.54794521] ; [ 5.54794521 39.45205479],0
v1,1,0.357492,0.846685,[ 8 21] ; [16 26],[ 9.8028169 19.1971831] ; [14.1971831 27.8028169],0
p6,1,0.386531,0.749827,[ 5 23] ; [12 33],[ 6.52054795 21.47945205] ; [10.47945205 34.52054795],0
p3,1,0.398195,0.713769,[ 7 22] ; [15 30],[ 8.62162162 20.37837838] ; [13.37837838 31.62162162],0
p10,1,0.40976,0.679496,[18  9] ; [25 19],[16.35211268 10.64788732] ; [26.64788732 17.35211268],0
s3,1,0.488062,0.480796,[13 16] ; [15 26],[11.6 17.4] ; [16.4 24.6],0
s5,1,0.492923,0.47014,[ 4 23] ; [ 9 33],[ 5.08695652 21.91304348] ; [ 7.91304348 34.08695652],0
s8,1,0.506447,0.441402,[ 7 22] ; [ 8 37],[ 5.87837838 23.12162162] ; [ 9.12162162 35.87837838],0
n3,1,0.515406,0.423077,[8 5] ; [10 10],[7.09090909 5.90909091] ; [10.90909091  9.09090909],0
s6,1,0.517999,0.417875,[13 16] ; [16 27],[11.68055556 17.31944444] ; [17.31944444 25.68055556],0
