Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,50.250934,[85  3] ; [ 4 10],[76.78431373 11.21568627] ; [12.21568627  1.78431373],1
v4,1,0.0,41.12397,[86  2] ; [6 8],[79.37254902  8.62745098] ; [12.62745098  1.37254902],1
r1,1,0.0,29.846985,[79  9] ; [ 4 10],[71.60784314 16.39215686] ; [11.39215686  2.60784314],1
r3,1,1e-06,25.097317,[83  5] ; [6 7],[77.54455446 10.45544554] ; [11.45544554  1.54455446],1
a6,1,0.000201,13.826227,[70 18] ; [ 5 10],[64.0776699 23.9223301] ; [10.9223301  4.0776699],1
v2,1,0.000968,10.88732,[47 39] ; [ 1 13],[41.28 44.72] ; [6.72 7.28],1
a7,1,0.004271,8.164642,[65 23] ; [5 9],[60.39215686 27.60784314] ; [9.60784314 4.39215686],0
s6,1,0.010057,6.624747,[53 32] ; [ 4 11],[48.45 36.55] ; [8.55 6.45],0
p11,1,0.020564,5.36339,[71 17] ; [8 7],[67.49514563 20.50485437] ; [11.50485437  3.49514563],0
p3,1,0.023002,5.168391,[45 42] ; [ 3 12],[40.94117647 46.05882353] ; [7.05882353 7.94117647],0
s5,1,0.027091,4.885002,[30 55] ; [ 1 14],[26.35 58.65] ; [ 4.65 10.35],0
v3,1,0.028416,4.802649,[39 47] ; [ 2 12],[35.26 50.74] ; [5.74 8.26],0
p9,1,0.030377,4.68781,[71 15] ; [8 6],[67.94 18.06] ; [11.06  2.94],0
b4,1,0.034234,4.482962,[55 33] ; [ 5 10],[51.26213592 36.73786408] ; [8.73786408 6.26213592],0
s3,1,0.061862,3.486749,[51 35] ; [ 5 10],[47.68316832 38.31683168] ; [8.31683168 6.68316832],0
d3,1,0.066638,3.36396,[46 42] ; [ 4 11],[42.7184466 45.2815534] ; [7.2815534 7.7184466],0
p2,1,0.070964,3.260578,[66 21] ; [8 7],[63.11764706 23.88235294] ; [10.88235294  4.11764706],0
p8,1,0.082789,3.009281,[52 34] ; [5 9],[49.02 36.98] ; [7.98 6.02],0
p6,1,0.088208,2.906783,[31 56] ; [ 2 13],[28.14705882 58.85294118] ; [ 4.85294118 10.14705882],0
s1,1,0.088575,2.900082,[ 3 82] ; [ 2 12],[ 4.29292929 80.70707071] ; [ 0.70707071 13.29292929],0
n6,1,0.092603,2.828538,[72 16] ; [8 5],[69.7029703 18.2970297] ; [10.2970297  2.7029703],0
p10,1,0.115539,2.47678,[67 18] ; [9 6],[64.6 20.4] ; [11.4  3.6],0
s8,1,0.170406,1.879371,[33 53] ; [ 3 12],[30.65346535 55.34653465] ; [5.34653465 9.65346535],0
a1,1,0.17922,1.804082,[ 4 84] ; [ 2 13],[ 5.12621359 82.87378641] ; [ 0.87378641 14.12621359],0
b5,1,0.196047,1.671581,[51 37] ; [6 9],[48.69902913 39.30097087] ; [8.30097087 6.69902913],0
n4,1,0.197658,1.659599,[65 23] ; [8 6],[62.98039216 25.01960784] ; [10.01960784  3.98039216],0
s2,1,0.250019,1.323195,[42 43] ; [ 5 10],[39.95 45.05] ; [7.05 7.95],0
p4,1,0.257192,1.283809,[48 38] ; [6 9],[45.98019802 40.01980198] ; [8.01980198 6.98019802],0
n5,1,0.265889,1.237835,[63 25] ; [12  2],[64.70588235 23.29411765] ; [10.29411765  3.70588235],0
v1,1,0.266142,1.236526,[45 42] ; [5 9],[43.06930693 43.93069307] ; [6.93069307 7.06930693],0
p1,1,0.298305,1.081756,[15 72] ; [ 1 14],[13.64705882 73.35294118] ; [ 2.35294118 12.64705882],0
n2,1,0.315286,1.008403,[15  2] ; [5 2],[14.16666667  2.83333333] ; [5.83333333 1.16666667],0
d4,1,0.336821,0.922495,[47 41] ; [6 9],[45.2815534 42.7184466] ; [7.7184466 7.2815534],0
a3,1,0.346873,0.884862,[58 30] ; [11  3],[59.52941176 28.47058824] ; [9.47058824 4.52941176],0
n1,1,0.381905,0.76456,[ 6 10] ; [4 3],[6.95652174 9.04347826] ; [3.04347826 3.95652174],0
p7,1,0.391225,0.735131,[48 39] ; [6 8],[46.51485149 40.48514851] ; [7.48514851 6.51485149],0
a2,1,0.397133,0.71699,[13 75] ; [ 1 14],[11.96116505 76.03883495] ; [ 2.03883495 12.96116505],0
p5,1,0.433124,0.614432,[13 74] ; [ 1 13],[12.05940594 74.94059406] ; [ 1.94059406 12.05940594],0
s7,1,0.507431,0.43936,[43 39] ; [6 8],[41.85416667 40.14583333] ; [7.14583333 6.85416667],0
n3,1,0.654992,0.199664,[12  3] ; [5 2],[11.59090909  3.40909091] ; [5.40909091 1.59090909],0
a4,1,0.734104,0.115377,[27 60] ; [ 4 11],[26.44117647 60.55882353] ; [ 4.55882353 10.44117647],0
d2,1,0.753998,0.098202,[27 61] ; [ 4 11],[26.48543689 61.51456311] ; [ 4.51456311 10.48543689],0
s4,1,0.795763,0.066995,[15 72] ; [ 3 12],[15.35294118 71.64705882] ; [ 2.64705882 12.35294118],0
u3,1,0.800854,0.063626,[17 13] ; [2 2],[16.76470588 13.23529412] ; [2.23529412 1.76470588],0
b1,1,0.811362,0.056963,[44 44] ; [8 7],[44.42718447 43.57281553] ; [7.57281553 7.42718447],0
a8,1,0.847734,0.036868,[11 71] ; [ 2 11],[11.22105263 70.77894737] ; [ 1.77894737 11.22105263],0
u1,1,0.880349,0.022658,[ 5 83] ; [ 1 14],[ 5.12621359 82.87378641] ; [ 0.87378641 14.12621359],0
b2,1,1.0,0.0,[26 26] ; [5 5],[26. 26.] ; [5. 5.],0
