Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,30.616053,[97  9] ; [13 15],[87.01492537 18.98507463] ; [22.98507463  5.01492537],1
a4,1,5e-06,20.893033,[64 42] ; [ 3 24],[53.39849624 52.60150376] ; [13.60150376 13.39849624],1
d2,1,6.7e-05,15.897988,[60 46] ; [ 4 24],[50.62686567 55.37313433] ; [13.37313433 14.62686567],1
d3,1,0.00044,12.356129,[81 24] ; [12 16],[73.42105263 31.57894737] ; [19.57894737  8.42105263],1
a3,1,0.001582,9.980155,[78 27] ; [12 16],[71.05263158 33.94736842] ; [18.94736842  9.05263158],0
a5,1,0.002042,9.511151,[81 25] ; [13 15],[74.35820896 31.64179104] ; [19.64179104  8.35820896],0
v4,1,0.006888,7.301861,[105   1] ; [25  3],[102.8358209   3.1641791] ; [27.1641791  0.8358209],0
r1,1,0.007121,7.242278,[89 17] ; [17 11],[83.85074627 22.14925373] ; [22.14925373  5.85074627],0
v1,1,0.007469,7.156592,[48 57] ; [ 5 23],[41.84210526 63.15789474] ; [11.15789474 16.84210526],0
p4,1,0.010801,6.497849,[88 18] ; [17 11],[83.05970149 22.94029851] ; [21.94029851  6.05970149],0
p10,1,0.011081,6.45236,[89 16] ; [17 10],[84.31818182 20.68181818] ; [21.68181818  5.31818182],0
a2,1,0.01124,6.426932,[27 79] ; [ 1 27],[22.14925373 83.85074627] ; [ 5.85074627 22.14925373],0
s6,1,0.017867,5.609124,[79 22] ; [15 12],[74.171875 26.828125] ; [19.828125  7.171875],0
b5,1,0.017977,5.598423,[53 53] ; [21  7],[58.53731343 47.46268657] ; [15.46268657 12.53731343],0
n4,1,0.020963,5.3299,[89 17] ; [18 10],[84.64179104 21.35820896] ; [22.35820896  5.64179104],0
p9,1,0.022705,5.19094,[94 12] ; [20  8],[90.17910448 15.82089552] ; [23.82089552  4.17910448],0
n5,1,0.024414,5.064964,[85 20] ; [17 11],[80.52631579 24.47368421] ; [21.47368421  6.52631579],0
r2,1,0.031693,4.615051,[101   2] ; [25  3],[99.06870229  3.93129771] ; [26.93129771  1.06870229],0
s5,1,0.058265,3.586082,[50 52] ; [ 7 18],[45.77952756 56.22047244] ; [11.22047244 13.77952756],0
r4,1,0.063625,3.440272,[99  7] ; [23  5],[96.50746269  9.49253731] ; [25.49253731  2.50746269],0
p2,1,0.063625,3.440272,[99  7] ; [23  5],[96.50746269  9.49253731] ; [25.49253731  2.50746269],0
n6,1,0.064961,3.405976,[94 12] ; [21  7],[90.97014925 15.02985075] ; [24.02985075  3.97014925],0
r3,1,0.075098,3.167913,[102   3] ; [25  3],[100.26315789   4.73684211] ; [26.73684211  1.26315789],0
s8,1,0.080747,3.049796,[57 48] ; [10 18],[52.89473684 52.10526316] ; [14.10526316 13.89473684],0
u3,1,0.140917,2.167917,[18  9] ; [7 9],[15.69767442 11.30232558] ; [9.30232558 6.69767442],0
p3,1,0.2393,1.384713,[66 40] ; [14 14],[63.28358209 42.71641791] ; [16.71641791 11.28358209],0
p1,1,0.277575,1.178924,[14 92] ; [ 6 22],[15.82089552 90.17910448] ; [ 4.17910448 23.82089552],0
a8,1,0.325078,0.968408,[11 86] ; [ 5 22],[12.51612903 84.48387097] ; [ 3.48387097 23.51612903],0
p7,1,0.397071,0.717179,[88 16] ; [21  6],[86.53435115 17.46564885] ; [22.46564885  4.53435115],0
p11,1,0.399756,0.709059,[87 19] ; [21  7],[85.43283582 20.56716418] ; [22.56716418  5.43283582],0
n2,1,0.418741,0.653846,[20  5] ; [6 3],[19.11764706  5.88235294] ; [6.88235294 2.11764706],0
s1,1,0.423434,0.640766,[  4 101] ; [ 2 25],[  4.77272727 100.22727273] ; [ 1.22727273 25.77272727],0
s2,1,0.474298,0.511945,[61 45] ; [14 14],[59.32835821 46.67164179] ; [15.67164179 12.32835821],0
b4,1,0.501184,0.452429,[53 53] ; [12 16],[51.41791045 54.58208955] ; [13.58208955 14.41791045],0
b1,1,0.531966,0.390634,[46 60] ; [14 14],[47.46268657 58.53731343] ; [12.53731343 15.46268657],0
b3,1,0.565456,0.330344,[33 40] ; [8 7],[34.01136364 38.98863636] ; [6.98863636 8.01136364],0
b2,1,0.565456,0.330344,[33 40] ; [8 7],[34.01136364 38.98863636] ; [6.98863636 8.01136364],0
s3,1,0.584894,0.29839,[65 41] ; [15 12],[63.7593985 42.2406015] ; [16.2406015 10.7593985],0
a1,1,0.607881,0.263272,[  5 101] ; [ 2 26],[  5.53731343 100.46268657] ; [ 1.46268657 26.53731343],0
s7,1,0.618288,0.248281,[60 42] ; [15 13],[58.84615385 43.15384615] ; [16.15384615 11.84615385],0
u2,1,0.647141,0.209524,[16 12] ; [8 8],[15.27272727 12.72727273] ; [8.72727273 7.27272727],0
p5,1,0.672061,0.179201,[19 87] ; [ 6 22],[19.7761194 86.2238806] ; [ 5.2238806 22.7761194],0
a7,1,0.788236,0.072147,[71 35] ; [18 10],[70.40298507 35.59701493] ; [18.59701493  9.40298507],0
v3,1,0.816097,0.054088,[21 85] ; [ 5 23],[20.56716418 85.43283582] ; [ 5.43283582 22.56716418],0
n3,1,0.824624,0.049107,[15  9] ; [6 3],[15.27272727  8.72727273] ; [5.72727273 3.27272727],0
s4,1,0.853903,0.033908,[27 74] ; [ 7 21],[26.62015504 74.37984496] ; [ 7.37984496 20.62015504],0
a6,1,0.897675,0.016538,[62 44] ; [16 12],[61.70149254 44.29850746] ; [16.29850746 11.70149254],0
p12,1,0.932338,0.007209,[ 8 97] ; [ 2 26],[ 7.89473684 97.10526316] ; [ 2.10526316 25.89473684],0
