Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.00118,10.520752,[ 4 12] ; [36 15],[9.55223881 6.44776119] ; [30.44776119 20.55223881],0
a3,1,0.002782,8.944941,[7 8] ; [43  8],[11.36363636  3.63636364] ; [38.63636364 12.36363636],0
s8,1,0.003337,8.613128,[ 4 12] ; [34 17],[9.07462687 6.92537313] ; [28.92537313 22.07462687],0
n5,1,0.003448,8.553922,[ 5 11] ; [36 14],[9.93939394 6.06060606] ; [31.06060606 18.93939394],0
n4,1,0.004463,8.085,[ 6 10] ; [38 12],[10.66666667  5.33333333] ; [33.33333333 16.66666667],0
r4,1,0.00633,7.453896,[11  5] ; [48  3],[14.08955224  1.91044776] ; [44.91044776  6.08955224],0
a7,1,0.013832,6.059406,[7 9] ; [39 12],[10.98507463  5.01492537] ; [35.01492537 15.98507463],0
d1,1,0.025801,4.969296,[ 6 10] ; [35 16],[9.79104478 6.20895522] ; [31.20895522 19.79104478],0
b4,1,0.035053,4.442586,[14  2] ; [30 21],[10.50746269  5.49253731] ; [33.49253731 17.50746269],0
a2,1,0.043923,4.059508,[ 1 15] ; [16 35],[ 4.05970149 11.94029851] ; [12.94029851 38.05970149],0
p10,1,0.065094,3.402588,[9 7] ; [39 10],[11.81538462  4.18461538] ; [36.18461538 12.81538462],0
v2,1,0.102233,2.670354,[ 6 10] ; [31 20],[8.8358209 7.1641791] ; [28.1641791 22.8358209],0
d2,1,0.175162,1.838197,[8 8] ; [35 16],[10.26865672  5.73134328] ; [32.73134328 18.26865672],0
p6,1,0.175801,1.832769,[ 4 12] ; [22 28],[6.3030303 9.6969697] ; [19.6969697 30.3030303],0
s7,1,0.178986,1.80602,[7 7] ; [32 14],[9.1 4.9] ; [29.9 16.1],0
a5,1,0.201358,1.632497,[10  6] ; [40 11],[11.94029851  4.05970149] ; [38.05970149 12.94029851],0
u1,1,0.221031,1.497663,[ 2 14] ; [14 37],[ 3.82089552 12.17910448] ; [12.17910448 38.82089552],0
s3,1,0.229115,1.446349,[8 8] ; [34 17],[10.02985075  5.97014925] ; [31.97014925 19.02985075],0
n3,1,0.244551,1.354167,[3 3] ; [15  5],[4.15384615 1.84615385] ; [13.84615385  6.15384615],0
v3,1,0.251129,1.317014,[ 4 11] ; [22 29],[5.90909091 9.09090909] ; [20.09090909 30.90909091],0
s6,1,0.287512,1.131237,[12  3] ; [46  5],[13.18181818  1.81818182] ; [44.81818182  6.18181818],0
p9,1,0.307151,1.042889,[13  2] ; [37 13],[11.53846154  3.46153846] ; [38.46153846 11.53846154],0
n2,1,0.317618,0.99873,[4 2] ; [17  3],[4.84615385 1.15384615] ; [16.15384615  3.84615385],0
s4,1,0.362953,0.82765,[7 9] ; [16 35],[ 5.49253731 10.50746269] ; [17.50746269 33.49253731],0
n6,1,0.371488,0.798682,[11  5] ; [39 10],[12.30769231  3.69230769] ; [37.69230769 11.30769231],0
v4,1,0.379493,0.772343,[14  2] ; [48  3],[14.80597015  1.19402985] ; [47.19402985  3.80597015],0
s1,1,0.388039,0.745078,[ 1 15] ; [ 1 49],[ 0.48484848 15.51515152] ; [ 1.51515152 48.48484848],0
p7,1,0.3928,0.730258,[7 9] ; [28 22],[8.48484848 7.51515152] ; [26.51515152 23.48484848],0
n1,1,0.409454,0.680387,[2 4] ; [10  9],[2.88 3.12] ; [9.12 9.88],0
d3,1,0.428096,0.627984,[11  5] ; [40 11],[12.17910448  3.82089552] ; [38.82089552 12.17910448],0
d5,1,0.474684,0.511051,[13  3] ; [45  6],[13.85074627  2.14925373] ; [44.14925373  6.85074627],0
