Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,47.922754,[109   9] ; [ 8 16],[97.22535211 20.77464789] ; [19.77464789  4.22535211],1
p11,1,0.000349,12.78602,[105  14] ; [14 10],[99.02797203 19.97202797] ; [19.97202797  4.02797203],1
a4,1,0.005135,7.831271,[51 68] ; [ 3 21],[44.93706294 74.06293706] ; [ 9.06293706 14.93706294],0
p2,1,0.012702,6.210133,[106  12] ; [17  7],[102.21126761  15.78873239] ; [20.78873239  3.21126761],0
n5,1,0.014999,5.91662,[89 30] ; [12 12],[84.04895105 34.95104895] ; [16.95104895  7.04895105],0
r4,1,0.017395,5.65609,[103  16] ; [16  8],[99.02797203 19.97202797] ; [19.97202797  4.02797203],0
v1,1,0.018483,5.549794,[65 52] ; [ 7 17],[59.74468085 57.25531915] ; [12.25531915 11.74468085],0
v4,1,0.027067,4.886559,[115   3] ; [21  3],[113.01408451   4.98591549] ; [22.98591549  1.01408451],0
b1,1,0.028267,4.81173,[41 78] ; [14 10],[45.76923077 73.23076923] ; [ 9.23076923 14.76923077],0
d4,1,0.031768,4.610946,[94 25] ; [14 10],[89.87412587 29.12587413] ; [18.12587413  5.87412587],0
p4,1,0.045961,3.983006,[78 41] ; [10 13],[73.74647887 45.25352113] ; [14.25352113  8.74647887],0
r3,1,0.04598,3.982342,[110   9] ; [19  5],[107.34965035  11.65034965] ; [21.65034965  2.34965035],0
p3,1,0.058008,3.59344,[72 47] ; [ 9 14],[67.88028169 51.11971831] ; [13.11971831  9.88028169],0
d5,1,0.066003,3.379727,[95 24] ; [15  9],[91.53846154 27.46153846] ; [18.46153846  5.53846154],0
a3,1,0.074006,3.191862,[77 41] ; [11 13],[73.12676056 44.87323944] ; [14.87323944  9.12676056],0
s8,1,0.101002,2.689649,[34 85] ; [ 3 21],[30.79020979 88.20979021] ; [ 6.20979021 17.79020979],0
b2,1,0.131724,2.272067,[29 45] ; [ 2 10],[26.6744186 47.3255814] ; [4.3255814 7.6744186],0
