Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,2.9e-05,17.511488,[ 2 48] ; [13 19],[ 9.14634146 40.85365854] ; [ 5.85365854 26.14634146],1
s7,1,4.4e-05,16.705471,[14 34] ; [23  7],[22.76923077 25.23076923] ; [14.23076923 15.76923077],1
a2,1,0.000114,14.895308,[ 3 47] ; [13 19],[ 9.75609756 40.24390244] ; [ 6.24390244 25.75609756],1
d2,1,0.000582,11.832132,[15 35] ; [22 10],[22.56097561 27.43902439] ; [14.43902439 17.56097561],1
d5,1,0.001093,10.663721,[30 19] ; [30  2],[36.2962963 12.7037037] ; [23.7037037  8.2962963],0
s2,1,0.00171,9.837249,[26 23] ; [27  4],[32.4625 16.5375] ; [20.5375 10.4625],0
p4,1,0.002509,9.133903,[13 37] ; [19 13],[19.51219512 30.48780488] ; [12.48780488 19.51219512],0
d1,1,0.003802,8.376202,[18 32] ; [22 10],[24.3902439 25.6097561] ; [15.6097561 16.3902439],0
r4,1,0.007244,7.211392,[37 13] ; [31  1],[41.46341463  8.53658537] ; [26.53658537  5.46341463],0
s5,1,0.007491,7.151225,[16 31] ; [19 10],[21.64473684 25.35526316] ; [13.35526316 15.64473684],0
s3,1,0.012896,6.183255,[28 21] ; [26  5],[33.075 15.925] ; [20.925 10.075],0
s6,1,0.01361,6.088022,[33 17] ; [28  3],[37.65432099 12.34567901] ; [23.34567901  7.65432099],0
p9,1,0.018642,5.534771,[33 16] ; [28  3],[37.3625 11.6375] ; [23.6375  7.3625],0
r1,1,0.019343,5.470263,[30 20] ; [27  5],[34.75609756 15.24390244] ; [22.24390244  9.75609756],0
v1,1,0.022091,5.238586,[14 36] ; [17 15],[18.90243902 31.09756098] ; [12.09756098 19.90243902],0
p6,1,0.031898,4.603958,[ 6 44] ; [10 22],[ 9.75609756 40.24390244] ; [ 6.24390244 25.75609756],0
r3,1,0.044646,4.031951,[41  9] ; [31  1],[43.90243902  6.09756098] ; [28.09756098  3.90243902],0
p10,1,0.053057,3.742116,[30 20] ; [25  6],[33.95061728 16.04938272] ; [21.04938272  9.95061728],0
p1,1,0.066103,3.377229,[ 2 48] ; [ 5 27],[ 4.26829268 45.73170732] ; [ 2.73170732 29.26829268],0
a3,1,0.066963,3.355943,[33 17] ; [27  5],[36.58536585 13.41463415] ; [23.41463415  8.58536585],0
a4,1,0.071476,3.248804,[18 32] ; [18 14],[21.95121951 28.04878049] ; [14.04878049 17.95121951],0
p7,1,0.079259,3.080026,[15 34] ; [16 16],[18.75308642 30.24691358] ; [12.24691358 19.75308642],0
a6,1,0.105523,2.620028,[27 23] ; [23  9],[30.48780488 19.51219512] ; [19.51219512 12.48780488],0
v2,1,0.10797,2.583679,[19 29] ; [18 13],[22.48101266 25.51898734] ; [14.51898734 16.48101266],0
n3,1,0.124178,2.363812,[14  8] ; [9 1],[15.8125  6.1875] ; [7.1875 2.8125],0
a5,1,0.125847,2.342998,[31 19] ; [25  7],[34.14634146 15.85365854] ; [21.85365854 10.14634146],0
n4,1,0.223679,1.480611,[26 24] ; [21 11],[28.65853659 21.34146341] ; [18.34146341 13.65853659],0
d3,1,0.292952,1.106004,[33 16] ; [25  7],[35.08641975 13.91358025] ; [22.91358025  9.08641975],0
b5,1,0.296398,1.09033,[32 18] ; [24  8],[34.14634146 15.85365854] ; [21.85365854 10.14634146],0
d4,1,0.341363,0.905306,[36 14] ; [26  6],[37.80487805 12.19512195] ; [24.19512195  7.80487805],0
a7,1,0.355844,0.852507,[32 17] ; [24  8],[33.87654321 15.12345679] ; [22.12345679  9.87654321],0
u3,1,0.386876,0.748739,[10  7] ; [4 1],[10.81818182  6.18181818] ; [3.18181818 1.81818182],0
u2,1,0.457438,0.552157,[ 7 10] ; [3 2],[7.72727273 9.27272727] ; [2.27272727 2.72727273],0
p3,1,0.480835,0.49697,[15 35] ; [12 20],[16.46341463 33.53658537] ; [10.53658537 21.46341463],0
b1,1,0.480835,0.49697,[15 35] ; [12 20],[16.46341463 33.53658537] ; [10.53658537 21.46341463],0
v3,1,0.598161,0.277778,[11 37] ; [ 9 23],[12. 36.] ; [ 8. 24.],0
b2,1,0.693527,0.155294,[ 6 18] ; [ 4 16],[ 5.45454545 18.54545455] ; [ 4.54545455 15.45454545],0
b3,1,0.693527,0.155294,[ 6 18] ; [ 4 16],[ 5.45454545 18.54545455] ; [ 4.54545455 15.45454545],0
a8,1,0.726803,0.122068,[ 1 46] ; [ 1 28],[ 1.23684211 45.76315789] ; [ 0.76315789 28.23684211],0
p12,1,0.729686,0.1194,[ 1 49] ; [ 1 30],[ 1.2345679 48.7654321] ; [ 0.7654321 30.2345679],0
p2,1,0.812111,0.056503,[31 19] ; [19 13],[30.48780488 19.51219512] ; [19.51219512 12.48780488],0
n6,1,0.823945,0.049495,[38 12] ; [25  7],[38.41463415 11.58536585] ; [24.58536585  7.41463415],0
n5,1,0.841692,0.039892,[27 23] ; [18 14],[27.43902439 22.56097561] ; [17.56097561 14.43902439],0
n1,1,0.873631,0.025296,[ 6 16] ; [3 7],[ 6.1875 15.8125] ; [2.8125 7.1875],0
n2,1,0.918081,0.010579,[15  7] ; [7 3],[15.125  6.875] ; [6.875 3.125],0
b4,1,0.955105,0.003169,[30 20] ; [19 13],[29.87804878 20.12195122] ; [19.12195122 12.87804878],0
p11,1,0.982247,0.000495,[28 22] ; [18 14],[28.04878049 21.95121951] ; [17.95121951 14.04878049],0
