Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-05,16.447749,[103  26] ; [30 29],[91.2606383 37.7393617] ; [41.7393617 17.2606383],1
r3,1,0.000115,14.865512,[118  10] ; [41 17],[109.41935484  18.58064516] ; [49.58064516  8.41935484],1
p11,1,0.001007,10.814496,[95 34] ; [29 30],[85.08510638 43.91489362] ; [38.91489362 20.08510638],0
n4,1,0.002586,9.078692,[78 50] ; [22 37],[68.44919786 59.55080214] ; [31.55080214 27.44919786],0
v3,1,0.003176,8.703269,[42 85] ; [ 7 50],[33.82065217 93.17934783] ; [15.17934783 41.82065217],0
v4,1,0.004632,8.01783,[115  13] ; [42 15],[108.62702703  19.37297297] ; [48.37297297  8.62702703],0
s6,1,0.013958,6.043456,[68 58] ; [20 38],[60.26086957 65.73913043] ; [27.73913043 30.26086957],0
b1,1,0.049877,3.845583,[42 87] ; [28 31],[48.03191489 80.96808511] ; [21.96808511 37.03191489],0
n5,1,0.054266,3.704488,[81 47] ; [28 30],[75.01075269 52.98924731] ; [33.98924731 24.01075269],0
u1,1,0.057411,3.610655,[  1 128] ; [ 3 56],[  2.74468085 126.25531915] ; [ 1.25531915 57.74468085],0
a8,1,0.058913,3.567731,[ 18 101] ; [ 3 54],[ 14.19886364 104.80113636] ; [ 6.80113636 50.19886364],0
p10,1,0.072962,3.215084,[85 41] ; [30 26],[79.61538462 46.38461538] ; [35.38461538 20.61538462],0
u2,1,0.080685,3.051058,[31 35] ; [24 13],[35.24271845 30.75728155] ; [19.75728155 17.24271845],0
r2,1,0.084258,2.980801,[112  16] ; [45 13],[108.04301075  19.95698925] ; [48.95698925  9.04301075],0
p9,1,0.103507,2.650666,[89 36] ; [33 23],[84.25414365 40.74585635] ; [37.74585635 18.25414365],0
s8,1,0.117044,2.456433,[38 91] ; [11 48],[33.62234043 95.37765957] ; [15.37765957 43.62234043],0
a3,1,0.141392,2.162745,[62 65] ; [22 37],[57.35483871 69.64516129] ; [26.64516129 32.35483871],0
p2,1,0.17012,1.881889,[91 37] ; [36 23],[86.93048128 41.06951872] ; [40.06951872 18.93048128],0
n1,1,0.23914,1.385659,[11 28] ; [11 15],[13.2 25.8] ; [ 8.8 17.2],0
v2,1,0.259658,1.270578,[54 68] ; [19 35],[50.60227273 71.39772727] ; [22.39772727 31.60227273],0
p4,1,0.270366,1.214888,[36 91] ; [12 46],[32.95135135 94.04864865] ; [15.04864865 42.95135135],0
s2,1,0.281377,1.160428,[54 74] ; [20 39],[50.65240642 77.34759358] ; [23.34759358 35.65240642],0
p5,1,0.31232,1.02084,[  6 121] ; [ 1 58],[  4.77956989 122.22043011] ; [ 2.22043011 56.77956989],0
s5,1,0.315675,1.006781,[28 98] ; [ 9 48],[ 25.47540984 100.52459016] ; [11.52459016 45.47540984],0
a1,1,0.317906,0.997544,[  3 126] ; [ 3 56],[  4.11702128 124.88297872] ; [ 1.88297872 57.11702128],0
a6,1,0.333995,0.933346,[58 71] ; [31 28],[61.06914894 67.93085106] ; [27.93085106 31.06914894],0
p8,1,0.397661,0.715387,[44 84] ; [16 41],[41.51351351 86.48648649] ; [18.48648649 38.51351351],0
r1,1,0.429271,0.624796,[80 49] ; [33 26],[77.53723404 51.46276596] ; [35.46276596 23.53723404],0
a4,1,0.451142,0.567782,[ 23 105] ; [ 8 51],[ 21.21925134 106.78074866] ; [ 9.78074866 49.21925134],0
s7,1,0.458003,0.550771,[38 87] ; [14 42],[35.91160221 89.08839779] ; [16.08839779 39.91160221],0
p6,1,0.509092,0.435933,[ 28 100] ; [15 42],[29.75135135 98.24864865] ; [13.24864865 43.75135135],0
s1,1,0.525782,0.402537,[  6 121] ; [ 4 53],[  6.90217391 120.09782609] ; [ 3.09782609 53.90217391],0
a7,1,0.536161,0.382702,[75 52] ; [32 27],[73.05913978 53.94086022] ; [33.94086022 25.05913978],0
d1,1,0.554806,0.348777,[34 95] ; [18 41],[35.68085106 93.31914894] ; [16.31914894 42.68085106],0
s3,1,0.592858,0.285903,[64 62] ; [27 31],[62.31521739 63.68478261] ; [28.68478261 29.31521739],0
p7,1,0.606533,0.265255,[58 66] ; [23 31],[56.42696629 67.57303371] ; [24.57303371 29.42696629],0
s4,1,0.620382,0.245331,[ 22 105] ; [12 47],[ 23.21505376 103.78494624] ; [10.78494624 48.21505376],0
p1,1,0.676301,0.17432,[  6 121] ; [ 2 57],[  5.46236559 121.53763441] ; [ 2.53763441 56.46236559],0
b4,1,0.712906,0.135392,[78 51] ; [34 25],[76.85106383 52.14893617] ; [35.14893617 23.85106383],0
d5,1,0.720474,0.128039,[73 55] ; [32 27],[71.87165775 56.12834225] ; [33.12834225 25.87165775],0
n2,1,0.727765,0.121174,[25 13] ; [16 10],[24.34375 13.65625] ; [16.65625  9.34375],0
b2,1,0.728209,0.120762,[18 52] ; [ 9 22],[18.71287129 51.28712871] ; [ 8.28712871 22.71287129],0
b3,1,0.728209,0.120762,[18 52] ; [ 9 22],[18.71287129 51.28712871] ; [ 8.28712871 22.71287129],0
n3,1,0.75293,0.099085,[24 15] ; [17  9],[24.6 14.4] ; [16.4  9.6],0
b5,1,0.847264,0.037099,[79 50] ; [37 22],[79.59574468 49.40425532] ; [36.40425532 22.59574468],0
u3,1,0.895297,0.01732,[33 33] ; [19 18],[33.32038835 32.67961165] ; [18.67961165 18.32038835],0
d3,1,0.953723,0.003368,[69 59] ; [31 27],[68.8172043 59.1827957] ; [31.1827957 26.8172043],0
d2,1,0.980528,0.000596,[ 28 100] ; [13 46],[28.06417112 99.93582888] ; [12.93582888 46.06417112],0
v1,1,0.982759,0.000467,[44 83] ; [20 38],[43.93513514 83.06486486] ; [20.06486486 37.93513514],0
d4,1,0.988566,0.000205,[84 44] ; [38 20],[83.95698925 44.04301075] ; [38.04301075 19.95698925],0
