Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,7e-06,20.242048,[ 10 119] ; [19 37],[ 20.22162162 108.77837838] ; [ 8.77837838 47.22162162],1
s6,1,0.000435,12.376473,[54 75] ; [38 16],[64.85245902 64.14754098] ; [27.14754098 26.85245902],1
s2,1,0.006172,7.499323,[ 14 115] ; [15 41],[ 20.22162162 108.77837838] ; [ 8.77837838 47.22162162],0
s4,1,0.008084,7.014768,[  9 120] ; [11 43],[ 14.09836066 114.90163934] ; [ 5.90163934 48.09836066],0
a7,1,0.024484,5.06004,[103  26] ; [36 20],[96.92432432 32.07567568] ; [42.07567568 13.92432432],0
p10,1,0.024796,5.03806,[101  26] ; [52  4],[106.18032787  20.81967213] ; [46.81967213  9.18032787],0
p9,1,0.026202,4.94262,[105  23] ; [52  3],[109.81420765  18.18579235] ; [47.18579235  7.81420765],0
n6,1,0.031166,4.64381,[106  22] ; [53  3],[110.60869565  17.39130435] ; [48.39130435  7.60869565],0
s8,1,0.053669,3.722964,[35 93] ; [23 32],[40.56830601 87.43169399] ; [17.43169399 37.56830601],0
a5,1,0.057368,3.611879,[94 35] ; [48  8],[99.01621622 29.98378378] ; [42.98378378 13.01621622],0
b5,1,0.061724,3.490457,[79 50] ; [26 30],[73.21621622 55.78378378] ; [31.78378378 24.21621622],0
d1,1,0.120368,2.412529,[67 62] ; [36 20],[71.82162162 57.17837838] ; [31.17837838 24.82162162],0
p12,1,0.127637,2.321013,[  6 122] ; [ 6 50],[  8.34782609 119.65217391] ; [ 3.65217391 52.34782609],0
n5,1,0.131707,2.272263,[91 36] ; [46 10],[95.07650273 31.92349727] ; [41.92349727 14.07650273],0
n2,1,0.141815,2.158152,[15  8] ; [9 1],[16.72727273  6.27272727] ; [7.27272727 2.72727273],0
b3,1,0.142,2.15615,[28 52] ; [16 16],[31.42857143 48.57142857] ; [12.57142857 19.42857143],0
b2,1,0.142,2.15615,[28 52] ; [16 16],[31.42857143 48.57142857] ; [12.57142857 19.42857143],0
b4,1,0.154759,2.024702,[66 63] ; [35 21],[70.42702703 58.57297297] ; [30.57297297 25.42702703],0
u1,1,0.160926,1.965502,[ 19 110] ; [13 43],[ 22.31351351 106.68648649] ; [ 9.68648649 46.31351351],0
p6,1,0.223729,1.480291,[53 73] ; [29 27],[56.76923077 69.23076923] ; [25.23076923 30.76923077],0
s7,1,0.226436,1.463111,[41 79] ; [22 28],[44.47058824 75.52941176] ; [18.52941176 31.47058824],0
a3,1,0.246056,1.345559,[85 43] ; [42 14],[88.34782609 39.65217391] ; [38.65217391 17.34782609],0
a1,1,0.25836,1.277524,[  6 123] ; [ 5 51],[  7.67027027 121.32972973] ; [ 3.32972973 52.67027027],0
v4,1,0.26337,1.250957,[122   7] ; [55  1],[123.42162162   5.57837838] ; [53.57837838  2.42162162],0
n1,1,0.279044,1.171739,[ 5 18] ; [4 6],[ 6.27272727 16.72727273] ; [2.72727273 7.27272727],0
v2,1,0.284856,1.143773,[75 51] ; [38 18],[78.23076923 47.76923077] ; [34.76923077 21.23076923],0
p4,1,0.299926,1.074524,[97 32] ; [46 10],[99.71351351 29.28648649] ; [43.28648649 12.71351351],0
p1,1,0.304374,1.054931,[ 10 119] ; [ 7 49],[ 11.85405405 117.14594595] ; [ 5.14594595 50.85405405],0
d2,1,0.305892,1.048329,[54 75] ; [28 28],[57.17837838 71.82162162] ; [24.82162162 31.17837838],0
u3,1,0.314659,1.011019,[21 22] ; [9 5],[22.63157895 20.36842105] ; [7.36842105 6.63157895],0
d4,1,0.321514,0.982777,[100  29] ; [47  9],[102.5027027  26.4972973] ; [44.4972973 11.5027027],0
r4,1,0.355886,0.852359,[114  15] ; [52  4],[115.75135135  13.24864865] ; [50.24864865  5.75135135],0
d3,1,0.377806,0.77783,[86 43] ; [41 15],[88.55675676 40.44324324] ; [38.44324324 17.55675676],0
a6,1,0.410364,0.677745,[93 36] ; [37 19],[90.64864865 38.35135135] ; [39.35135135 16.64864865],0
n4,1,0.412503,0.671576,[99 30] ; [46 10],[101.10810811  27.89189189] ; [43.89189189 12.10810811],0
b1,1,0.433054,0.614618,[54 75] ; [20 36],[51.6 77.4] ; [22.4 33.6],0
a4,1,0.433536,0.613333,[56 72] ; [28 28],[58.43478261 69.56521739] ; [25.56521739 30.43478261],0
v1,1,0.515178,0.423537,[81 47] ; [32 23],[79.03825137 48.96174863] ; [33.96174863 21.03825137],0
r2,1,0.523422,0.407146,[119   8] ; [51  5],[117.97814208   9.02185792] ; [52.02185792  3.97814208],0
r1,1,0.551684,0.354309,[101  28] ; [46 10],[102.5027027  26.4972973] ; [44.4972973 11.5027027],0
n3,1,0.610823,0.258978,[18  5] ; [7 3],[17.42424242  5.57575758] ; [7.57575758 2.42424242],0
s1,1,0.616642,0.250616,[  3 126] ; [ 2 53],[  3.50543478 125.49456522] ; [ 1.49456522 53.50543478],0
a8,1,0.650106,0.205767,[12 95] ; [ 7 44],[12.86708861 94.13291139] ; [ 6.13291139 44.86708861],0
p2,1,0.707759,0.140526,[111  18] ; [47  9],[110.17297297  18.82702703] ; [47.82702703  8.17297297],0
u2,1,0.820387,0.05155,[20 23] ; [7 7],[20.36842105 22.63157895] ; [6.63157895 7.36842105],0
d5,1,0.869383,0.027041,[107  22] ; [47  9],[107.38378378  21.61621622] ; [46.61621622  9.38378378],0
p8,1,0.908316,0.013263,[82 45] ; [36 19],[82.34065934 44.65934066] ; [35.65934066 19.34065934],0
p11,1,0.939143,0.005829,[102  27] ; [44 12],[101.80540541  27.19459459] ; [44.19459459 11.80540541],0
p7,1,0.955118,0.003168,[98 29] ; [43 13],[97.85245902 29.14754098] ; [43.14754098 12.85245902],0
r3,1,0.967606,0.001649,[120   9] ; [52  4],[119.93513514   9.06486486] ; [52.06486486  3.93513514],0
v3,1,0.97261,0.001179,[51 74] ; [23 33],[51.10497238 73.89502762] ; [22.89502762 33.10497238],0
a2,1,0.995098,3.8e-05,[30 99] ; [13 43],[29.98378378 99.01621622] ; [13.01621622 42.98378378],0
