Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000228,13.581261,[15 12] ; [14 62],[ 7.60194175 19.39805825] ; [21.39805825 54.60194175],1
p8,1,0.002955,8.834994,[12 14] ; [13 63],[ 6.37254902 19.62745098] ; [18.62745098 57.37254902],0
p10,1,0.011296,6.418156,[19  8] ; [31 43],[13.36633663 13.63366337] ; [36.63366337 37.36633663],0
p7,1,0.013054,6.161783,[14 13] ; [19 55],[ 8.82178218 18.17821782] ; [24.17821782 49.82178218],0
r3,1,0.021272,5.304387,[25  2] ; [53 22],[20.64705882  6.35294118] ; [57.35294118 17.64705882],0
s8,1,0.053651,3.723533,[10 17] ; [14 61],[ 6.35294118 20.64705882] ; [17.64705882 57.35294118],0
n4,1,0.076653,3.134476,[12 15] ; [48 27],[15.88235294 11.11764706] ; [44.11764706 30.88235294],0
s6,1,0.096819,2.757181,[16 10] ; [32 43],[12.35643564 13.64356436] ; [35.64356436 39.35643564],0
r4,1,0.100921,2.69093,[22  5] ; [49 27],[18.61165049  8.38834951] ; [52.38834951 23.61165049],0
p9,1,0.128963,2.304949,[17 10] ; [33 39],[13.63636364 13.36363636] ; [36.36363636 35.63636364],0
p5,1,0.139532,2.183111,[ 3 22] ; [ 3 73],[ 1.48514851 23.51485149] ; [ 4.51485149 71.48514851],0
u3,1,0.139739,2.180831,[9 5] ; [17 24],[6.61818182 7.38181818] ; [19.38181818 21.61818182],0
a5,1,0.156914,2.003719,[16 11] ; [33 43],[12.84466019 14.15533981] ; [36.15533981 39.84466019],0
p11,1,0.201902,1.628566,[17 10] ; [37 39],[14.15533981 12.84466019] ; [39.84466019 36.15533981],0
v4,1,0.213156,1.549858,[23  4] ; [55 20],[20.64705882  6.35294118] ; [57.35294118 17.64705882],0
s3,1,0.221195,1.496603,[13 14] ; [25 47],[10.36363636 16.63636364] ; [27.63636364 44.36363636],0
d2,1,0.234976,1.410485,[ 8 19] ; [14 61],[ 5.82352941 21.17647059] ; [16.17647059 58.82352941],0
n5,1,0.303149,1.060291,[15 12] ; [50 25],[17.20588235  9.79411765] ; [47.79411765 27.20588235],0
b4,1,0.333587,0.934923,[12 15] ; [42 34],[14.15533981 12.84466019] ; [39.84466019 36.15533981],0
p6,1,0.366352,0.816,[ 6 21] ; [11 64],[ 4.5 22.5] ; [12.5 62.5],0
b3,1,0.371912,0.797266,[ 4 11] ; [17 26],[5.43103448 9.56896552] ; [15.56896552 27.43103448],0
b2,1,0.371912,0.797266,[ 4 11] ; [17 26],[5.43103448 9.56896552] ; [15.56896552 27.43103448],0
a4,1,0.383507,0.75943,[ 8 19] ; [16 59],[ 6.35294118 20.64705882] ; [17.64705882 57.35294118],0
u2,1,0.391584,0.734018,[8 6] ; [18 23],[6.61818182 7.38181818] ; [19.38181818 21.61818182],0
v2,1,0.394187,0.725989,[12 14] ; [26 45],[10.18556701 15.81443299] ; [27.81443299 43.18556701],0
r1,1,0.396333,0.719424,[18  9] ; [43 32],[16.14705882 10.85294118] ; [44.85294118 30.14705882],0
s2,1,0.410321,0.677871,[11 15] ; [25 50],[ 9.26732673 16.73267327] ; [26.73267327 48.26732673],0
n1,1,0.466596,0.530026,[3 2] ; [11 15],[2.25806452 2.74193548] ; [11.74193548 14.25806452],0
d4,1,0.47724,0.505163,[11 16] ; [37 39],[12.58252427 14.41747573] ; [35.41747573 40.58252427],0
d5,1,0.486283,0.48474,[12 15] ; [28 48],[10.48543689 16.51456311] ; [29.51456311 46.48543689],0
r2,1,0.520895,0.412121,[20  7] ; [60 15],[21.17647059  5.82352941] ; [58.82352941 16.17647059],0
p1,1,0.521596,0.410735,[ 2 25] ; [ 9 67],[ 2.88349515 24.11650485] ; [ 8.11650485 67.88349515],0
v1,1,0.537006,0.381118,[11 15] ; [27 49],[ 9.68627451 16.31372549] ; [28.31372549 47.68627451],0
s4,1,0.571112,0.320826,[ 4 23] ; [15 61],[ 4.98058252 22.01941748] ; [14.01941748 61.98058252],0
s5,1,0.581203,0.304293,[ 4 20] ; [16 57],[ 4.94845361 19.05154639] ; [15.05154639 57.94845361],0
a7,1,0.662837,0.190096,[12 15] ; [37 38],[12.97058824 14.02941176] ; [36.02941176 38.97058824],0
a6,1,0.688861,0.160321,[14 13] ; [36 40],[13.10679612 13.89320388] ; [36.89320388 39.10679612],0
n6,1,0.710866,0.137414,[18  9] ; [47 28],[17.20588235  9.79411765] ; [47.79411765 27.20588235],0
s1,1,0.724605,0.124123,[ 4 23] ; [ 9 65],[ 3.47524752 23.52475248] ; [ 9.52475248 64.47524752],0
d3,1,0.772434,0.083632,[ 6 21] ; [19 57],[ 6.55339806 20.44660194] ; [18.44660194 57.55339806],0
a1,1,0.775643,0.081226,[ 2 25] ; [ 7 69],[ 2.3592233 24.6407767] ; [ 6.6407767 69.3592233],0
b5,1,0.832836,0.044549,[15 12] ; [44 32],[15.46601942 11.53398058] ; [43.53398058 32.46601942],0
a8,1,0.867878,0.027674,[ 3 24] ; [ 9 64],[ 3.24 23.76] ; [ 8.76 64.24],0
b1,1,0.868692,0.027331,[14 13] ; [38 38],[13.63106796 13.36893204] ; [38.36893204 37.63106796],0
v3,1,0.871705,0.02608,[ 9 17] ; [24 49],[ 8.66666667 17.33333333] ; [24.33333333 48.66666667],0
p12,1,0.883192,0.021587,[ 2 25] ; [ 5 71],[ 1.83495146 25.16504854] ; [ 5.16504854 70.83495146],0
n2,1,0.884673,0.021039,[5 1] ; [21  5],[4.875 1.125] ; [21.125  4.875],0
s7,1,0.910897,0.012523,[ 5 19] ; [16 57],[ 5.19587629 18.80412371] ; [15.80412371 57.19587629],0
a3,1,0.939594,0.005743,[13 14] ; [35 39],[12.83168317 14.16831683] ; [35.16831683 38.83168317],0
a2,1,0.955109,0.003169,[ 1 26] ; [ 3 73],[ 1.04854369 25.95145631] ; [ 2.95145631 73.04854369],0
