Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.000478,12.198214,[23 19] ; [23  1],[29.27272727 12.72727273] ; [16.72727273  7.27272727],1
p2,1,0.002121,9.441523,[38  4] ; [14 10],[33.09090909  8.90909091] ; [18.90909091  5.09090909],0
s6,1,0.003888,8.335426,[33  7] ; [11 12],[27.93650794 12.06349206] ; [16.06349206  6.93650794],0
d3,1,0.006237,7.480519,[36  6] ; [12 10],[31.5 10.5] ; [16.5  5.5],0
d2,1,0.006647,7.366071,[33  9] ; [11 13],[28. 14.] ; [16.  8.],0
a4,1,0.008892,6.844444,[28 14] ; [ 8 16],[22.90909091 19.09090909] ; [13.09090909 10.90909091],0
d1,1,0.012781,6.199119,[32 10] ; [11 13],[27.36363636 14.63636364] ; [15.63636364  8.36363636],0
p3,1,0.017295,5.666209,[30 12] ; [10 14],[25.45454545 16.54545455] ; [14.54545455  9.45454545],0
a5,1,0.02078,5.345145,[34  8] ; [13 11],[29.90909091 12.09090909] ; [17.09090909  6.90909091],0
p8,1,0.028476,4.799013,[24 18] ; [ 7 17],[19.72727273 22.27272727] ; [11.27272727 12.72727273],0
a2,1,0.045746,3.99093,[17 25] ; [ 4 20],[13.36363636 28.63636364] ; [ 7.63636364 16.36363636],0
s7,1,0.054531,3.696364,[29  8] ; [12 10],[25.71186441 11.28813559] ; [15.28813559  6.71186441],0
u3,1,0.067889,3.333333,[8 2] ; [4 6],[6. 4.] ; [6. 4.],0
a3,1,0.091685,2.844528,[32  9] ; [14 10],[29.01538462 11.98461538] ; [16.98461538  7.01538462],0
r4,1,0.101148,2.687346,[39  3] ; [19  5],[36.90909091  5.09090909] ; [21.09090909  2.90909091],0
a6,1,0.103434,2.651786,[25 17] ; [19  5],[28. 14.] ; [16.  8.],0
d5,1,0.119615,2.42236,[36  6] ; [16  7],[33.6  8.4] ; [18.4  4.6],0
n2,1,0.12707,2.327943,[6 5] ; [7 1],[7.52631579 3.47368421] ; [5.47368421 2.52631579],0
r1,1,0.143671,2.138192,[36  6] ; [17  7],[33.72727273  8.27272727] ; [19.27272727  4.72727273],0
s8,1,0.164849,1.929171,[24 18] ; [ 9 14],[21.32307692 20.67692308] ; [11.67692308 11.32307692],0
d4,1,0.23211,1.427885,[35  7] ; [17  7],[33.09090909  8.90909091] ; [18.90909091  5.09090909],0
n6,1,0.252371,1.310129,[34  7] ; [17  7],[32.16923077  8.83076923] ; [18.83076923  5.16923077],0
n5,1,0.262082,1.257727,[31 10] ; [15  9],[29.01538462 11.98461538] ; [16.98461538  7.01538462],0
u1,1,0.280626,1.164054,[14 28] ; [ 5 19],[12.09090909 29.90909091] ; [ 6.90909091 17.09090909],0
v4,1,0.292834,1.106548,[37  5] ; [23  1],[38.18181818  3.81818182] ; [21.81818182  2.18181818],0
s5,1,0.315061,1.00934,[19 20] ; [ 7 13],[17.18644068 21.81355932] ; [ 8.81355932 11.18644068],0
p9,1,0.345348,0.890476,[34  8] ; [17  7],[32.45454545  9.54545455] ; [18.54545455  5.45454545],0
b4,1,0.37584,0.784266,[24 18] ; [11 13],[22.27272727 19.72727273] ; [12.72727273 11.27272727],0
p1,1,0.455533,0.556848,[ 6 35] ; [ 2 22],[ 5.04615385 35.95384615] ; [ 2.95384615 21.04615385],0
n4,1,0.480404,0.497946,[33  9] ; [17  7],[31.81818182 10.18181818] ; [18.18181818  5.81818182],0
s4,1,0.48923,0.47822,[12 30] ; [ 5 19],[10.81818182 31.18181818] ; [ 6.18181818 17.81818182],0
v3,1,0.496802,0.46176,[15 25] ; [ 7 17],[13.75 26.25] ; [ 8.25 15.75],0
s2,1,0.498404,0.458333,[28 14] ; [14 10],[26.72727273 15.27272727] ; [15.27272727  8.72727273],0
p7,1,0.561126,0.337758,[32 10] ; [16  7],[31.01538462 10.98461538] ; [16.98461538  6.01538462],0
b2,1,0.589154,0.291667,[10 15] ; [5 5],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
b3,1,0.589154,0.291667,[10 15] ; [5 5],[10.71428571 14.28571429] ; [4.28571429 5.71428571],0
u2,1,0.639207,0.21978,[7 3] ; [6 4],[6.5 3.5] ; [6.5 3.5],0
s3,1,0.671851,0.179444,[25 17] ; [13 11],[24.18181818 17.81818182] ; [13.81818182 10.18181818],0
p10,1,0.685523,0.163975,[30 12] ; [16  8],[29.27272727 12.72727273] ; [16.72727273  7.27272727],0
r2,1,0.697095,0.151511,[40  1] ; [23  1],[39.73846154  1.26153846] ; [23.26153846  0.73846154],0
n3,1,0.737369,0.112453,[9 2] ; [7 1],[9.26315789 1.73684211] ; [6.73684211 1.26315789],0
v1,1,0.744561,0.106158,[21 21] ; [11 13],[20.36363636 21.63636364] ; [11.63636364 12.36363636],0
n1,1,0.844674,0.038384,[6 5] ; [4 4],[5.78947368 5.21052632] ; [4.21052632 3.78947368],0
s1,1,0.860434,0.030913,[ 3 39] ; [ 2 22],[ 3.18181818 38.81818182] ; [ 1.81818182 22.18181818],0
r3,1,0.882037,0.022019,[38  3] ; [22  2],[37.84615385  3.15384615] ; [22.15384615  1.84615385],0
a8,1,0.885255,0.020826,[ 4 30] ; [ 3 20],[ 4.1754386 29.8245614] ; [ 2.8245614 20.1754386],0
b1,1,0.888795,0.019552,[22 20] ; [13 11],[22.27272727 19.72727273] ; [12.72727273 11.27272727],0
a1,1,0.91108,0.012472,[ 2 40] ; [ 1 23],[ 1.90909091 40.09090909] ; [ 1.09090909 22.90909091],0
v2,1,0.924612,0.008954,[25 17] ; [14 10],[24.81818182 17.18181818] ; [14.18181818  9.81818182],0
a7,1,0.992755,8.2e-05,[31 11] ; [17  6],[31.01538462 10.98461538] ; [16.98461538  6.01538462],0
