Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,81.990884,[ 62 129] ; [384 167],[114.80592992  76.19407008] ; [331.19407008 219.80592992],1
d2,1,0.0,79.640492,[ 42 148] ; [327 221],[95. 95.] ; [274. 274.],1
a3,1,0.0,72.472278,[90 98] ; [441 109],[135.26829268  52.73170732] ; [395.73170732 154.26829268],1
a4,1,0.0,67.885234,[ 39 151] ; [302 246],[ 87.79132791 102.20867209] ; [253.20867209 294.79132791],1
u1,1,0.0,42.528727,[  6 185] ; [136 415],[ 36.55256065 154.44743935] ; [105.44743935 445.55256065],1
d5,1,0.0,39.879092,[125  65] ; [476  74],[154.31081081  35.68918919] ; [446.68918919 103.31081081],1
a6,1,0.0,32.666695,[97 94] ; [403 147],[128.87989204  62.12010796] ; [371.12010796 178.87989204],1
d4,1,0.0,31.282248,[130  60] ; [476  74],[155.59459459  34.40540541] ; [450.40540541  99.59459459],1
r1,1,0.0,27.203492,[132  58] ; [474  75],[155.80514208  34.19485792] ; [450.19485792  98.80514208],1
n4,1,1e-06,23.201603,[131  59] ; [467  83],[153.54054054  36.45945946] ; [444.45945946 105.54054054],1
d3,1,1e-05,19.544057,[107  83] ; [405 146],[131.28205128  58.71794872] ; [380.71794872 170.28205128],1
s7,1,6e-05,16.089187,[ 70 112] ; [293 233],[93.31355932 88.68644068] ; [269.68644068 256.31355932],1
s8,1,8.3e-05,15.493938,[ 64 127] ; [272 272],[ 87.31428571 103.68571429] ; [248.68571429 295.31428571],1
p9,1,0.000224,13.618586,[144  42] ; [481  63],[159.24657534  26.75342466] ; [465.75342466  78.24657534],1
p10,1,0.000305,13.042197,[140  47] ; [471  75],[155.87585266  31.12414734] ; [455.12414734  90.87585266],1
n5,1,0.000348,12.79067,[135  55] ; [457  93],[152.  38.] ; [440. 110.],1
p4,1,0.00036,12.72845,[94 96] ; [351 196],[114.72184532  75.27815468] ; [330.27815468 216.72184532],1
s5,1,0.000668,11.577009,[ 47 136] ; [210 319],[ 66.05477528 116.94522472] ; [190.94522472 338.05477528],1
v2,1,0.001587,9.974893,[85 96] ; [322 211],[103.17507003  77.82492997] ; [303.82492997 229.17507003],0
p3,1,0.001673,9.877773,[ 79 112] ; [299 249],[97.69688769 93.30311231] ; [280.30311231 267.69688769],0
v1,1,0.001932,9.612765,[ 84 102] ; [313 224],[102.13278008  83.86721992] ; [294.86721992 242.13278008],0
b2,1,0.003776,8.388413,[27 75] ; [147 200],[39.52783964 62.47216036] ; [134.47216036 212.52783964],0
b3,1,0.003776,8.388413,[27 75] ; [147 200],[39.52783964 62.47216036] ; [134.47216036 212.52783964],0
p8,1,0.013231,6.137893,[ 87 103] ; [303 236],[101.64609053  88.35390947] ; [288.35390947 250.64609053],0
s6,1,0.014898,5.928476,[116  71] ; [383 152],[129.24238227  57.75761773] ; [369.75761773 165.24238227],0
r4,1,0.023991,5.095303,[173  18] ; [524  27],[179.41644205  11.58355795] ; [517.58355795  33.41644205],0
p2,1,0.025804,4.969087,[149  41] ; [467  80],[158.80597015  31.19402985] ; [457.19402985  89.80597015],0
s2,1,0.031082,4.648435,[ 86 103] ; [297 247],[98.75443383 90.24556617] ; [284.24556617 259.75443383],0
u4,1,0.038613,4.277801,[  1 190] ; [ 18 533],[  4.89083558 186.10916442] ; [ 14.10916442 536.89083558],0
v4,1,0.0449,4.022398,[181   9] ; [539  11],[184.86486486   5.13513514] ; [535.13513514  14.86486486],0
p6,1,0.046992,3.94567,[ 61 127] ; [221 323],[ 72.42622951 115.57377049] ; [209.57377049 334.42622951],0
a1,1,0.047247,3.936558,[  4 187] ; [ 31 520],[  9.00943396 181.99056604] ; [ 25.99056604 525.00943396],0
p11,1,0.157498,1.998082,[147  44] ; [450 101],[153.67520216  37.32479784] ; [443.32479784 107.67520216],0
p12,1,0.167022,1.909474,[ 11 179] ; [ 49 497],[ 15.48913043 174.51086957] ; [ 44.51086957 501.48913043],0
b1,1,0.221485,1.494722,[ 63 128] ; [209 342],[ 70.01617251 120.98382749] ; [201.98382749 349.01617251],0
n2,1,0.271592,1.208687,[29 14] ; [89 28],[31.7125 11.2875] ; [86.2875 30.7125],0
p7,1,0.288171,1.128149,[114  72] ; [353 185],[119.97513812  66.02486188] ; [347.02486188 190.97513812],0
a7,1,0.30611,1.047386,[132  56] ; [408 143],[137.37483085  50.62516915] ; [402.62516915 148.37483085],0
s1,1,0.312202,1.021336,[  8 180] ; [ 15 528],[  5.91518468 182.08481532] ; [ 17.08481532 525.91518468],0
v3,1,0.351729,0.867208,[ 71 113] ; [227 307],[ 76.36768802 107.63231198] ; [221.63231198 312.36768802],0
p5,1,0.555434,0.347671,[ 20 168] ; [ 67 480],[ 22.25306122 165.74693878] ; [ 64.74693878 482.25306122],0
a8,1,0.558875,0.341656,[ 22 156] ; [ 70 426],[ 24.29673591 153.70326409] ; [ 67.70326409 428.29673591],0
s3,1,0.562908,0.334694,[102  84] ; [311 232],[105.3744856  80.6255144] ; [307.6255144 235.3744856],0
u3,1,0.633469,0.227386,[54 46] ; [63 47],[55.71428571 44.28571429] ; [61.28571429 48.71428571],0
n3,1,0.66049,0.192928,[31 13] ; [85 30],[32.10062893 11.89937107] ; [83.89937107 31.10062893],0
s4,1,0.703128,0.145238,[ 31 157] ; [ 96 446],[ 32.70684932 155.29315068] ; [ 94.29315068 447.70684932],0
p1,1,0.750886,0.100788,[ 18 171] ; [ 48 500],[ 16.92537313 172.07462687] ; [ 49.07462687 498.92537313],0
u2,1,0.776135,0.08086,[51 48] ; [54 55],[49.97596154 49.02403846] ; [55.02403846 53.97596154],0
r3,1,0.856383,0.032754,[182   7] ; [528  22],[181.58322057   7.41677943] ; [528.41677943  21.58322057],0
b4,1,0.861193,0.030575,[113  78] ; [322 229],[111.97439353  79.02560647] ; [323.02560647 227.97439353],0
n1,1,0.875026,0.024736,[17 27] ; [46 69],[17.43396226 26.56603774] ; [45.56603774 69.43396226],0
b5,1,0.960233,0.002486,[114  77] ; [330 221],[114.29110512  76.70889488] ; [329.70889488 221.29110512],0
