Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,23.250052,[47 14] ; [14 32],[34.77570093 26.22429907] ; [26.22429907 19.77570093],1
a4,1,3e-06,22.128685,[34 28] ; [ 5 41],[22.38888889 39.61111111] ; [16.61111111 29.38888889],1
p4,1,0.000512,12.071921,[33 29] ; [ 9 36],[24.3364486 37.6635514] ; [17.6635514 27.3364486],1
d5,1,0.003802,8.376092,[48 13] ; [24 22],[41.04672897 19.95327103] ; [30.95327103 15.04672897],0
v3,1,0.015629,5.844156,[16 40] ; [ 4 40],[11.2 44.8] ; [ 8.8 35.2],0
d2,1,0.018886,5.512014,[31 30] ; [13 33],[25.08411215 35.91588785] ; [18.91588785 27.08411215],0
a6,1,0.023963,5.09729,[47 14] ; [26 20],[41.61682243 19.38317757] ; [31.38317757 14.61682243],0
s4,1,0.024765,5.040252,[ 7 55] ; [13 33],[11.48148148 50.51851852] ; [ 8.51851852 37.48148148],0
p3,1,0.025192,5.010654,[23 39] ; [ 8 38],[17.7962963 44.2037037] ; [13.2037037 32.7962963],0
d1,1,0.027743,4.843938,[32 30] ; [14 32],[26.40740741 35.59259259] ; [19.59259259 26.40740741],0
r4,1,0.049762,3.849455,[45 17] ; [25 21],[40.18518519 21.81481481] ; [29.81481481 16.18518519],0
r1,1,0.057044,3.6213,[44 17] ; [25 21],[39.3364486 21.6635514] ; [29.6635514 16.3364486],0
v2,1,0.06716,3.3511,[24 34] ; [10 32],[19.72 38.28] ; [14.28 27.72],0
n4,1,0.074992,3.170221,[35 27] ; [18 28],[30.42592593 31.57407407] ; [22.57407407 23.42592593],0
a7,1,0.082054,3.023745,[45 17] ; [26 20],[40.75925926 21.24074074] ; [30.24074074 15.75925926],0
d3,1,0.093878,2.806589,[41 20] ; [23 22],[36.83018868 24.16981132] ; [27.16981132 17.83018868],0
p6,1,0.096248,2.766646,[ 8 52] ; [12 34],[11.32075472 48.67924528] ; [ 8.67924528 37.32075472],0
r3,1,0.127811,2.318887,[52 10] ; [33 13],[48.7962963 13.2037037] ; [36.2037037  9.7962963],0
a8,1,0.1741,1.847279,[ 7 51] ; [ 2 43],[ 5.06796117 52.93203883] ; [ 3.93203883 41.06796117],0
b5,1,0.177365,1.819565,[31 31] ; [29 17],[34.44444444 27.55555556] ; [25.55555556 20.44444444],0
s6,1,0.187591,1.736435,[28 34] ; [15 31],[24.68518519 37.31481481] ; [18.31481481 27.68518519],0
d4,1,0.219937,1.504782,[46 15] ; [29 16],[43.16037736 17.83962264] ; [31.83962264 13.16037736],0
r2,1,0.228932,1.447482,[52  9] ; [35 11],[49.59813084 11.40186916] ; [37.40186916  8.59813084],0
u1,1,0.295668,1.093633,[ 6 56] ; [ 2 44],[ 4.59259259 57.40740741] ; [ 3.40740741 42.59259259],0
s7,1,0.371064,0.800097,[15 41] ; [ 8 34],[13.14285714 42.85714286] ; [ 9.85714286 32.14285714],0
