Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.015673,5.839228,[25 41] ; [21 80],[18.17964072 47.82035928] ; [27.82035928 73.17964072],0
b3,1,0.017796,5.616082,[19 21] ; [13 41],[13.61702128 26.38297872] ; [18.38297872 35.61702128],0
b2,1,0.017796,5.616082,[19 21] ; [13 41],[13.61702128 26.38297872] ; [18.38297872 35.61702128],0
v2,1,0.022259,5.225436,[41 25] ; [44 56],[33.79518072 32.20481928] ; [51.20481928 48.79518072],0
p1,1,0.051782,3.782801,[ 9 60] ; [ 5 99],[ 5.58381503 63.41618497] ; [ 8.41618497 95.58381503],0
s8,1,0.07461,3.178575,[32 38] ; [34 71],[26.4 43.6] ; [39.6 65.4],0
s7,1,0.075819,3.152317,[32 38] ; [33 69],[26.45348837 43.54651163] ; [38.54651163 63.45348837],0
s6,1,0.088223,2.906502,[47 21] ; [59 46],[41.66473988 26.33526012] ; [64.33526012 40.66473988],0
p7,1,0.094979,2.787897,[34 35] ; [64 39],[39.31395349 29.68604651] ; [58.68604651 44.31395349],0
n2,1,0.102544,2.665528,[13  3] ; [19 14],[10.44897959  5.55102041] ; [21.55102041 11.44897959],0
a4,1,0.110327,2.549534,[31 39] ; [34 71],[26. 44.] ; [39. 66.],0
n1,1,0.140306,2.174601,[ 6 10] ; [ 6 27],[ 3.91836735 12.08163265] ; [ 8.08163265 24.91836735],0
u2,1,0.142162,2.154397,[17  7] ; [17 16],[14.31578947  9.68421053] ; [19.68421053 13.31578947],0
a8,1,0.160471,1.969784,[ 8 55] ; [ 6 90],[ 5.54716981 57.45283019] ; [ 8.45283019 87.54716981],0
u3,1,0.171997,1.865455,[17  8] ; [16 16],[14.47368421 10.52631579] ; [18.52631579 13.47368421],0
a1,1,0.18367,1.767677,[ 6 64] ; [  4 101],[ 4. 66.] ; [ 6. 99.],0
p12,1,0.18367,1.767677,[ 6 64] ; [  4 101],[ 4. 66.] ; [ 6. 99.],0
b5,1,0.201468,1.631702,[48 22] ; [62 43],[44. 26.] ; [66. 39.],0
s5,1,0.206379,1.596646,[24 41] ; [27 71],[20.33742331 44.66257669] ; [30.66257669 67.33742331],0
d3,1,0.240661,1.37672,[49 21] ; [81 23],[52.29885057 17.70114943] ; [77.70114943 26.29885057],0
d1,1,0.265252,1.241135,[34 36] ; [60 45],[37.6 32.4] ; [56.4 48.6],0
p6,1,0.282496,1.155044,[22 45] ; [26 77],[18.91764706 48.08235294] ; [29.08235294 73.91764706],0
s4,1,0.290005,1.119598,[12 58] ; [25 80],[14.8 55.2] ; [22.2 82.8],0
s1,1,0.344704,0.892857,[ 4 66] ; [  3 102],[ 2.8 67.2] ; [  4.2 100.8],0
d5,1,0.363552,0.825585,[56 14] ; [77 27],[53.50574713 16.49425287] ; [79.49425287 24.50574713],0
v4,1,0.37737,0.779253,[66  3] ; [96  8],[64.61271676  4.38728324] ; [97.38728324  6.61271676],0
r4,1,0.377822,0.777778,[58 12] ; [92 13],[60. 10.] ; [90. 15.],0
r1,1,0.379706,0.771655,[54 16] ; [74 30],[51.49425287 18.50574713] ; [76.50574713 27.49425287],0
n3,1,0.443533,0.587125,[11  5] ; [26  7],[12.08163265  3.91836735] ; [24.91836735  8.08163265],0
d2,1,0.444819,0.58382,[24 46] ; [42 63],[26.4 43.6] ; [39.6 65.4],0
p3,1,0.448578,0.574241,[30 40] ; [39 66],[27.6 42.4] ; [41.4 63.6],0
b4,1,0.486147,0.485042,[45 25] ; [62 43],[42.8 27.2] ; [64.2 40.8],0
n6,1,0.510863,0.432298,[44 25] ; [72 33],[46. 23.] ; [70. 35.],0
p10,1,0.55126,0.355064,[56 13] ; [88 16],[57.43352601 11.56647399] ; [86.56647399 17.43352601],0
p8,1,0.565473,0.330316,[33 37] ; [44 59],[31.15606936 38.84393064] ; [45.84393064 57.15606936],0
a6,1,0.604386,0.268431,[44 26] ; [70 35],[45.6 24.4] ; [68.4 36.6],0
a3,1,0.647694,0.20882,[45 25] ; [71 34],[46.4 23.6] ; [69.6 35.4],0
r2,1,0.648701,0.207541,[64  4] ; [96  8],[63.25581395  4.74418605] ; [96.74418605  7.25581395],0
p11,1,0.724051,0.124644,[53 17] ; [77 28],[52. 18.] ; [78. 27.],0
u1,1,0.842735,0.039361,[ 8 62] ; [11 94],[ 7.6 62.4] ; [11.4 93.6],0
a2,1,0.862229,0.030115,[10 60] ; [16 89],[10.4 59.6] ; [15.6 89.4],0
s2,1,0.884515,0.021097,[31 38] ; [46 59],[30.53448276 38.46551724] ; [46.46551724 58.53448276],0
p4,1,0.894539,0.017573,[31 39] ; [45 59],[30.57471264 39.42528736] ; [45.42528736 58.57471264],0
p5,1,0.896012,0.017083,[ 5 64] ; [ 7 97],[ 4.78612717 64.21387283] ; [ 7.21387283 96.78612717],0
a7,1,0.908402,0.013238,[54 16] ; [81 23],[54.31034483 15.68965517] ; [80.68965517 23.31034483],0
d4,1,0.932914,0.007086,[59 11] ; [88 17],[58.8 11.2] ; [88.2 16.8],0
b1,1,0.946161,0.00456,[21 49] ; [31 74],[20.8 49.2] ; [31.2 73.8],0
a5,1,0.947728,0.004298,[47 23] ; [70 35],[46.8 23.2] ; [70.2 34.8],0
p2,1,0.959759,0.002546,[57 13] ; [85 19],[57.12643678 12.87356322] ; [84.87356322 19.12643678],0
s3,1,0.975466,0.000946,[34 35] ; [51 52],[34.09883721 34.90116279] ; [50.90116279 52.09883721],0
n4,1,1.0,0.0,[28 42] ; [42 63],[28. 42.] ; [42. 63.],0
r3,1,1.0,0.0,[66  4] ; [99  6],[66.  4.] ; [99.  6.],0
