Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.005535,7.695688,[8 9] ; [69 18],[12.58653846  4.41346154] ; [64.41346154 22.58653846],0
s7,1,0.006521,7.400462,[ 1 15] ; [36 50],[ 5.80392157 10.19607843] ; [31.19607843 54.80392157],0
s8,1,0.008062,7.019578,[ 1 16] ; [34 53],[ 5.72115385 11.27884615] ; [29.27884615 57.72115385],0
s3,1,0.011241,6.42682,[ 3 14] ; [44 42],[7.75728155 9.24271845] ; [39.24271845 46.75728155],0
v4,1,0.017075,5.688667,[13  4] ; [82  5],[15.52884615  1.47115385] ; [79.47115385  7.52884615],0
r3,1,0.049523,3.857536,[14  3] ; [83  4],[15.85576923  1.14423077] ; [81.14423077  5.85576923],0
b1,1,0.053132,3.739748,[ 2 15] ; [31 56],[ 5.39423077 11.60576923] ; [27.60576923 59.39423077],0
p7,1,0.064347,3.421634,[10  7] ; [67 17],[12.96039604  4.03960396] ; [64.03960396 19.96039604],0
b4,1,0.090253,2.869851,[ 7 10] ; [55 32],[10.13461538  6.86538462] ; [51.86538462 35.13461538],0
d2,1,0.091351,2.850409,[ 3 14] ; [34 53],[ 6.04807692 10.95192308] ; [30.95192308 56.04807692],0
p9,1,0.092165,2.836151,[10  7] ; [68 19],[12.75  4.25] ; [65.25 21.75],0
a4,1,0.105126,2.626005,[ 2 15] ; [27 60],[ 4.74038462 12.25961538] ; [24.25961538 62.74038462],0
n3,1,0.111824,2.528259,[1 2] ; [17  5],[2.16 0.84] ; [15.84  6.16],0
a3,1,0.156995,2.002931,[ 7 10] ; [52 35],[9.64423077 7.35576923] ; [49.35576923 37.64423077],0
n6,1,0.160743,1.967221,[8 9] ; [56 30],[10.5631068  6.4368932] ; [53.4368932 32.5631068],0
d5,1,0.191151,1.708722,[11  6] ; [69 18],[13.07692308  3.92307692] ; [66.92307692 20.07692308],0
p10,1,0.191428,1.706592,[10  7] ; [64 22],[12.21359223  4.78640777] ; [61.78640777 24.21359223],0
n4,1,0.193296,1.692315,[ 4 13] ; [35 52],[ 6.375 10.625] ; [32.625 54.375],0
b3,1,0.206165,1.598152,[3 5] ; [ 9 41],[1.65517241 6.34482759] ; [10.34482759 39.65517241],0
b2,1,0.206165,1.598152,[3 5] ; [ 9 41],[1.65517241 6.34482759] ; [10.34482759 39.65517241],0
r4,1,0.242617,1.365324,[13  4] ; [76 11],[14.54807692  2.45192308] ; [74.45192308 12.54807692],0
s1,1,0.246384,1.343691,[ 2 15] ; [ 4 83],[ 0.98076923 16.01923077] ; [ 5.01923077 81.98076923],0
a7,1,0.283858,1.148524,[11  6] ; [67 20],[12.75  4.25] ; [65.25 21.75],0
r1,1,0.283858,1.148524,[11  6] ; [67 20],[12.75  4.25] ; [65.25 21.75],0
v1,1,0.320485,0.986965,[ 5 12] ; [36 49],[ 6.83333333 10.16666667] ; [34.16666667 50.83333333],0
d1,1,0.332233,0.940175,[ 7 10] ; [47 40],[8.82692308 8.17307692] ; [45.17307692 41.82692308],0
d3,1,0.337258,0.920828,[11  6] ; [66 21],[12.58653846  4.41346154] ; [64.41346154 22.58653846],0
s6,1,0.383715,0.758766,[8 8] ; [53 33],[9.56862745 6.43137255] ; [51.43137255 34.56862745],0
a5,1,0.414881,0.664769,[10  7] ; [60 27],[11.44230769  5.55769231] ; [58.55769231 28.44230769],0
s5,1,0.417355,0.657752,[ 3 13] ; [24 60],[ 4.32 11.68] ; [22.68 61.32],0
r2,1,0.551418,0.354783,[16  1] ; [76  9],[15.33333333  1.66666667] ; [76.66666667  8.33333333],0
p1,1,0.559794,0.340061,[ 1 16] ; [ 9 77],[ 1.65048544 15.34951456] ; [ 8.34951456 77.65048544],0
u3,1,0.577845,0.309731,[6 4] ; [17 17],[5.22727273 4.77272727] ; [17.77272727 16.22727273],0
p6,1,0.595948,0.28115,[ 5 12] ; [30 53],[ 5.95 11.05] ; [29.05 53.95],0
p4,1,0.652645,0.202582,[10  7] ; [46 41],[9.15384615 7.84615385] ; [46.84615385 40.15384615],0
s2,1,0.660721,0.192649,[7 9] ; [33 54],[6.21359223 9.78640777] ; [33.78640777 53.21359223],0
p3,1,0.660746,0.192619,[8 9] ; [46 41],[8.82692308 8.17307692] ; [45.17307692 41.82692308],0
s4,1,0.679107,0.171133,[ 3 14] ; [12 75],[ 2.45192308 14.54807692] ; [12.54807692 74.45192308],0
u2,1,0.6885,0.160714,[5 5] ; [20 15],[5.55555556 4.44444444] ; [19.44444444 15.55555556],0
p5,1,0.759454,0.093757,[ 1 16] ; [ 7 80],[ 1.30769231 15.69230769] ; [ 6.69230769 80.30769231],0
v2,1,0.790482,0.070588,[8 9] ; [43 42],[8.5 8.5] ; [42.5 42.5],0
d4,1,0.793153,0.068759,[13  4] ; [69 18],[13.40384615  3.59615385] ; [68.59615385 18.40384615],0
v3,1,0.800548,0.063826,[ 6 11] ; [27 57],[ 5.55445545 11.44554455] ; [27.44554455 56.55445545],0
b5,1,0.871506,0.026162,[10  7] ; [53 34],[10.29807692  6.70192308] ; [52.70192308 34.29807692],0
u1,1,0.878676,0.023301,[ 1 16] ; [ 6 81],[ 1.14423077 15.85576923] ; [ 5.85576923 81.14423077],0
p12,1,0.878676,0.023301,[ 1 16] ; [ 6 81],[ 1.14423077 15.85576923] ; [ 5.85576923 81.14423077],0
a6,1,0.942004,0.005293,[10  7] ; [52 35],[10.13461538  6.86538462] ; [51.86538462 35.13461538],0
n2,1,0.957911,0.002785,[2 1] ; [15  7],[2.04 0.96] ; [14.96  7.04],0
