Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000422,12.430736,[29 83] ; [18 12],[37.07042254 74.92957746] ; [ 9.92957746 20.07042254],1
s7,1,0.000813,11.210913,[28 76] ; [17 11],[35.45454545 68.54545455] ; [ 9.54545455 18.45454545],1
s6,1,0.00106,10.720369,[52 60] ; [24  6],[59.94366197 52.05633803] ; [16.05633803 13.94366197],0
v1,1,0.002162,9.406872,[43 67] ; [20  8],[50.2173913 59.7826087] ; [12.7826087 15.2173913],0
s4,1,0.00236,9.246392,[ 12 100] ; [10 20],[17.35211268 94.64788732] ; [ 4.64788732 25.35211268],0
s2,1,0.003736,8.407908,[40 72] ; [19 10],[46.86524823 65.13475177] ; [12.13475177 16.86524823],0
p3,1,0.020268,5.388698,[35 75] ; [16 13],[40.35971223 69.64028777] ; [10.64028777 18.35971223],0
s3,1,0.041681,4.148115,[53 58] ; [20  9],[57.87857143 53.12142857] ; [15.12142857 13.87857143],0
b3,1,0.044222,4.048084,[12 50] ; [ 8 11],[15.30864198 46.69135802] ; [ 4.69135802 14.30864198],0
b2,1,0.044222,4.048084,[12 50] ; [ 8 11],[15.30864198 46.69135802] ; [ 4.69135802 14.30864198],0
p6,1,0.053743,3.720675,[20 87] ; [10 18],[23.77777778 83.22222222] ; [ 6.22222222 21.77777778],0
a7,1,0.059987,3.53775,[80 32] ; [16 14],[75.71830986 36.28169014] ; [20.28169014  9.71830986],0
p2,1,0.117522,2.450036,[80 31] ; [25  4],[83.25 27.75] ; [21.75  7.25],0
a6,1,0.130498,2.286575,[79 32] ; [17 13],[75.57446809 35.42553191] ; [20.42553191  9.57446809],0
p10,1,0.135536,2.227927,[67 43] ; [22  7],[70.43165468 39.56834532] ; [18.56834532 10.43165468],0
p5,1,0.138032,2.199768,[  4 107] ; [ 3 26],[  5.55 105.45] ; [ 1.45 27.55],0
p12,1,0.145607,2.11768,[  2 108] ; [ 2 27],[  3.16546763 106.83453237] ; [ 0.83453237 28.16546763],0
n3,1,0.16474,1.930167,[24  8] ; [7 6],[22.04444444  9.95555556] ; [8.95555556 4.04444444],0
d4,1,0.16767,1.903657,[83 28] ; [26  4],[85.80851064 25.19148936] ; [23.19148936  6.80851064],0
p9,1,0.188762,1.727252,[74 37] ; [23  6],[76.90714286 34.09285714] ; [20.09285714  8.90714286],0
u2,1,0.218258,1.515789,[27 11] ; [9 1],[28.5  9.5] ; [7.5 2.5],0
n2,1,0.244712,1.353243,[23 11] ; [11  2],[24.59574468  9.40425532] ; [9.40425532 3.59574468],0
a4,1,0.309086,1.034577,[41 71] ; [ 8 22],[38.64788732 73.35211268] ; [10.35211268 19.64788732],0
d1,1,0.349437,0.875501,[49 63] ; [16 14],[51.26760563 60.73239437] ; [13.73239437 16.26760563],0
b5,1,0.361562,0.832461,[70 42] ; [16 14],[67.83098592 44.16901408] ; [18.16901408 11.83098592],0
p7,1,0.363401,0.826106,[58 48] ; [18 10],[60.11940299 45.88059701] ; [15.88059701 12.11940299],0
p4,1,0.385905,0.751805,[47 63] ; [15 14],[49.0647482 60.9352518] ; [12.9352518 16.0647482],0
n1,1,0.417292,0.657929,[11 22] ; [6 7],[12.19565217 20.80434783] ; [4.80434783 8.19565217],0
p8,1,0.421393,0.646426,[44 66] ; [14 15],[45.89928058 64.10071942] ; [12.10071942 16.89928058],0
a1,1,0.454189,0.560177,[  4 108] ; [ 2 28],[  4.73239437 107.26760563] ; [ 1.26760563 28.73239437],0
d2,1,0.464062,0.536079,[40 71] ; [13 17],[41.72340426 69.27659574] ; [11.27659574 18.72340426],0
p1,1,0.484371,0.489006,[  7 104] ; [ 3 27],[  7.87234043 103.12765957] ; [ 2.12765957 27.87234043],0
b4,1,0.485465,0.486562,[63 49] ; [19 11],[64.67605634 47.32394366] ; [17.32394366 12.67605634],0
d3,1,0.517146,0.41958,[70 40] ; [21  9],[71.5 38.5] ; [19.5 10.5],0
v3,1,0.531259,0.391983,[31 72] ; [ 7 22],[29.65151515 73.34848485] ; [ 8.34848485 20.65151515],0
n5,1,0.593941,0.284232,[50 60] ; [12 18],[48.71428571 61.28571429] ; [13.28571429 16.71428571],0
d5,1,0.619653,0.246355,[84 27] ; [24  6],[85.0212766 25.9787234] ; [22.9787234  7.0212766],0
a2,1,0.631655,0.229823,[19 93] ; [ 4 26],[18.14084507 93.85915493] ; [ 4.85915493 25.14084507],0
r2,1,0.641292,0.217057,[100  12] ; [25  4],[99.29078014 12.70921986] ; [25.70921986  3.29078014],0
r4,1,0.656099,0.198297,[90 22] ; [23  7],[89.12676056 22.87323944] ; [23.87323944  6.12676056],0
u3,1,0.681519,0.168421,[29  9] ; [7 3],[28.5  9.5] ; [7.5 2.5],0
a8,1,0.751308,0.100435,[ 9 94] ; [ 2 27],[ 8.58333333 94.41666667] ; [ 2.41666667 26.58333333],0
r1,1,0.7759,0.081034,[84 28] ; [21  8],[83.40425532 28.59574468] ; [21.59574468  7.40425532],0
a5,1,0.802197,0.062753,[70 42] ; [18 12],[69.4084507 42.5915493] ; [18.5915493 11.4084507],0
n4,1,0.812252,0.056416,[55 57] ; [14 16],[54.42253521 57.57746479] ; [14.57746479 15.42253521],0
p11,1,0.850935,0.035316,[73 39] ; [19 11],[72.56338028 39.43661972] ; [19.43661972 10.56338028],0
u1,1,0.856586,0.03266,[ 10 102] ; [ 3 27],[ 10.25352113 101.74647887] ; [ 2.74647887 27.25352113],0
a3,1,0.878977,0.023185,[73 39] ; [20 10],[73.35211268 38.64788732] ; [19.64788732 10.35211268],0
r3,1,0.89831,0.016332,[99 12] ; [27  3],[99.19148936 11.80851064] ; [26.80851064  3.19148936],0
v2,1,0.930294,0.007652,[49 54] ; [14 16],[48.78947368 54.21052632] ; [14.21052632 15.78947368],0
b1,1,0.949128,0.004071,[59 53] ; [16 14],[59.15492958 52.84507042] ; [15.84507042 14.15492958],0
