Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,58.729951,[66 11] ; [39 89],[39.43902439 37.56097561] ; [65.56097561 62.43902439],1
b1,1,0.001192,10.502961,[36 41] ; [32 97],[25.41747573 51.58252427] ; [42.58252427 86.41747573],0
p5,1,0.002987,8.815191,[12 64] ; [  5 123],[ 6.33333333 69.66666667] ; [ 10.66666667 117.33333333],0
n4,1,0.007363,7.182317,[65 12] ; [87 42],[56.81553398 20.18446602] ; [95.18446602 33.81553398],0
s8,1,0.01096,6.47185,[46 31] ; [53 75],[37.18536585 39.81463415] ; [61.81463415 66.18536585],0
p1,1,0.014779,5.942565,[12 65] ; [  7 122],[ 7.10194175 69.89805825] ; [ 11.89805825 117.10194175],0
p6,1,0.037857,4.311451,[19 58] ; [ 17 111],[13.52195122 63.47804878] ; [ 22.47804878 105.52195122],0
a3,1,0.045098,4.01496,[58 19] ; [79 49],[51.45853659 25.54146341] ; [85.54146341 42.45853659],0
r4,1,0.048929,3.877794,[73  4] ; [111  18],[68.77669903  8.22330097] ; [115.22330097  13.77669903],0
n5,1,0.052542,3.758433,[60 17] ; [84 45],[53.82524272 23.17475728] ; [90.17475728 38.82524272],0
r2,1,0.09038,2.867588,[75  2] ; [118  11],[72.1407767  4.8592233] ; [120.8592233   8.1407767],0
d5,1,0.093023,2.821268,[66 11] ; [98 31],[61.30097087 15.69902913] ; [102.69902913  26.30097087],0
p9,1,0.116085,2.469368,[66 10] ; [99 28],[61.77339901 14.22660099] ; [103.22660099  23.77339901],0
d2,1,0.116487,2.463928,[46 31] ; [62 66],[40.56585366 36.43414634] ; [67.43414634 60.56585366],0
s2,1,0.156328,2.009389,[53 23] ; [76 51],[48.2955665 27.7044335] ; [80.7044335 46.2955665],0
d1,1,0.162754,1.948451,[50 27] ; [71 58],[45.22815534 31.77184466] ; [75.77184466 53.22815534],0
a7,1,0.185328,1.75437,[50 27] ; [95 34],[54.19902913 22.80097087] ; [90.80097087 38.19902913],0
p2,1,0.189947,1.718025,[58 19] ; [86 43],[53.82524272 23.17475728] ; [90.17475728 38.82524272],0
p8,1,0.224091,1.477976,[22 55] ; [ 27 101],[18.40487805 58.59512195] ; [30.59512195 97.40487805],0
s1,1,0.228023,1.453154,[ 6 70] ; [  5 122],[ 4.1182266 71.8817734] ; [  6.8817734 120.1182266],0
u1,1,0.234353,1.414245,[17 60] ; [ 20 109],[13.83009709 63.16990291] ; [ 23.16990291 105.83009709],0
b5,1,0.251067,1.317357,[49 28] ; [92 37],[52.7038835 24.2961165] ; [88.2961165 40.7038835],0
n2,1,0.279296,1.170513,[13  7] ; [35 10],[14.76923077  5.23076923] ; [33.23076923 11.76923077],0
a8,1,0.282491,1.155066,[ 5 65] ; [ 14 102],[ 7.15053763 62.84946237] ; [ 11.84946237 104.15053763],0
n1,1,0.293887,1.101729,[11  9] ; [18 26],[ 9.0625 10.9375] ; [19.9375 24.0625],0
r1,1,0.296151,1.091445,[63 13] ; [99 30],[60.05853659 15.94146341] ; [101.94146341  27.05853659],0
a2,1,0.325611,0.966275,[14 63] ; [31 98],[16.82038835 60.17961165] ; [ 28.17961165 100.82038835],0
s4,1,0.329424,0.951161,[13 63] ; [29 98],[15.72413793 60.27586207] ; [ 26.27586207 100.72413793],0
a5,1,0.330724,0.94606,[58 19] ; [89 40],[54.94660194 22.05339806] ; [92.05339806 36.94660194],0
d3,1,0.351097,0.869488,[47 30] ; [87 42],[50.08737864 26.91262136] ; [83.91262136 45.08737864],0
p10,1,0.352916,0.862944,[58 18] ; [90 38],[55.1372549 20.8627451] ; [92.8627451 35.1372549],0
s7,1,0.381973,0.764341,[39 30] ; [64 64],[36.07614213 32.92385787] ; [66.92385787 61.07614213],0
s5,1,0.388299,0.744262,[28 44] ; [41 84],[25.21827411 46.78172589] ; [43.78172589 81.21827411],0
a6,1,0.388709,0.742977,[48 29] ; [88 41],[50.83495146 26.16504854] ; [85.16504854 43.83495146],0
s3,1,0.404512,0.694872,[53 23] ; [80 45],[50.28855721 25.71144279] ; [82.71144279 42.28855721],0
p12,1,0.407429,0.686291,[10 67] ; [ 12 117],[ 8.22330097 68.77669903] ; [ 13.77669903 115.22330097],0
b2,1,0.424205,0.638635,[20 30] ; [22 45],[17.94871795 32.05128205] ; [24.05128205 42.94871795],0
b3,1,0.424205,0.638635,[20 30] ; [22 45],[17.94871795 32.05128205] ; [24.05128205 42.94871795],0
p11,1,0.425711,0.634496,[56 21] ; [87 42],[53.45145631 23.54854369] ; [89.54854369 39.45145631],0
v1,1,0.440351,0.595367,[39 32] ; [62 64],[36.40101523 34.59898477] ; [64.59898477 61.40101523],0
a4,1,0.454448,0.559534,[36 41] ; [53 75],[33.42926829 43.57073171] ; [55.57073171 72.42926829],0
v4,1,0.480484,0.497766,[73  4] ; [119  10],[71.76699029  5.23300971] ; [120.23300971   8.76699029],0
n3,1,0.495381,0.464817,[13  7] ; [33 12],[14.15384615  5.84615385] ; [31.84615385 13.15384615],0
u4,1,0.516645,0.420586,[ 3 74] ; [  3 126],[ 2.24271845 74.75728155] ; [  3.75728155 125.24271845],0
u3,1,0.51905,0.41578,[13  6] ; [30 20],[11.84057971  7.15942029] ; [31.15942029 18.84057971],0
u2,1,0.519318,0.415248,[12  6] ; [29 21],[10.85294118  7.14705882] ; [30.14705882 19.85294118],0
v2,1,0.579223,0.307493,[41 32] ; [63 58],[39.13402062 33.86597938] ; [64.86597938 56.13402062],0
a1,1,0.624114,0.240128,[ 2 75] ; [  5 124],[ 2.61650485 74.38349515] ; [  4.38349515 124.61650485],0
d4,1,0.632655,0.228478,[63 14] ; [102  27],[61.67475728 15.32524272] ; [103.32524272  25.67475728],0
r3,1,0.736636,0.113105,[72  5] ; [119  10],[71.39320388  5.60679612] ; [119.60679612   9.39320388],0
v3,1,0.858564,0.031756,[26 45] ; [47 77],[26.57948718 44.42051282] ; [46.42051282 77.57948718],0
n6,1,0.868005,0.02762,[65 12] ; [110  19],[65.41262136 11.58737864] ; [109.58737864  19.41262136],0
b4,1,0.978946,0.000696,[50 27] ; [84 45],[50.08737864 26.91262136] ; [83.91262136 45.08737864],0
