Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,2.4e-05,17.876577,[12 22] ; [39  9],[21.14634146 12.85365854] ; [29.85365854 18.14634146],1
v1,1,0.013823,6.060606,[17 15] ; [38 10],[22. 10.] ; [33. 15.],0
p4,1,0.020978,5.328614,[27  7] ; [45  2],[30.22222222  3.77777778] ; [41.77777778  5.22222222],0
p7,1,0.022402,5.214299,[25  8] ; [44  3],[28.4625  4.5375] ; [40.5375  6.4625],0
s5,1,0.026199,4.94281,[16 14] ; [35 10],[20.4  9.6] ; [30.6 14.4],0
p10,1,0.032903,4.550801,[29  5] ; [46  1],[31.48148148  2.51851852] ; [43.51851852  3.48148148],0
p11,1,0.05061,3.82114,[27  7] ; [45  3],[29.85365854  4.14634146] ; [42.14634146  5.85365854],0
n3,1,0.078111,3.103765,[3 6] ; [8 3],[4.95 4.05] ; [6.05 4.95],0
b1,1,0.086386,2.940469,[17 17] ; [15 33],[13.26829268 20.73170732] ; [18.73170732 29.26829268],0
u2,1,0.088676,2.898254,[5 4] ; [9 1],[6.63157895 2.36842105] ; [7.36842105 2.63157895],0
p3,1,0.117105,2.455621,[25  9] ; [41  6],[27.7037037  6.2962963] ; [38.2962963  8.7037037],0
s6,1,0.1269,2.330024,[28  2] ; [38  9],[25.71428571  4.28571429] ; [40.28571429  6.71428571],0
a7,1,0.145383,2.120039,[22 12] ; [38 10],[24.87804878  9.12195122] ; [35.12195122 12.87804878],0
p12,1,0.150121,2.071023,[ 8 25] ; [19 29],[11. 22.] ; [16. 32.],0
b2,1,0.194871,1.680401,[ 8 12] ; [22 16],[10.34482759  9.65517241] ; [19.65517241 18.34482759],0
b3,1,0.194871,1.680401,[ 8 12] ; [22 16],[10.34482759  9.65517241] ; [19.65517241 18.34482759],0
b5,1,0.259556,1.271125,[17 17] ; [18 30],[14.51219512 19.48780488] ; [20.48780488 27.51219512],0
s4,1,0.316169,1.00473,[ 6 27] ; [ 5 43],[ 4.48148148 28.51851852] ; [ 6.51851852 41.48148148],0
n4,1,0.319751,0.989964,[32  2] ; [42  6],[30.68292683  3.31707317] ; [43.31707317  4.68292683],0
p2,1,0.363092,0.82717,[29  5] ; [44  4],[30.26829268  3.73170732] ; [42.73170732  5.26829268],0
v4,1,0.377196,0.779821,[32  2] ; [46  1],[32.74074074  1.25925926] ; [45.25925926  1.74074074],0
s1,1,0.37861,0.77521,[ 4 30] ; [ 3 45],[ 2.90243902 31.09756098] ; [ 4.09756098 43.90243902],0
