Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001647,9.906905,[15 66] ; [16 18],[21.83478261 59.16521739] ; [ 9.16521739 24.83478261],0
s6,1,0.002365,9.242044,[25 58] ; [20 13],[32.19827586 50.80172414] ; [12.80172414 20.19827586],0
v2,1,0.005807,7.609135,[19 61] ; [17 17],[25.26315789 54.73684211] ; [10.73684211 23.26315789],0
s8,1,0.011934,6.320648,[10 73] ; [11 24],[14.77118644 68.22881356] ; [ 6.22881356 28.77118644],0
a7,1,0.015039,5.911868,[41 41] ; [26  9],[46.95726496 35.04273504] ; [20.04273504 14.95726496],0
p3,1,0.018667,5.532489,[13 70] ; [12 22],[17.73504274 65.26495726] ; [ 7.26495726 26.73504274],0
s1,1,0.045086,4.015415,[ 1 81] ; [ 3 32],[ 2.8034188 79.1965812] ; [ 1.1965812 33.8034188],0
s7,1,0.051871,3.779938,[14 65] ; [12 23],[18.01754386 60.98245614] ; [ 7.98245614 27.01754386],0
s2,1,0.058515,3.578985,[21 62] ; [15 20],[25.3220339 57.6779661] ; [10.6779661 24.3220339],0
s3,1,0.059628,3.547709,[27 55] ; [18 17],[31.53846154 50.46153846] ; [13.46153846 21.53846154],0
a3,1,0.081378,3.037164,[40 43] ; [23 12],[44.31355932 38.68644068] ; [18.68644068 16.31355932],0
p10,1,0.08296,3.005944,[45 35] ; [25  9],[49.12280702 30.87719298] ; [20.87719298 13.12280702],0
p9,1,0.091043,2.855832,[50 28] ; [28  7],[53.84070796 24.15929204] ; [24.15929204 10.84070796],0
p1,1,0.129119,2.30307,[ 8 74] ; [ 7 28],[10.51282051 71.48717949] ; [ 4.48717949 30.51282051],0
d5,1,0.133577,2.25043,[49 33] ; [26  9],[52.56410256 29.43589744] ; [22.43589744 12.56410256],0
b4,1,0.148352,2.089117,[45 38] ; [24 11],[48.53389831 34.46610169] ; [20.46610169 14.53389831],0
r2,1,0.150454,2.067644,[59 22] ; [29  5],[61.9826087 19.0173913] ; [26.0173913  7.9826087],0
p5,1,0.15901,1.983615,[ 1 81] ; [ 2 33],[ 2.1025641 79.8974359] ; [ 0.8974359 34.1025641],0
a4,1,0.160445,1.97003,[20 62] ; [13 22],[23.12820513 58.87179487] ; [ 9.87179487 25.12820513],0
d4,1,0.164838,1.929277,[48 35] ; [25 10],[51.34745763 31.65254237] ; [21.65254237 13.34745763],0
n2,1,0.189145,1.724266,[22 13] ; [10  2],[23.82978723 11.17021277] ; [8.17021277 3.82978723],0
d3,1,0.209016,1.578231,[36 45] ; [20 15],[39.10344828 41.89655172] ; [16.89655172 18.10344828],0
b2,1,0.241586,1.371318,[18 31] ; [9 8],[20.04545455 28.95454545] ; [ 6.95454545 10.04545455],0
b3,1,0.241586,1.371318,[18 31] ; [9 8],[20.04545455 28.95454545] ; [ 6.95454545 10.04545455],0
a1,1,0.271057,1.211388,[ 7 76] ; [ 1 34],[ 5.62711864 77.37288136] ; [ 2.37288136 32.62711864],0
a5,1,0.295632,1.093795,[34 49] ; [18 17],[36.57627119 46.42372881] ; [15.42372881 19.57627119],0
p2,1,0.299084,1.078275,[43 39] ; [22 13],[45.55555556 36.44444444] ; [19.44444444 15.55555556],0
a6,1,0.334768,0.930367,[46 37] ; [16 19],[43.61016949 39.38983051] ; [18.38983051 16.61016949],0
p11,1,0.358664,0.842567,[47 36] ; [23 12],[49.23728814 33.76271186] ; [20.76271186 14.23728814],0
u3,1,0.361765,0.831758,[12 31] ; [5 7],[13.29090909 29.70909091] ; [3.70909091 8.29090909],0
p6,1,0.365925,0.817456,[12 69] ; [ 7 25],[13.61946903 67.38053097] ; [ 5.38053097 26.61946903],0
r3,1,0.42307,0.641772,[60 23] ; [27  7],[61.71794872 21.28205128] ; [25.28205128  8.71794872],0
v4,1,0.433409,0.613671,[60 22] ; [28  7],[61.67521368 20.32478632] ; [26.32478632  8.67521368],0
n4,1,0.455311,0.557397,[46 37] ; [22 13],[47.83050847 35.16949153] ; [20.16949153 14.83050847],0
d1,1,0.455852,0.556061,[25 58] ; [13 22],[26.72881356 56.27118644] ; [11.27118644 23.72881356],0
a8,1,0.498901,0.457273,[ 5 74] ; [ 1 31],[ 4.27027027 74.72972973] ; [ 1.72972973 30.27027027],0
u4,1,0.525341,0.403395,[ 1 82] ; [ 1 34],[ 1.40677966 81.59322034] ; [ 0.59322034 34.40677966],0
r4,1,0.545425,0.365577,[40 43] ; [19 16],[41.5 41.5] ; [17.5 17.5],0
s5,1,0.549058,0.359007,[13 66] ; [ 7 26],[14.10714286 64.89285714] ; [ 5.89285714 27.10714286],0
b5,1,0.61171,0.257693,[48 35] ; [22 13],[49.23728814 33.76271186] ; [20.76271186 14.23728814],0
n1,1,0.649887,0.206042,[ 9 25] ; [4 8],[ 9.60869565 24.39130435] ; [3.39130435 8.60869565],0
b1,1,0.661406,0.19182,[32 51] ; [12 23],[30.94915254 52.05084746] ; [13.05084746 21.94915254],0
u2,1,0.721418,0.127138,[17 26] ; [5 6],[17.51851852 25.48148148] ; [4.48148148 6.51851852],0
d2,1,0.762741,0.091134,[30 51] ; [14 21],[30.72413793 50.27586207] ; [13.27586207 21.72413793],0
a2,1,0.768871,0.086349,[ 8 75] ; [ 4 31],[ 8.44067797 74.55932203] ; [ 3.55932203 31.44067797],0
p7,1,0.785203,0.074281,[28 52] ; [11 23],[27.36842105 52.63157895] ; [11.63157895 22.36842105],0
u1,1,0.839806,0.040861,[ 4 79] ; [ 2 33],[ 4.22033898 78.77966102] ; [ 1.77966102 33.22033898],0
p8,1,0.862565,0.029967,[23 59] ; [ 9 25],[22.62068966 59.37931034] ; [ 9.37931034 24.62068966],0
s4,1,0.885079,0.02089,[20 63] ; [ 8 27],[19.69491525 63.30508475] ; [ 8.30508475 26.69491525],0
n5,1,0.885364,0.020786,[51 32] ; [22 13],[51.34745763 31.65254237] ; [21.65254237 13.34745763],0
p12,1,0.887823,0.019898,[ 2 81] ; [ 1 34],[ 2.11016949 80.88983051] ; [ 0.88983051 34.11016949],0
n6,1,0.906882,0.013682,[56 27] ; [24 11],[56.27118644 26.72881356] ; [23.72881356 11.27118644],0
n3,1,0.919135,0.010307,[21 14] ; [7 5],[20.85106383 14.14893617] ; [7.14893617 4.85106383],0
