Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,1e-06,23.940984,[22 36] ; [99 33],[36.93684211 21.06315789] ; [84.06315789 47.93684211],1
d5,1,2.6e-05,17.68868,[28 30] ; [104  28],[40.29473684 17.70526316] ; [91.70526316 40.29473684],1
p2,1,6e-05,16.116394,[28 30] ; [101  29],[39.79787234 18.20212766] ; [89.20212766 40.79787234],1
d1,1,6.1e-05,16.080981,[13 45] ; [71 61],[25.64210526 32.35789474] ; [58.35789474 73.64210526],1
a6,1,0.000228,13.588782,[24 34] ; [92 40],[35.41052632 22.58947368] ; [80.58947368 51.41052632],1
s6,1,0.001759,9.785004,[20 37] ; [79 53],[29.85714286 27.14285714] ; [69.14285714 62.85714286],0
p10,1,0.002453,9.175061,[28 29] ; [93 36],[37.08064516 19.91935484] ; [83.91935484 45.08064516],0
p9,1,0.003279,8.645412,[32 24] ; [101  28],[40.25945946 15.74054054] ; [92.74054054 36.25945946],0
r3,1,0.003882,8.338041,[45 13] ; [122  10],[50.97894737  7.02105263] ; [116.02105263  15.97894737],0
r1,1,0.005216,7.802817,[31 27] ; [97 34],[39.28042328 18.71957672] ; [88.71957672 42.28042328],0
r4,1,0.015146,5.899455,[37 21] ; [106  26],[43.65263158 14.34736842] ; [99.34736842 32.65263158],0
d4,1,0.023641,5.120782,[37 20] ; [106  26],[43.12698413 13.87301587] ; [99.87301587 32.12698413],0
n5,1,0.024875,5.032577,[26 31] ; [38 94],[19.3015873 37.6984127] ; [44.6984127 87.3015873],0
s7,1,0.025818,4.96814,[ 8 45] ; [39 86],[13.99438202 39.00561798] ; [33.00561798 91.99438202],0
p8,1,0.035325,4.429402,[14 44] ; [52 78],[20.36170213 37.63829787] ; [45.63829787 84.36170213],0
p3,1,0.037951,4.307226,[10 48] ; [42 90],[15.87368421 42.12631579] ; [36.12631579 95.87368421],0
u1,1,0.048382,3.896653,[ 1 57] ; [ 13 119],[ 4.27368421 53.72631579] ; [  9.72631579 122.27368421],0
r2,1,0.065584,3.390227,[46 12] ; [117  14],[50.02116402  7.97883598] ; [112.97883598  18.02116402],0
v3,1,0.067914,3.332729,[10 46] ; [38 85],[15.01675978 40.98324022] ; [32.98324022 90.01675978],0
b1,1,0.068615,3.315858,[25 33] ; [39 93],[19.53684211 38.46315789] ; [44.46315789 87.53684211],0
v2,1,0.069888,3.285644,[19 36] ; [60 62],[24.5480226 30.4519774] ; [54.4519774 67.5480226],0
v4,1,0.070177,3.278885,[47 10] ; [119  11],[50.59893048  6.40106952] ; [115.40106952  14.59893048],0
