Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,21.991712,[12  1] ; [ 7 30],[4.94 8.06] ; [14.06 22.94],1
p4,1,9.5e-05,15.225564,[9 3] ; [ 6 32],[3.6 8.4] ; [11.4 26.6],1
p7,1,0.001549,10.019221,[7 4] ; [ 6 32],[2.91836735 8.08163265] ; [10.08163265 27.91836735],0
p2,1,0.002414,9.204482,[10  3] ; [11 27],[5.35294118 7.64705882] ; [15.64705882 22.35294118],0
p3,1,0.002833,8.912294,[7 6] ; [ 5 33],[3.05882353 9.94117647] ; [ 8.94117647 29.05882353],0
p11,1,0.003228,8.673785,[8 5] ; [ 7 31],[3.82352941 9.17647059] ; [11.17647059 26.82352941],0
p9,1,0.005649,7.658901,[9 4] ; [ 9 26],[4.875 8.125] ; [13.125 21.875],0
v4,1,0.006998,7.273511,[12  1] ; [19 19],[7.90196078 5.09803922] ; [23.09803922 14.90196078],0
r4,1,0.0089,6.842876,[5 8] ; [ 3 35],[ 2.03921569 10.96078431] ; [ 5.96078431 32.03921569],0
u2,1,0.021985,5.246983,[5 1] ; [ 5 12],[2.60869565 3.39130435] ; [7.39130435 9.60869565],0
r2,1,0.023503,5.13093,[11  1] ; [20 16],[7.75 4.25] ; [23.25 12.75],0
u3,1,0.024865,5.033263,[4 2] ; [ 3 14],[1.82608696 4.17391304] ; [ 5.17391304 11.82608696],0
n6,1,0.028666,4.787537,[10  2] ; [18 20],[6.72 5.28] ; [21.28 16.72],0
a4,1,0.028956,4.77024,[ 1 12] ; [15 22],[4.16 8.84] ; [11.84 25.16],0
d3,1,0.042784,4.103905,[9 4] ; [14 24],[5.8627451 7.1372549] ; [17.1372549 20.8627451],0
s8,1,0.047308,3.934408,[5 8] ; [ 5 33],[ 2.54901961 10.45098039] ; [ 7.45098039 30.54901961],0
b1,1,0.063531,3.442729,[4 9] ; [23 15],[6.88235294 6.11764706] ; [20.11764706 17.88235294],0
s7,1,0.083369,2.997974,[5 7] ; [ 6 29],[2.80851064 9.19148936] ; [ 8.19148936 26.80851064],0
r1,1,0.083959,2.986553,[8 5] ; [13 25],[5.35294118 7.64705882] ; [15.64705882 22.35294118],0
p6,1,0.091306,2.851203,[4 9] ; [ 4 33],[ 2.08 10.92] ; [ 5.92 31.08],0
n4,1,0.183314,1.770547,[7 6] ; [28 10],[8.92156863 4.07843137] ; [26.07843137 11.92156863],0
a7,1,0.210682,1.566733,[7 6] ; [13 25],[5.09803922 7.90196078] ; [14.90196078 23.09803922],0
n5,1,0.213778,1.545657,[8 5] ; [30  8],[9.68627451 3.31372549] ; [28.31372549  9.68627451],0
a6,1,0.229044,1.446787,[4 9] ; [19 19],[5.8627451 7.1372549] ; [17.1372549 20.8627451],0
s1,1,0.241322,1.372857,[ 2 11] ; [ 2 36],[ 1.01960784 11.98039216] ; [ 2.98039216 35.01960784],0
d4,1,0.296903,1.088054,[9 4] ; [20 18],[7.39215686 5.60784314] ; [21.60784314 16.39215686],0
n1,1,0.327618,0.958289,[2 6] ; [ 9 11],[3.14285714 4.85714286] ; [ 7.85714286 12.14285714],0
b4,1,0.377083,0.780191,[9 4] ; [21 17],[7.64705882 5.35294118] ; [22.35294118 15.64705882],0
p12,1,0.417121,0.658411,[ 1 12] ; [ 1 37],[ 0.50980392 12.49019608] ; [ 1.49019608 36.50980392],0
d1,1,0.442003,0.591076,[6 7] ; [13 25],[4.84313725 8.15686275] ; [14.15686275 23.84313725],0
p1,1,0.463968,0.536306,[ 1 12] ; [ 6 32],[ 1.78431373 11.21568627] ; [ 5.21568627 32.78431373],0
s6,1,0.475896,0.508253,[4 9] ; [ 8 30],[3.05882353 9.94117647] ; [ 8.94117647 29.05882353],0
s4,1,0.475896,0.508253,[4 9] ; [ 8 30],[3.05882353 9.94117647] ; [ 8.94117647 29.05882353],0
v2,1,0.494707,0.466273,[3 9] ; [ 6 31],[2.20408163 9.79591837] ; [ 6.79591837 30.20408163],0
n2,1,0.549076,0.358974,[3 5] ; [10 10],[3.71428571 4.28571429] ; [ 9.28571429 10.71428571],0
s2,1,0.551879,0.353962,[ 3 10] ; [ 6 32],[ 2.29411765 10.70588235] ; [ 6.70588235 31.29411765],0
b5,1,0.570036,0.322621,[7 6] ; [17 21],[6.11764706 6.88235294] ; [17.88235294 20.11764706],0
d2,1,0.623808,0.240551,[7 6] ; [17 20],[6.24 6.76] ; [17.76 19.24],0
s3,1,0.627364,0.235652,[3 9] ; [12 25],[3.67346939 8.32653061] ; [11.32653061 25.67346939],0
d5,1,0.693329,0.155506,[8 5] ; [21 17],[7.39215686 5.60784314] ; [21.60784314 16.39215686],0
p5,1,0.747977,0.103239,[ 1 12] ; [ 2 36],[ 0.76470588 12.23529412] ; [ 2.23529412 35.76470588],0
v3,1,0.760077,0.093256,[ 2 10] ; [ 5 33],[ 1.68 10.32] ; [ 5.32 32.68],0
n3,1,0.765688,0.088816,[3 5] ; [ 6 13],[2.66666667 5.33333333] ; [ 6.33333333 12.66666667],0
a5,1,0.810755,0.057337,[6 7] ; [19 19],[6.37254902 6.62745098] ; [18.62745098 19.37254902],0
a3,1,0.855688,0.033075,[7 6] ; [21 16],[7.28 5.72] ; [20.72 16.28],0
s5,1,0.94391,0.00495,[ 2 11] ; [ 6 31],[ 2.08 10.92] ; [ 5.92 31.08],0
