Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,24.563179,[55 61] ; [ 21 100],[37.19831224 78.80168776] ; [38.80168776 82.19831224],1
v1,1,5.2e-05,16.367441,[71 43] ; [43 77],[55.53846154 58.46153846] ; [58.46153846 61.53846154],1
r3,1,0.001017,10.795815,[113   2] ; [107  16],[106.30252101   8.69747899] ; [113.69747899   9.30252101],0
r1,1,0.001396,10.210691,[95 22] ; [77 46],[83.85 33.15] ; [88.15 34.85],0
s8,1,0.001651,9.901682,[48 69] ; [27 95],[36.71548117 80.28451883] ; [38.28451883 83.71548117],0
r4,1,0.003972,8.296744,[105  12] ; [93 30],[96.525 20.475] ; [101.475  21.525],0
d5,1,0.017077,5.688484,[83 34] ; [69 54],[74.1 42.9] ; [77.9 45.1],0
r2,1,0.031753,4.611783,[105   9] ; [101  21],[99.50847458 14.49152542] ; [106.49152542  15.50847458],0
p6,1,0.032352,4.579757,[43 71] ; [30 91],[35.41276596 78.58723404] ; [37.58723404 83.41276596],0
p7,1,0.03912,4.255654,[76 38] ; [63 55],[68.30172414 45.69827586] ; [70.69827586 47.30172414],0
p10,1,0.039655,4.232568,[90 23] ; [82 39],[83.05982906 29.94017094] ; [88.94017094 32.05982906],0
n6,1,0.043007,4.095147,[94 20] ; [87 35],[87.43220339 26.56779661] ; [93.56779661 28.43220339],0
u1,1,0.043429,4.078636,[  8 109] ; [  2 121],[  4.875 112.125] ; [  5.125 117.875],0
p3,1,0.050405,3.827934,[55 61] ; [43 80],[47.56485356 68.43514644] ; [50.43514644 72.56485356],0
n5,1,0.060735,3.517191,[82 32] ; [73 48],[75.19148936 38.80851064] ; [79.80851064 41.19148936],0
a5,1,0.078951,3.086371,[74 43] ; [64 59],[67.275 49.725] ; [70.725 52.275],0
s7,1,0.079304,3.079114,[54 58] ; [43 74],[47.44104803 64.55895197] ; [49.55895197 67.44104803],0
s6,1,0.088376,2.903715,[76 36] ; [69 52],[69.69957082 42.30042918] ; [75.30042918 45.69957082],0
b1,1,0.100419,2.698882,[42 75] ; [57 66],[48.2625 68.7375] ; [50.7375 72.2625],0
n1,1,0.105049,2.62716,[ 7 20] ; [14 16],[ 9.94736842 17.05263158] ; [11.05263158 18.94736842],0
n4,1,0.105898,2.61439,[84 32] ; [77 46],[78.14225941 37.85774059] ; [82.85774059 40.14225941],0
v4,1,0.121299,2.400471,[107   8] ; [107  16],[103.40336134  11.59663866] ; [110.59663866  12.40336134],0
